111178  , -2693.11    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.15712    ,  4.99896    ])
111179  , -2288.64    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  4.15712    ,  4.99896    ])
111180  , -2273.56    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99896    ])
111181  , -2273.57    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.9837     ,  4.99896    ])
111182  , -2273.56    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.97816    ,  4.99896    ])
111183  , -2273.56    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99896    ])
111185  , -2363.31    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  3.38093    ])
111186  , -2273.56    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99896    ])
111187  , -2294.12    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.38093    ])
111189  , -2282.52    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.68995    ])
111191  , -2276.72    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.88093    ])
111193  , -2274.73    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.95388    ])
111195  , -2274       , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.98174    ])
111197  , -2273.73    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99239    ])
111199  , -2273.62    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99645    ])
111201  , -2273.58    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.998      ])
111202  , -2273.55    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99942    ])
111203  , -2273.54    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.9997     ])
111204  , -2273.54    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99987    ])
111205  , -2273.53    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99998    ])
111207  , -2273.53    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99994    ])
111209  , -2273.53    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99996    ])
111210  , -2273.53    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111212  , -2273.53    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111213  , -2593.07    , array([ 2.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111215  , -2273.53    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111216  , -3650.9     , array([ 0.899752   ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111217  , -2250.12    , array([ 1.89975    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111218  , -2225.43    , array([ 1.72291    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111219  , -2225.56    , array([ 1.74006    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111220  , -2225.41    , array([ 1.72694    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111221  , -2225.41    , array([ 1.72903    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111222  , -2225.41    , array([ 1.72694    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111223  , -29583.8    , array([ 1.72694    ,  1.20429    ,  1.8021     ,  3.98021    ,  4.99999    ])
111225  , -2225.41    , array([ 1.72694    ,  0.204288   ,  1.8021     ,  3.98021    ,  4.99999    ])
111227  , -13649.4    , array([ 1.72694    ,  0.586254   ,  1.8021     ,  3.98021    ,  4.99999    ])
111228  , -7049.75    , array([ 1.72694    ,  0.395179   ,  1.8021     ,  3.98021    ,  4.99999    ])
111230  , -5520.27    , array([ 1.72694    ,  0.114118   ,  1.8021     ,  3.98021    ,  4.99999    ])
111231  , -2622.06    , array([ 1.72694    ,  0.242277   ,  1.8021     ,  3.98021    ,  4.99999    ])
111232  , -2242.75    , array([ 1.72694    ,  0.209042   ,  1.8021     ,  3.98021    ,  4.99999    ])
111233  , -2220.23    , array([ 1.72694    ,  0.197739   ,  1.8021     ,  3.98021    ,  4.99999    ])
111234  , -2219.39    , array([ 1.72694    ,  0.199449   ,  1.8021     ,  3.98021    ,  4.99999    ])
111235  , -2219.39    , array([ 1.72694    ,  0.199522   ,  1.8021     ,  3.98021    ,  4.99999    ])
111236  , -2219.39    , array([ 1.72694    ,  0.19957    ,  1.8021     ,  3.98021    ,  4.99999    ])
111237  , -2219.39    , array([ 1.72694    ,  0.199522   ,  1.8021     ,  3.98021    ,  4.99999    ])
111238  , -3120.77    , array([ 1.72694    ,  0.199522   ,  2.8021     ,  3.98021    ,  4.99999    ])
111239  , -5074.59    , array([ 1.72694    ,  0.199522   ,  0.18407    ,  3.98021    ,  4.99999    ])
111240  , -2219.39    , array([ 1.72694    ,  0.199522   ,  1.8021     ,  3.98021    ,  4.99999    ])
111241  , -2365.08    , array([ 1.72694    ,  0.199522   ,  1.18407    ,  3.98021    ,  4.99999    ])
111242  , -2430.02    , array([ 1.72694    ,  0.199522   ,  2.18407    ,  3.98021    ,  4.99999    ])
111243  , -2193.83    , array([ 1.72694    ,  0.199522   ,  1.64282    ,  3.98021    ,  4.99999    ])
111244  , -2193.53    , array([ 1.72694    ,  0.199522   ,  1.62958    ,  3.98021    ,  4.99999    ])
111245  , -2193.49    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  3.98021    ,  4.99999    ])
111246  , -2193.49    , array([ 1.72694    ,  0.199522   ,  1.62363    ,  3.98021    ,  4.99999    ])
111247  , -2193.49    , array([ 1.72694    ,  0.199522   ,  1.62002    ,  3.98021    ,  4.99999    ])
111248  , -2193.49    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  3.98021    ,  4.99999    ])
111249  , -2453.25    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.98021    ,  4.99999    ])
111250  , -4668.82    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  2.36218    ,  4.99999    ])
111251  , -2193.49    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  3.98021    ,  4.99999    ])
111252  , -2529.87    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  3.36218    ,  4.99999    ])
111253  , -2202.12    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.36218    ,  4.99999    ])
111254  , -2180.68    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.15126    ,  4.99999    ])
111255  , -2180.66    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14674    ,  4.99999    ])
111256  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99999    ])
111257  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14112    ,  4.99999    ])
111258  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14437    ,  4.99999    ])
111259  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99999    ])
111261  , -2322.11    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  3.38195    ])
111262  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99999    ])
111263  , -2212.87    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.38195    ])
111265  , -2194.67    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.69097    ])
111267  , -2185.58    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.88195    ])
111269  , -2182.48    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.9549     ])
111271  , -2181.34    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.98277    ])
111273  , -2180.91    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99341    ])
111275  , -2180.75    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99747    ])
111277  , -2180.69    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99903    ])
111279  , -2180.66    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99962    ])
111281  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99985    ])
111283  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99993    ])
111285  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99997    ])
111286  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111288  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  4.99999    ])
