2058    , -2104.75    , array([ 1.42862    ,  0.127815   ,  1.57788    ,  1.40765    ,  0.0434023  ])
2059    , -2023.39    , array([ 1.41479    ,  0.123533   ,  1.61647    ,  1.39918    ,  0.0423409  ])
2060    , -2023.39    , array([ 1.41479    ,  0.123533   ,  1.61647    ,  1.39918    ,  0.0423409  ])
2061    , -2023.5     , array([ 1.41621    ,  0.123533   ,  1.61647    ,  1.39918    ,  0.0423409  ])
2062    , -2028.6     , array([ 1.41479    ,  0.123657   ,  1.61647    ,  1.39918    ,  0.0423409  ])
2063    , -2023.42    , array([ 1.41479    ,  0.123533   ,  1.61809    ,  1.39918    ,  0.0423409  ])
2064    , -2023.77    , array([ 1.41479    ,  0.123533   ,  1.61647    ,  1.40058    ,  0.0423409  ])
2065    , -2019.31    , array([ 1.41479    ,  0.123533   ,  1.61647    ,  1.39918    ,  0.0423833  ])
2066    , -1742.77    , array([ 1.36082    ,  0.107792   ,  1.78049    ,  1.36579    ,  0.0385021  ])
2067    , -1742.77    , array([ 1.36082    ,  0.107792   ,  1.78049    ,  1.36579    ,  0.0385021  ])
2068    , -1742.84    , array([ 1.36219    ,  0.107792   ,  1.78049    ,  1.36579    ,  0.0385021  ])
2069    , -1746.58    , array([ 1.36082    ,  0.1079     ,  1.78049    ,  1.36579    ,  0.0385021  ])
2070    , -1742.77    , array([ 1.36082    ,  0.107792   ,  1.78227    ,  1.36579    ,  0.0385021  ])
2071    , -1743.01    , array([ 1.36082    ,  0.107792   ,  1.78049    ,  1.36716    ,  0.0385021  ])
2072    , -1739.68    , array([ 1.36082    ,  0.107792   ,  1.78049    ,  1.36579    ,  0.0385407  ])
2073    , -1383.55    , array([ 1.15036    ,  0.0823759  ,  3.54804    ,  1.64109    ,  0.0348108  ])
2074    , -1383.55    , array([ 1.15036    ,  0.0823759  ,  3.54804    ,  1.64109    ,  0.0348108  ])
2075    , -1383.59    , array([ 1.15151    ,  0.0823759  ,  3.54804    ,  1.64109    ,  0.0348108  ])
2076    , -1383.57    , array([ 1.15036    ,  0.0824583  ,  3.54804    ,  1.64109    ,  0.0348108  ])
2077    , -1383.48    , array([ 1.15036    ,  0.0823759  ,  3.55159    ,  1.64109    ,  0.0348108  ])
2078    , -1383.51    , array([ 1.15036    ,  0.0823759  ,  3.54804    ,  1.64274    ,  0.0348108  ])
2079    , -1383.35    , array([ 1.15036    ,  0.0823759  ,  3.54804    ,  1.64109    ,  0.0348456  ])
2080    , -1346.76    , array([ 0.988299   ,  0.0884177  ,  5.14664    ,  1.68114    ,  0.0391636  ])
2081    , -1346.76    , array([ 0.988299   ,  0.0884177  ,  5.14664    ,  1.68114    ,  0.0391636  ])
2082    , -1346.77    , array([ 0.989288   ,  0.0884177  ,  5.14664    ,  1.68114    ,  0.0391636  ])
2083    , -1346.99    , array([ 0.988299   ,  0.0885061  ,  5.14664    ,  1.68114    ,  0.0391636  ])
2084    , -1346.83    , array([ 0.988299   ,  0.0884177  ,  5.15179    ,  1.68114    ,  0.0391636  ])
2085    , -1346.75    , array([ 0.988299   ,  0.0884177  ,  5.14664    ,  1.68282    ,  0.0391636  ])
2086    , -1346.4     , array([ 0.988299   ,  0.0884177  ,  5.14664    ,  1.68114    ,  0.0392028  ])
2087    , -1334.4     , array([ 0.931526   ,  0.0980834  ,  5.20628    ,  1.54125    ,  0.0444752  ])
2088    , -1334.4     , array([ 0.931526   ,  0.0980834  ,  5.20628    ,  1.54125    ,  0.0444752  ])
2089    , -1334.27    , array([ 0.932458   ,  0.0980834  ,  5.20628    ,  1.54125    ,  0.0444752  ])
2090    , -1334.61    , array([ 0.931526   ,  0.0981815  ,  5.20628    ,  1.54125    ,  0.0444752  ])
2091    , -1334.4     , array([ 0.931526   ,  0.0980834  ,  5.21149    ,  1.54125    ,  0.0444752  ])
2092    , -1334.38    , array([ 0.931526   ,  0.0980834  ,  5.20628    ,  1.5428     ,  0.0444752  ])
2093    , -1334.16    , array([ 0.931526   ,  0.0980834  ,  5.20628    ,  1.54125    ,  0.0445197  ])
2094    , -1330.6     , array([ 1.0378     ,  0.108134   ,  5.33758    ,  1.45801    ,  0.0506615  ])
2095    , -1330.6     , array([ 1.0378     ,  0.108134   ,  5.33758    ,  1.45801    ,  0.0506615  ])
2096    , -1330.73    , array([ 1.03884    ,  0.108134   ,  5.33758    ,  1.45801    ,  0.0506615  ])
2097    , -1330.79    , array([ 1.0378     ,  0.108242   ,  5.33758    ,  1.45801    ,  0.0506615  ])
2098    , -1330.71    , array([ 1.0378     ,  0.108134   ,  5.34292    ,  1.45801    ,  0.0506615  ])
2099    , -1330.58    , array([ 1.0378     ,  0.108134   ,  5.33758    ,  1.45947    ,  0.0506615  ])
2100    , -1330.49    , array([ 1.0378     ,  0.108134   ,  5.33758    ,  1.45801    ,  0.0507122  ])
2101    , -1327.01    , array([ 0.983662   ,  0.103027   ,  5.27206    ,  1.49872    ,  0.0474929  ])
2102    , -1327.01    , array([ 0.983662   ,  0.103027   ,  5.27206    ,  1.49872    ,  0.0474929  ])
2103    , -1327.01    , array([ 0.984646   ,  0.103027   ,  5.27206    ,  1.49872    ,  0.0474929  ])
2104    , -1327.2     , array([ 0.983662   ,  0.10313    ,  5.27206    ,  1.49872    ,  0.0474929  ])
2105    , -1327.06    , array([ 0.983662   ,  0.103027   ,  5.27733    ,  1.49872    ,  0.0474929  ])
2106    , -1326.99    , array([ 0.983662   ,  0.103027   ,  5.27206    ,  1.50022    ,  0.0474929  ])
2107    , -1326.84    , array([ 0.983662   ,  0.103027   ,  5.27206    ,  1.49872    ,  0.0475404  ])
2108    , -1321.89    , array([ 1.02891    ,  0.101493   ,  4.82278    ,  1.70344    ,  0.0473066  ])
2109    , -1321.89    , array([ 1.02891    ,  0.101493   ,  4.82278    ,  1.70344    ,  0.0473066  ])
2110    , -1321.9     , array([ 1.02994    ,  0.101493   ,  4.82278    ,  1.70344    ,  0.0473066  ])
2111    , -1321.85    , array([ 1.02891    ,  0.101595   ,  4.82278    ,  1.70344    ,  0.0473066  ])
2112    , -1321.85    , array([ 1.02891    ,  0.101493   ,  4.8276     ,  1.70344    ,  0.0473066  ])
2113    , -1321.84    , array([ 1.02891    ,  0.101493   ,  4.82278    ,  1.70515    ,  0.0473066  ])
2114    , -1321.89    , array([ 1.02891    ,  0.101493   ,  4.82278    ,  1.70344    ,  0.0473539  ])
2115    , -1314.07    , array([ 1.0312     ,  0.0995846  ,  4.82325    ,  2.18926    ,  0.0477729  ])
2116    , -1314.07    , array([ 1.0312     ,  0.0995846  ,  4.82325    ,  2.18926    ,  0.0477729  ])
2117    , -1314.1     , array([ 1.03223    ,  0.0995846  ,  4.82325    ,  2.18926    ,  0.0477729  ])
2118    , -1314.18    , array([ 1.0312     ,  0.0996842  ,  4.82325    ,  2.18926    ,  0.0477729  ])
2119    , -1314.06    , array([ 1.0312     ,  0.0995846  ,  4.82808    ,  2.18926    ,  0.0477729  ])
2120    , -1314.06    , array([ 1.0312     ,  0.0995846  ,  4.82325    ,  2.19145    ,  0.0477729  ])
2121    , -1313.97    , array([ 1.0312     ,  0.0995846  ,  4.82325    ,  2.18926    ,  0.0478207  ])
2122    , -1312.82    , array([ 1.00428    ,  0.0976272  ,  4.97414    ,  2.74336    ,  0.048713   ])
2123    , -1312.82    , array([ 1.00428    ,  0.0976272  ,  4.97414    ,  2.74336    ,  0.048713   ])
2124    , -1312.83    , array([ 1.00529    ,  0.0976272  ,  4.97414    ,  2.74336    ,  0.048713   ])
2125    , -1313.07    , array([ 1.00428    ,  0.0977249  ,  4.97414    ,  2.74336    ,  0.048713   ])
2126    , -1312.85    , array([ 1.00428    ,  0.0976272  ,  4.97911    ,  2.74336    ,  0.048713   ])
2127    , -1312.87    , array([ 1.00428    ,  0.0976272  ,  4.97414    ,  2.7461     ,  0.048713   ])
2128    , -1312.65    , array([ 1.00428    ,  0.0976272  ,  4.97414    ,  2.74336    ,  0.0487617  ])
2129    , -1311.4     , array([ 0.998886   ,  0.0977908  ,  5.01352    ,  2.56782    ,  0.0485619  ])
2130    , -1311.4     , array([ 0.998886   ,  0.0977908  ,  5.01352    ,  2.56782    ,  0.0485619  ])
