43301   , -96154.7    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.0301321  ])
43303   , -33476.9    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.013256   ])
43305   , -9924.23    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00680988 ])
43306   , -75692.3    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  2.88049e-05])
43307   , -3216.73    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00434769 ])
43308   , -2363.34    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00345308 ])
43309   , -2370.03    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00351815 ])
43310   , -2363.26    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43311   , -2363.29    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.0034406  ])
43313   , -2363.26    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43314   , -2360.58    , array([ 1.19806    ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43315   , -2392.78    , array([ 2.81609    ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43316   , -2360.58    , array([ 1.19806    ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43317   , -2378.72    , array([ 1.81609    ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43318   , -2339.9     , array([ 0.816091   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43319   , -2320.41    , array([ 0.580023   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43320   , -2307       , array([ 0.434125   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43321   , -2303.04    , array([ 0.343955   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43322   , -2309.64    , array([ 0.280667   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43323   , -2303.18    , array([ 0.366275   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43324   , -2302.99    , array([ 0.349521   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43325   , -2302.99    , array([ 0.351441   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43326   , -2303       , array([ 0.352975   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43327   , -2302.99    , array([ 0.351441   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43328   , -68752.4    , array([ 0.351441   ,  1.01       ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43330   , -2302.99    , array([ 0.351441   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43332   , -63822.6    , array([ 0.351441   ,  0.391969   ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43333   , -56990.5    , array([ 0.351441   ,  0.200489   ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43336   , -41616.2    , array([ 0.351441   ,  0.0827622  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43338   , -22914.5    , array([ 0.351441   ,  0.0377946  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43340   , -9512.49    , array([ 0.351441   ,  0.0206185  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43342   , -4038.6     , array([ 0.351441   ,  0.0140578  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43344   , -2629.33    , array([ 0.351441   ,  0.0115518  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43346   , -2357.98    , array([ 0.351441   ,  0.0105946  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43348   , -2312.27    , array([ 0.351441   ,  0.010229   ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43350   , -2304.73    , array([ 0.351441   ,  0.0100894  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43352   , -2303.38    , array([ 0.351441   ,  0.010036   ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43354   , -2303.1     , array([ 0.351441   ,  0.0100157  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43356   , -2303.03    , array([ 0.351441   ,  0.0100079  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43358   , -2303.01    , array([ 0.351441   ,  0.0100049  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43359   , -2302.98    , array([ 0.351441   ,  0.0100018  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
