13797   , -1093.79    , array([ 0.445167   ,  99.9872    ,  0.522845   ,  0.0194987  ])
13798   , -1095.05    , array([ 0.445167   ,  99.8872    ,  0.523369   ,  0.0194987  ])
13799   , -1094.53    , array([ 0.445167   ,  99.8872    ,  0.522845   ,  0.0195182  ])
13800   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13801   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13802   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13804   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13805   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13806   , -1093.78    , array([ 0.445167   ,  99.8872    ,  0.522845   ,  0.0194987  ])
13807   , -1093.78    , array([ 0.445167   ,  99.8872    ,  0.522845   ,  0.0194987  ])
13808   , -1094.12    , array([ 0.445612   ,  99.8872    ,  0.522845   ,  0.0194987  ])
13809   , -1093.79    , array([ 0.445167   ,  99.9872    ,  0.522845   ,  0.0194987  ])
13810   , -1095.05    , array([ 0.445167   ,  99.8872    ,  0.523369   ,  0.0194987  ])
13811   , -1094.53    , array([ 0.445167   ,  99.8872    ,  0.522845   ,  0.0195182  ])
13812   , -1090.13    , array([ 0.44479    ,  99.952     ,  0.521767   ,  0.0194789  ])
13813   , -1090.13    , array([ 0.44479    ,  99.952     ,  0.521767   ,  0.0194789  ])
13814   , -1090.47    , array([ 0.445235   ,  99.952     ,  0.521767   ,  0.0194789  ])
13816   , -1091.4     , array([ 0.44479    ,  99.952     ,  0.522289   ,  0.0194789  ])
13817   , -1090.88    , array([ 0.44479    ,  99.952     ,  0.521767   ,  0.0194983  ])
13818   , -1088.69    , array([ 0.444642   ,  99.9775    ,  0.521343   ,  0.019471   ])
13819   , -1088.69    , array([ 0.444642   ,  99.9775    ,  0.521343   ,  0.019471   ])
13820   , -1089.03    , array([ 0.445087   ,  99.9775    ,  0.521343   ,  0.019471   ])
13822   , -1089.96    , array([ 0.444642   ,  99.9775    ,  0.521864   ,  0.019471   ])
13823   , -1089.44    , array([ 0.444642   ,  99.9775    ,  0.521343   ,  0.0194905  ])
13824   , -1088.39    , array([ 0.44461    ,  99.9829    ,  0.521253   ,  0.0194694  ])
13825   , -1088.39    , array([ 0.44461    ,  99.9829    ,  0.521253   ,  0.0194694  ])
13826   , -1088.73    , array([ 0.445055   ,  99.9829    ,  0.521253   ,  0.0194694  ])
13828   , -1089.65    , array([ 0.44461    ,  99.9829    ,  0.521775   ,  0.0194694  ])
13829   , -1089.13    , array([ 0.44461    ,  99.9829    ,  0.521253   ,  0.0194889  ])
13830   , -1088.33    , array([ 0.444604   ,  99.9841    ,  0.521234   ,  0.019469   ])
13831   , -1088.33    , array([ 0.444604   ,  99.9841    ,  0.521234   ,  0.019469   ])
13832   , -1088.67    , array([ 0.445049   ,  99.9841    ,  0.521234   ,  0.019469   ])
13834   , -1089.59    , array([ 0.444604   ,  99.9841    ,  0.521756   ,  0.019469   ])
13835   , -1089.07    , array([ 0.444604   ,  99.9841    ,  0.521234   ,  0.0194885  ])
13836   , -1088.31    , array([ 0.444602   ,  99.9843    ,  0.52123    ,  0.019469   ])
13837   , -1088.31    , array([ 0.444602   ,  99.9843    ,  0.52123    ,  0.019469   ])
13838   , -1088.65    , array([ 0.445047   ,  99.9843    ,  0.52123    ,  0.019469   ])
13840   , -1089.58    , array([ 0.444602   ,  99.9843    ,  0.521752   ,  0.019469   ])
13841   , -1089.06    , array([ 0.444602   ,  99.9843    ,  0.52123    ,  0.0194884  ])
13842   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13843   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13844   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13846   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13847   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13848   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13849   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13850   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13852   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13853   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13854   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13855   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13856   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
