39468   , -398.674    , array([ 0.128175   ,  0.552578   ,  0.302222   ,  1.458e-23  ])
39469   , -398.674    , array([ 0.128175   ,  0.552578   ,  0.302222   ,  1.458e-23  ])
39470   , -398.553    , array([ 0.128303   ,  0.552578   ,  0.302222   ,  1.458e-23  ])
39471   , -398.674    , array([ 0.128175   ,  0.553131   ,  0.302222   ,  1.458e-23  ])
39472   , -398.929    , array([ 0.128175   ,  0.552578   ,  0.302525   ,  1.458e-23  ])
39473   , -398.674    , array([ 0.128175   ,  0.552578   ,  0.302222   ,  1.45946e-23])
39474   , -395.815    , array([ 0.151501   ,  0.552578   ,  0.318209   ,  1.458e-23  ])
39475   , -395.815    , array([ 0.151501   ,  0.552578   ,  0.318209   ,  1.458e-23  ])
39476   , -395.804    , array([ 0.151653   ,  0.552578   ,  0.318209   ,  1.458e-23  ])
39477   , -395.815    , array([ 0.151501   ,  0.553131   ,  0.318209   ,  1.458e-23  ])
39478   , -395.863    , array([ 0.151501   ,  0.552578   ,  0.318528   ,  1.458e-23  ])
39479   , -395.815    , array([ 0.151501   ,  0.552578   ,  0.318209   ,  1.45946e-23])
39480   , -395.284    , array([ 0.137417   ,  0.552578   ,  0.30509    ,  1.458e-23  ])
39481   , -395.284    , array([ 0.137417   ,  0.552578   ,  0.30509    ,  1.458e-23  ])
39482   , -395.263    , array([ 0.137555   ,  0.552578   ,  0.30509    ,  1.458e-23  ])
39483   , -395.284    , array([ 0.137417   ,  0.553131   ,  0.30509    ,  1.458e-23  ])
39484   , -395.345    , array([ 0.137417   ,  0.552578   ,  0.305395   ,  1.458e-23  ])
39485   , -395.284    , array([ 0.137417   ,  0.552578   ,  0.30509    ,  1.45946e-23])
39486   , -394.692    , array([ 0.123691   ,  0.552578   ,  0.289284   ,  1.458e-23  ])
39487   , -394.692    , array([ 0.123691   ,  0.552578   ,  0.289284   ,  1.458e-23  ])
39488   , -394.673    , array([ 0.123815   ,  0.552578   ,  0.289284   ,  1.458e-23  ])
39489   , -394.692    , array([ 0.123691   ,  0.553131   ,  0.289284   ,  1.458e-23  ])
39490   , -394.742    , array([ 0.123691   ,  0.552578   ,  0.289573   ,  1.458e-23  ])
39491   , -394.692    , array([ 0.123691   ,  0.552578   ,  0.289284   ,  1.45946e-23])
39492   , -394.19     , array([ 0.107352   ,  0.552578   ,  0.268295   ,  1.458e-23  ])
39493   , -394.19     , array([ 0.107352   ,  0.552578   ,  0.268295   ,  1.458e-23  ])
39494   , -394.17     , array([ 0.107459   ,  0.552578   ,  0.268295   ,  1.458e-23  ])
39495   , -394.19     , array([ 0.107352   ,  0.553131   ,  0.268295   ,  1.458e-23  ])
39496   , -394.238    , array([ 0.107352   ,  0.552578   ,  0.268563   ,  1.458e-23  ])
39497   , -394.19     , array([ 0.107352   ,  0.552578   ,  0.268295   ,  1.45946e-23])
39498   , -393.848    , array([ 0.0944095  ,  0.552578   ,  0.249296   ,  1.458e-23  ])
39499   , -393.848    , array([ 0.0944095  ,  0.552578   ,  0.249296   ,  1.458e-23  ])
39500   , -393.831    , array([ 0.0945039  ,  0.552578   ,  0.249296   ,  1.458e-23  ])
39501   , -393.848    , array([ 0.0944095  ,  0.553131   ,  0.249296   ,  1.458e-23  ])
39502   , -393.888    , array([ 0.0944095  ,  0.552578   ,  0.249545   ,  1.458e-23  ])
39503   , -393.848    , array([ 0.0944095  ,  0.552578   ,  0.249296   ,  1.45946e-23])
39504   , -393.74     , array([ 0.0850657  ,  0.552578   ,  0.234796   ,  1.458e-23  ])
39505   , -393.74     , array([ 0.0850657  ,  0.552578   ,  0.234796   ,  1.458e-23  ])
39506   , -393.71     , array([ 0.0851508  ,  0.552578   ,  0.234796   ,  1.458e-23  ])
39507   , -393.74     , array([ 0.0850657  ,  0.553131   ,  0.234796   ,  1.458e-23  ])
39508   , -393.801    , array([ 0.0850657  ,  0.552578   ,  0.235031   ,  1.458e-23  ])
39509   , -393.74     , array([ 0.0850657  ,  0.552578   ,  0.234796   ,  1.45946e-23])
39510   , -393.682    , array([ 0.0827605  ,  0.552578   ,  0.230857   ,  1.458e-23  ])
39511   , -393.682    , array([ 0.0827605  ,  0.552578   ,  0.230857   ,  1.458e-23  ])
39512   , -393.654    , array([ 0.0828433  ,  0.552578   ,  0.230857   ,  1.458e-23  ])
39513   , -393.682    , array([ 0.0827605  ,  0.553131   ,  0.230857   ,  1.458e-23  ])
39514   , -393.74     , array([ 0.0827605  ,  0.552578   ,  0.231088   ,  1.458e-23  ])
39515   , -393.682    , array([ 0.0827605  ,  0.552578   ,  0.230857   ,  1.45946e-23])
39516   , -393.554    , array([ 0.0741477  ,  0.552578   ,  0.21575    ,  1.458e-23  ])
39517   , -393.554    , array([ 0.0741477  ,  0.552578   ,  0.21575    ,  1.458e-23  ])
39518   , -393.522    , array([ 0.0742219  ,  0.552578   ,  0.21575    ,  1.458e-23  ])
39519   , -393.554    , array([ 0.0741477  ,  0.553131   ,  0.21575    ,  1.458e-23  ])
39520   , -393.617    , array([ 0.0741477  ,  0.552578   ,  0.215966   ,  1.458e-23  ])
39521   , -393.554    , array([ 0.0741477  ,  0.552578   ,  0.21575    ,  1.45946e-23])
39522   , -393.507    , array([ 0.0706958  ,  0.552578   ,  0.209363   ,  1.458e-23  ])
39523   , -393.507    , array([ 0.0706958  ,  0.552578   ,  0.209363   ,  1.458e-23  ])
39524   , -393.474    , array([ 0.0707665  ,  0.552578   ,  0.209363   ,  1.458e-23  ])
39525   , -393.507    , array([ 0.0706958  ,  0.553131   ,  0.209363   ,  1.458e-23  ])
39526   , -393.572    , array([ 0.0706958  ,  0.552578   ,  0.209572   ,  1.458e-23  ])
39527   , -393.507    , array([ 0.0706958  ,  0.552578   ,  0.209363   ,  1.45946e-23])
39528   , -393.697    , array([ 0.0584221  ,  0.552578   ,  0.185648   ,  1.458e-23  ])
39529   , -393.697    , array([ 0.0584221  ,  0.552578   ,  0.185648   ,  1.458e-23  ])
39530   , -393.622    , array([ 0.0584805  ,  0.552578   ,  0.185648   ,  1.458e-23  ])
39531   , -393.697    , array([ 0.0584221  ,  0.553131   ,  0.185648   ,  1.458e-23  ])
39532   , -393.824    , array([ 0.0584221  ,  0.552578   ,  0.185834   ,  1.458e-23  ])
39533   , -393.697    , array([ 0.0584221  ,  0.552578   ,  0.185648   ,  1.45946e-23])
39534   , -393.49     , array([ 0.0679792  ,  0.552578   ,  0.204254   ,  1.458e-23  ])
39535   , -393.49     , array([ 0.0679792  ,  0.552578   ,  0.204254   ,  1.458e-23  ])
39536   , -393.453    , array([ 0.0680472  ,  0.552578   ,  0.204254   ,  1.458e-23  ])
39537   , -393.49     , array([ 0.0679792  ,  0.553131   ,  0.204254   ,  1.458e-23  ])
39538   , -393.56     , array([ 0.0679792  ,  0.552578   ,  0.204459   ,  1.458e-23  ])
39539   , -393.49     , array([ 0.0679792  ,  0.552578   ,  0.204254   ,  1.45946e-23])
39540   , -393.562    , array([ 0.0615104  ,  0.552578   ,  0.191776   ,  1.458e-23  ])
39541   , -393.562    , array([ 0.0615104  ,  0.552578   ,  0.191776   ,  1.458e-23  ])
39542   , -393.504    , array([ 0.0615719  ,  0.552578   ,  0.191776   ,  1.458e-23  ])
39543   , -393.562    , array([ 0.0615104  ,  0.553131   ,  0.191776   ,  1.458e-23  ])
39544   , -393.663    , array([ 0.0615104  ,  0.552578   ,  0.191968   ,  1.458e-23  ])
39545   , -393.562    , array([ 0.0615104  ,  0.552578   ,  0.191776   ,  1.45946e-23])
39546   , -393.49     , array([ 0.0666405  ,  0.552578   ,  0.201709   ,  1.458e-23  ])
39547   , -393.49     , array([ 0.0666405  ,  0.552578   ,  0.201709   ,  1.458e-23  ])
39548   , -393.45     , array([ 0.0667072  ,  0.552578   ,  0.201709   ,  1.458e-23  ])
39549   , -393.49     , array([ 0.0666405  ,  0.553131   ,  0.201709   ,  1.458e-23  ])
39550   , -393.564    , array([ 0.0666405  ,  0.552578   ,  0.201911   ,  1.458e-23  ])
39551   , -393.49     , array([ 0.0666405  ,  0.552578   ,  0.201709   ,  1.45946e-23])
39552   , -393.522    , array([ 0.0632087  ,  0.552578   ,  0.195097   ,  1.458e-23  ])
39553   , -393.522    , array([ 0.0632087  ,  0.552578   ,  0.195097   ,  1.458e-23  ])
39554   , -393.472    , array([ 0.063272   ,  0.552578   ,  0.195097   ,  1.458e-23  ])
39555   , -393.522    , array([ 0.0632087  ,  0.553131   ,  0.195097   ,  1.458e-23  ])
39556   , -393.612    , array([ 0.0632087  ,  0.552578   ,  0.195292   ,  1.458e-23  ])
39557   , -393.522    , array([ 0.0632087  ,  0.552578   ,  0.195097   ,  1.45946e-23])
39558   , -393.514    , array([ 0.0627498  ,  0.552578   ,  0.194165   ,  1.458e-23  ])
39559   , -393.514    , array([ 0.0627498  ,  0.552578   ,  0.194165   ,  1.458e-23  ])
39560   , -393.464    , array([ 0.0628125  ,  0.552578   ,  0.194165   ,  1.458e-23  ])
39561   , -393.514    , array([ 0.0627498  ,  0.553131   ,  0.194165   ,  1.458e-23  ])
39562   , -393.604    , array([ 0.0627498  ,  0.552578   ,  0.194359   ,  1.458e-23  ])
39563   , -393.514    , array([ 0.0627498  ,  0.552578   ,  0.194165   ,  1.45946e-23])
39564   , -393.492    , array([ 0.0609469  ,  0.552578   ,  0.190481   ,  1.458e-23  ])
