119925  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119926  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119927  , -65993.2    , array([ 0.0010019  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119928  , -65984      , array([ 0.0010009  ,  0.634509   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119929  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.0122e-25 ,  0.291812   ,  2.2374e-05 ])
119930  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.292104   ,  2.2374e-05 ])
119931  , -65974.6    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.23964e-05])
119932  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119933  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119934  , -65993.2    , array([ 0.0010019  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119935  , -65984      , array([ 0.0010009  ,  0.634509   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119936  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.0122e-25 ,  0.291812   ,  2.2374e-05 ])
119937  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.292104   ,  2.2374e-05 ])
119938  , -65974.6    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.23964e-05])
119939  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119940  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119941  , -65979.3    , array([ 0.00100116 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119942  , -65970.1    , array([ 0.00100016 ,  0.634497   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119943  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.0122e-25 ,  0.291812   ,  2.23909e-05])
119944  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.292104   ,  2.23909e-05])
119945  , -65960.8    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.24133e-05])
119946  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119947  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119948  , -65979.3    , array([ 0.00100116 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119949  , -65970.1    , array([ 0.00100016 ,  0.634497   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119950  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.0122e-25 ,  0.291812   ,  2.23909e-05])
119951  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.292104   ,  2.23909e-05])
119952  , -65960.8    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.24133e-05])
119953  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119954  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119955  , -65979.3    , array([ 0.00100116 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119956  , -65970.1    , array([ 0.00100016 ,  0.634497   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119957  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.0122e-25 ,  0.291812   ,  2.23909e-05])
119958  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.292104   ,  2.23909e-05])
119959  , -65960.8    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.24133e-05])
119962  , -65972.4    , array([ 0.00100079 ,  0.633858   ,  2.01019e-25,  0.291812   ,  2.23994e-05])
119967  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119968  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119969  , -65979.3    , array([ 0.00100116 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119970  , -65970.1    , array([ 0.00100016 ,  0.634497   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119971  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.0122e-25 ,  0.291812   ,  2.23909e-05])
119972  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.292104   ,  2.23909e-05])
119973  , -65960.8    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.24133e-05])
119974  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119975  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119976  , -65979.3    , array([ 0.00100116 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119977  , -65970.1    , array([ 0.00100016 ,  0.634497   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119978  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.0122e-25 ,  0.291812   ,  2.23909e-05])
119979  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.292104   ,  2.23909e-05])
119980  , -65960.8    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.24133e-05])
119983  , -65975.9    , array([ 0.00100098 ,  0.63386    ,  2.01019e-25,  0.291812   ,  2.23952e-05])
119988  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119989  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119990  , -65979.3    , array([ 0.00100116 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119991  , -65970.1    , array([ 0.00100016 ,  0.634497   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119992  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.0122e-25 ,  0.291812   ,  2.23909e-05])
119993  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.292104   ,  2.23909e-05])
119994  , -65960.8    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.24133e-05])
119995  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119996  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119997  , -65979.3    , array([ 0.00100116 ,  0.633863   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119998  , -65970.1    , array([ 0.00100016 ,  0.634497   ,  2.01019e-25,  0.291812   ,  2.23909e-05])
119999  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.0122e-25 ,  0.291812   ,  2.23909e-05])
120000  , -65970.1    , array([ 0.00100016 ,  0.633863   ,  2.01019e-25,  0.292104   ,  2.23909e-05])
