46053   , -1632.58    , array([ 1.43616    ,  0.0675554  ,  5.0547e-53 ,  3.14536e-20,  0.0241915  ])
46054   , -1632.58    , array([ 1.43616    ,  0.0675554  ,  5.04965e-53,  3.14851e-20,  0.0241915  ])
46055   , -1632.58    , array([ 1.43616    ,  0.0675554  ,  5.04965e-53,  3.14536e-20,  0.0242157  ])
46056   , -1632.55    , array([ 1.43697    ,  0.0676195  ,  5.04965e-53,  3.14536e-20,  0.024215   ])
46057   , -1632.55    , array([ 1.43697    ,  0.0676195  ,  5.04965e-53,  3.14536e-20,  0.024215   ])
46058   , -1632.55    , array([ 1.43841    ,  0.0676195  ,  5.04965e-53,  3.14536e-20,  0.024215   ])
46059   , -1632.55    , array([ 1.43697    ,  0.0676872  ,  5.04965e-53,  3.14536e-20,  0.024215   ])
46060   , -1632.55    , array([ 1.43697    ,  0.0676195  ,  5.0547e-53 ,  3.14536e-20,  0.024215   ])
46061   , -1632.55    , array([ 1.43697    ,  0.0676195  ,  5.04965e-53,  3.14851e-20,  0.024215   ])
46062   , -1632.55    , array([ 1.43697    ,  0.0676195  ,  5.04965e-53,  3.14536e-20,  0.0242393  ])
46063   , -1632.54    , array([ 1.43669    ,  0.06765    ,  5.04965e-53,  3.14536e-20,  0.0242261  ])
46064   , -1632.54    , array([ 1.43669    ,  0.06765    ,  5.04965e-53,  3.14536e-20,  0.0242261  ])
46065   , -1632.54    , array([ 1.43812    ,  0.06765    ,  5.04965e-53,  3.14536e-20,  0.0242261  ])
46066   , -1632.54    , array([ 1.43669    ,  0.0677177  ,  5.04965e-53,  3.14536e-20,  0.0242261  ])
46067   , -1632.54    , array([ 1.43669    ,  0.06765    ,  5.0547e-53 ,  3.14536e-20,  0.0242261  ])
46068   , -1632.54    , array([ 1.43669    ,  0.06765    ,  5.04965e-53,  3.14851e-20,  0.0242261  ])
46069   , -1632.54    , array([ 1.43669    ,  0.06765    ,  5.04965e-53,  3.14536e-20,  0.0242504  ])
46070   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46071   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46072   , -1632.54    , array([ 1.43797    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46073   , -1632.54    , array([ 1.43653    ,  0.0677187  ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46074   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.0547e-53 ,  3.14536e-20,  0.0242265  ])
46075   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14851e-20,  0.0242265  ])
46076   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242507  ])
46077   , -1632.54    , array([ 1.43651    ,  0.0676507  ,  5.04965e-53,  3.14536e-20,  0.0242263  ])
