44629   , -393.731    , array([ 0.0819996  ,  29.648     ,  0.229807   ,  2.13945e-90])
44630   , -393.695    , array([ 0.0820816  ,  29.648     ,  0.229807   ,  2.13945e-90])
44631   , -393.731    , array([ 0.0819996  ,  29.6777    ,  0.229807   ,  2.13945e-90])
44632   , -393.802    , array([ 0.0819996  ,  29.648     ,  0.230037   ,  2.13945e-90])
44633   , -393.731    , array([ 0.0819996  ,  29.648     ,  0.229807   ,  2.14159e-90])
44634   , -393.733    , array([ 0.0811724  ,  29.648     ,  0.228443   ,  2.13945e-90])
44635   , -393.733    , array([ 0.0811724  ,  29.648     ,  0.228443   ,  2.13945e-90])
44636   , -393.695    , array([ 0.0812537  ,  29.648     ,  0.228443   ,  2.13945e-90])
44637   , -393.733    , array([ 0.0811724  ,  29.6777    ,  0.228443   ,  2.13945e-90])
44638   , -393.807    , array([ 0.0811724  ,  29.648     ,  0.228671   ,  2.13945e-90])
44639   , -393.733    , array([ 0.0811724  ,  29.648     ,  0.228443   ,  2.14159e-90])
44640   , -393.731    , array([ 0.0818282  ,  29.648     ,  0.229525   ,  2.13945e-90])
44641   , -393.731    , array([ 0.0818282  ,  29.648     ,  0.229525   ,  2.13945e-90])
44642   , -393.695    , array([ 0.0819101  ,  29.648     ,  0.229525   ,  2.13945e-90])
44643   , -393.731    , array([ 0.0818282  ,  29.6777    ,  0.229525   ,  2.13945e-90])
44644   , -393.803    , array([ 0.0818282  ,  29.648     ,  0.229754   ,  2.13945e-90])
44645   , -393.731    , array([ 0.0818282  ,  29.648     ,  0.229525   ,  2.14159e-90])
44646   , -393.731    , array([ 0.0819638  ,  29.648     ,  0.229748   ,  2.13945e-90])
44647   , -393.731    , array([ 0.0819638  ,  29.648     ,  0.229748   ,  2.13945e-90])
44648   , -393.695    , array([ 0.0820458  ,  29.648     ,  0.229748   ,  2.13945e-90])
44649   , -393.731    , array([ 0.0819638  ,  29.6777    ,  0.229748   ,  2.13945e-90])
