25075   , -2212.85    , array([ 0.0690004  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25076   , -2212.97    , array([ 0.0689314  ,  0.00100125 ,  6.33216e-39,  7.1936e-06 ])
25077   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33849e-39,  7.1936e-06 ])
25078   , -2212.74    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.20079e-06])
25079   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25080   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25081   , -2212.85    , array([ 0.0690004  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25082   , -2212.97    , array([ 0.0689314  ,  0.00100125 ,  6.33216e-39,  7.1936e-06 ])
25083   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33849e-39,  7.1936e-06 ])
25084   , -2212.74    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.20079e-06])
25085   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25086   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25087   , -2212.85    , array([ 0.0690004  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25088   , -2212.97    , array([ 0.0689314  ,  0.00100125 ,  6.33216e-39,  7.1936e-06 ])
25089   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33849e-39,  7.1936e-06 ])
25090   , -2212.74    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.20079e-06])
25091   , -2333.12    , array([ 0.0689314  ,  0.120146   ,  6.33216e-39,  2.6245e-05 ])
25092   , -2333.12    , array([ 0.0689314  ,  0.120146   ,  6.33216e-39,  2.6245e-05 ])
25093   , -2333.12    , array([ 0.0690004  ,  0.120146   ,  6.33216e-39,  2.6245e-05 ])
25094   , -2333.13    , array([ 0.0689314  ,  0.120266   ,  6.33216e-39,  2.6245e-05 ])
25095   , -2333.12    , array([ 0.0689314  ,  0.120146   ,  6.33849e-39,  2.6245e-05 ])
25096   , -2333.12    , array([ 0.0689314  ,  0.120146   ,  6.33216e-39,  2.62712e-05])
25097   , -2317.45    , array([ 0.0689314  ,  0.014192   ,  6.33216e-39,  1.47335e-05])
25098   , -2317.45    , array([ 0.0689314  ,  0.014192   ,  6.33216e-39,  1.47335e-05])
25099   , -2317.45    , array([ 0.0690004  ,  0.014192   ,  6.33216e-39,  1.47335e-05])
25100   , -2317.47    , array([ 0.0689314  ,  0.0142062  ,  6.33216e-39,  1.47335e-05])
25101   , -2317.45    , array([ 0.0689314  ,  0.014192   ,  6.33849e-39,  1.47335e-05])
25102   , -2317.43    , array([ 0.0689314  ,  0.014192   ,  6.33216e-39,  1.47482e-05])
25104   , -2248.96    , array([ 0.0689314  ,  0.0016764  ,  6.33216e-39,  8.27112e-06])
25105   , -2248.96    , array([ 0.0689314  ,  0.0016764  ,  6.33216e-39,  8.27112e-06])
25106   , -2248.96    , array([ 0.0690004  ,  0.0016764  ,  6.33216e-39,  8.27112e-06])
25107   , -2249.04    , array([ 0.0689314  ,  0.00167808 ,  6.33216e-39,  8.27112e-06])
25108   , -2248.96    , array([ 0.0689314  ,  0.0016764  ,  6.33849e-39,  8.27112e-06])
25109   , -2248.88    , array([ 0.0689314  ,  0.0016764  ,  6.33216e-39,  8.2794e-06 ])
25112   , -2231.68    , array([ 0.0689314  ,  0.00128357 ,  6.33216e-39,  7.69523e-06])
25113   , -2231.68    , array([ 0.0689314  ,  0.00128357 ,  6.33216e-39,  7.69523e-06])
25114   , -2231.68    , array([ 0.0690004  ,  0.00128357 ,  6.33216e-39,  7.69523e-06])
25115   , -2231.78    , array([ 0.0689314  ,  0.00128485 ,  6.33216e-39,  7.69523e-06])
25116   , -2231.68    , array([ 0.0689314  ,  0.00128357 ,  6.33849e-39,  7.69523e-06])
