221531  , -79073.3    , array([ 2.71918    ,  0.00102098 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221532  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50618e-10,  0.0076644  ,  1.39845e-08])
221533  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.00767206 ,  1.39845e-08])
221534  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39985e-08])
221535  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221536  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221537  , -79073.3    , array([ 2.7219     ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221538  , -79073.3    , array([ 2.71918    ,  0.00102098 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221539  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50618e-10,  0.0076644  ,  1.39845e-08])
221540  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.00767206 ,  1.39845e-08])
221541  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39985e-08])
221542  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221543  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221544  , -79073.3    , array([ 2.7219     ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221545  , -79073.3    , array([ 2.71918    ,  0.00102098 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221546  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50618e-10,  0.0076644  ,  1.39845e-08])
221547  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.00767206 ,  1.39845e-08])
221548  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39985e-08])
221549  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221550  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221551  , -79072.9    , array([ 2.72184    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221552  , -79072.9    , array([ 2.71912    ,  0.00100663 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221553  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50618e-10,  0.0076644  ,  1.41844e-08])
221554  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.00767206 ,  1.41844e-08])
221555  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41986e-08])
221556  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221557  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221558  , -79072.9    , array([ 2.72184    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221559  , -79072.9    , array([ 2.71912    ,  0.00100663 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221560  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50618e-10,  0.0076644  ,  1.41844e-08])
221561  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.00767206 ,  1.41844e-08])
221562  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41986e-08])
221563  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221564  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221565  , -79072.9    , array([ 2.72184    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221566  , -79072.9    , array([ 2.71912    ,  0.00100663 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221567  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50618e-10,  0.0076644  ,  1.41844e-08])
221568  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.00767206 ,  1.41844e-08])
221569  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41986e-08])
221577  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221578  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221579  , -79072.9    , array([ 2.72184    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221580  , -79072.9    , array([ 2.71912    ,  0.00100663 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221581  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50618e-10,  0.0076644  ,  1.41844e-08])
221582  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.00767206 ,  1.41844e-08])
221583  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41986e-08])
221584  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221585  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221586  , -79072.9    , array([ 2.72184    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221587  , -79072.9    , array([ 2.71912    ,  0.00100663 ,  2.50368e-10,  0.0076644  ,  1.41844e-08])
221588  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50618e-10,  0.0076644  ,  1.41844e-08])
221589  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.00767206 ,  1.41844e-08])
221590  , -79072.9    , array([ 2.71912    ,  0.00100563 ,  2.50368e-10,  0.0076644  ,  1.41986e-08])
221591  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221592  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221593  , -79072.8    , array([ 2.72183    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221594  , -79072.8    , array([ 2.71911    ,  0.00100308 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221595  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50618e-10,  0.0076644  ,  1.42348e-08])
221596  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.00767206 ,  1.42348e-08])
221597  , -79072.7    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.4249e-08 ])
221598  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221599  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221600  , -79072.8    , array([ 2.72183    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221601  , -79072.8    , array([ 2.71911    ,  0.00100308 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221602  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50618e-10,  0.0076644  ,  1.42348e-08])
221603  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.00767206 ,  1.42348e-08])
221604  , -79072.7    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.4249e-08 ])
221605  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221606  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221607  , -79072.8    , array([ 2.72183    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221608  , -79072.8    , array([ 2.71911    ,  0.00100308 ,  2.50368e-10,  0.0076644  ,  1.42348e-08])
221609  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50618e-10,  0.0076644  ,  1.42348e-08])
221610  , -79072.8    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.00767206 ,  1.42348e-08])
221611  , -79072.7    , array([ 2.71911    ,  0.00100207 ,  2.50368e-10,  0.0076644  ,  1.4249e-08 ])
221612  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221613  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221614  , -79072.7    , array([ 2.72182    ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221615  , -79072.7    , array([ 2.7191     ,  0.0010013  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221616  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50618e-10,  0.0076644  ,  1.42601e-08])
221617  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.00767206 ,  1.42601e-08])
221618  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42743e-08])
221619  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221620  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221621  , -79072.7    , array([ 2.72182    ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221622  , -79072.7    , array([ 2.7191     ,  0.0010013  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221623  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50618e-10,  0.0076644  ,  1.42601e-08])
221624  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.00767206 ,  1.42601e-08])
221625  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42743e-08])
221626  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221627  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221628  , -79072.7    , array([ 2.72182    ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221629  , -79072.7    , array([ 2.7191     ,  0.0010013  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221630  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50618e-10,  0.0076644  ,  1.42601e-08])
221631  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.00767206 ,  1.42601e-08])
221632  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42743e-08])
221636  , -79072.7    , array([ 2.7191     ,  0.00100042 ,  2.50368e-10,  0.0076644  ,  1.42727e-08])
221640  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221641  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221642  , -79072.7    , array([ 2.72182    ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221643  , -79072.7    , array([ 2.7191     ,  0.0010013  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221644  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50618e-10,  0.0076644  ,  1.42601e-08])
221645  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.00767206 ,  1.42601e-08])
221646  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42743e-08])
221647  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221648  , -79072.7    , array([ 2.7191     ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221649  , -79072.7    , array([ 2.72182    ,  0.0010003  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
221650  , -79072.7    , array([ 2.7191     ,  0.0010013  ,  2.50368e-10,  0.0076644  ,  1.42601e-08])
