169823  , -5681.25    , array([ 99.9262    ,  0.0196844  ,  0.00107916 ,  4.44667e-05,  0.0111397  ])
169824  , -5697.2     , array([ 99.9262    ,  0.0196647  ,  0.00108024 ,  4.44667e-05,  0.0111397  ])
169825  , -5697.2     , array([ 99.9262    ,  0.0196647  ,  0.00107916 ,  4.45111e-05,  0.0111397  ])
169826  , -5712.41    , array([ 99.9262    ,  0.0196647  ,  0.00107916 ,  4.44667e-05,  0.0111508  ])
169827  , -5697.1     , array([ 99.9588    ,  0.0196637  ,  0.00107933 ,  4.44732e-05,  0.011139   ])
169828  , -5697.1     , array([ 99.9588    ,  0.0196637  ,  0.00107933 ,  4.44732e-05,  0.011139   ])
169830  , -5681.16    , array([ 99.9588    ,  0.0196833  ,  0.00107933 ,  4.44732e-05,  0.011139   ])
169831  , -5697.1     , array([ 99.9588    ,  0.0196637  ,  0.00108041 ,  4.44732e-05,  0.011139   ])
169832  , -5697.1     , array([ 99.9588    ,  0.0196637  ,  0.00107933 ,  4.45177e-05,  0.011139   ])
169833  , -5712.31    , array([ 99.9588    ,  0.0196637  ,  0.00107933 ,  4.44732e-05,  0.0111501  ])
169834  , -5697.08    , array([ 99.9657    ,  0.0196634  ,  0.00107936 ,  4.44746e-05,  0.0111388  ])
169835  , -5697.08    , array([ 99.9657    ,  0.0196634  ,  0.00107936 ,  4.44746e-05,  0.0111388  ])
169837  , -5681.14    , array([ 99.9657    ,  0.0196831  ,  0.00107936 ,  4.44746e-05,  0.0111388  ])
169838  , -5697.08    , array([ 99.9657    ,  0.0196634  ,  0.00108044 ,  4.44746e-05,  0.0111388  ])
169839  , -5697.08    , array([ 99.9657    ,  0.0196634  ,  0.00107936 ,  4.45191e-05,  0.0111388  ])
169840  , -5712.29    , array([ 99.9657    ,  0.0196634  ,  0.00107936 ,  4.44746e-05,  0.01115    ])
169841  , -5697.08    , array([ 99.9671    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169842  , -5697.08    , array([ 99.9671    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169844  , -5681.13    , array([ 99.9671    ,  0.0196831  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169845  , -5697.08    , array([ 99.9671    ,  0.0196634  ,  0.00108045 ,  4.44749e-05,  0.0111388  ])
169846  , -5697.08    , array([ 99.9671    ,  0.0196634  ,  0.00107937 ,  4.45194e-05,  0.0111388  ])
169847  , -5712.29    , array([ 99.9671    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111499  ])
169848  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169849  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
