254145  , -53306      , array([ 0.00369603 ,  0.11634    ,  1.25601e-06,  6.11663e-38,  0.000406854])
254146  , -53301.6    , array([ 0.00369973 ,  0.11634    ,  1.25601e-06,  6.11663e-38,  0.000406854])
254147  , -53307.8    , array([ 0.00369603 ,  0.116456   ,  1.25601e-06,  6.11663e-38,  0.000406854])
254148  , -53306      , array([ 0.00369603 ,  0.11634    ,  1.25727e-06,  6.11663e-38,  0.000406854])
254149  , -53306      , array([ 0.00369603 ,  0.11634    ,  1.25601e-06,  6.12275e-38,  0.000406854])
254150  , -53308.4    , array([ 0.00369603 ,  0.11634    ,  1.25601e-06,  6.11663e-38,  0.000407261])
254151  , -47986.2    , array([ 0.00197872 ,  0.0148337  ,  1.25601e-06,  6.11663e-38,  0.000252412])
254152  , -47986.2    , array([ 0.00197872 ,  0.0148337  ,  1.25601e-06,  6.11663e-38,  0.000252412])
254153  , -47976.3    , array([ 0.0019807  ,  0.0148337  ,  1.25601e-06,  6.11663e-38,  0.000252412])
254154  , -47993.4    , array([ 0.00197872 ,  0.0148485  ,  1.25601e-06,  6.11663e-38,  0.000252412])
254155  , -47986.2    , array([ 0.00197872 ,  0.0148337  ,  1.25727e-06,  6.11663e-38,  0.000252412])
254156  , -47986.2    , array([ 0.00197872 ,  0.0148337  ,  1.25601e-06,  6.12275e-38,  0.000252412])
254157  , -47988.7    , array([ 0.00197872 ,  0.0148337  ,  1.25601e-06,  6.11663e-38,  0.000252664])
254165  , -47983.5    , array([ 0.00197839 ,  0.0148255  ,  1.25601e-06,  6.11663e-38,  0.000252379])
254166  , -47983.5    , array([ 0.00197839 ,  0.0148255  ,  1.25601e-06,  6.11663e-38,  0.000252379])
254167  , -47973.6    , array([ 0.00198037 ,  0.0148255  ,  1.25601e-06,  6.11663e-38,  0.000252379])
254168  , -47990.8    , array([ 0.00197839 ,  0.0148403  ,  1.25601e-06,  6.11663e-38,  0.000252379])
254169  , -47983.5    , array([ 0.00197839 ,  0.0148255  ,  1.25727e-06,  6.11663e-38,  0.000252379])
254170  , -47983.5    , array([ 0.00197839 ,  0.0148255  ,  1.25601e-06,  6.12275e-38,  0.000252379])
254171  , -47986      , array([ 0.00197839 ,  0.0148255  ,  1.25601e-06,  6.11663e-38,  0.000252632])
254172  , -47980.8    , array([ 0.00197806 ,  0.0148173  ,  1.25601e-06,  6.11663e-38,  0.000252347])
254173  , -47980.8    , array([ 0.00197806 ,  0.0148173  ,  1.25601e-06,  6.11663e-38,  0.000252347])
254174  , -47970.9    , array([ 0.00198004 ,  0.0148173  ,  1.25601e-06,  6.11663e-38,  0.000252347])
254175  , -47988.1    , array([ 0.00197806 ,  0.0148322  ,  1.25601e-06,  6.11663e-38,  0.000252347])
254176  , -47980.8    , array([ 0.00197806 ,  0.0148173  ,  1.25727e-06,  6.11663e-38,  0.000252347])
