251922  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53389e-46,  0.000275309])
251923  , -3451.96    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275584])
251924  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251925  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251926  , -3458.82    , array([ 1.78218    ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251927  , -3465.68    , array([ 1.7804     ,  0.00100103 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251928  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57299e-71,  1.53236e-46,  0.000275309])
251929  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53389e-46,  0.000275309])
251930  , -3451.96    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275584])
251931  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251932  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251933  , -3458.82    , array([ 1.78218    ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251934  , -3465.68    , array([ 1.7804     ,  0.00100103 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251935  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57299e-71,  1.53236e-46,  0.000275309])
251936  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53389e-46,  0.000275309])
251937  , -3451.96    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275584])
251938  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
