2009    , -391.339    , array([ 0.00647107 ,  0.0414121  ,  0.0117611  ,  0.0629207  ])
2010    , -391.204    , array([ 0.00559947 ,  0.0417337  ,  0.0101139  ,  0.0632182  ])
2011    , -391.204    , array([ 0.00559947 ,  0.0417337  ,  0.0101139  ,  0.0632182  ])
2012    , -391.171    , array([ 0.00560507 ,  0.0417337  ,  0.0101139  ,  0.0632182  ])
2013    , -391.191    , array([ 0.00559947 ,  0.0417755  ,  0.0101139  ,  0.0632182  ])
2014    , -391.245    , array([ 0.00559947 ,  0.0417337  ,  0.0101241  ,  0.0632182  ])
2015    , -391.24     , array([ 0.00559947 ,  0.0417337  ,  0.0101139  ,  0.0632815  ])
2016    , -390.939    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2017    , -390.939    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2018    , -390.956    , array([ 0.00314242 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2019    , -390.931    , array([ 0.00313928 ,  0.0430886  ,  0.00553107 ,  0.0646805  ])
2020    , -390.931    , array([ 0.00313928 ,  0.0430455  ,  0.0055366  ,  0.0646805  ])
2021    , -390.942    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0647452  ])
2028    , -390.939    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2029    , -390.939    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2030    , -390.956    , array([ 0.00314242 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2031    , -390.931    , array([ 0.00313928 ,  0.0430886  ,  0.00553107 ,  0.0646805  ])
2032    , -390.931    , array([ 0.00313928 ,  0.0430455  ,  0.0055366  ,  0.0646805  ])
2033    , -390.942    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0647452  ])
2040    , -390.939    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2041    , -390.939    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2042    , -390.956    , array([ 0.00314242 ,  0.0430455  ,  0.00553107 ,  0.0646805  ])
2043    , -390.931    , array([ 0.00313928 ,  0.0430886  ,  0.00553107 ,  0.0646805  ])
2044    , -390.931    , array([ 0.00313928 ,  0.0430455  ,  0.0055366  ,  0.0646805  ])
2045    , -390.942    , array([ 0.00313928 ,  0.0430455  ,  0.00553107 ,  0.0647452  ])
2046    , -391.962    , array([ 0.00114534 ,  0.0454305  ,  0.00193244 ,  0.0673097  ])
2047    , -391.962    , array([ 0.00114534 ,  0.0454305  ,  0.00193244 ,  0.0673097  ])
2048    , -392.103    , array([ 0.00114649 ,  0.0454305  ,  0.00193244 ,  0.0673097  ])
2049    , -391.966    , array([ 0.00114534 ,  0.045476   ,  0.00193244 ,  0.0673097  ])
2050    , -391.828    , array([ 0.00114534 ,  0.0454305  ,  0.00193437 ,  0.0673097  ])
2051    , -391.878    , array([ 0.00114534 ,  0.0454305  ,  0.00193244 ,  0.0673771  ])
2052    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2053    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2054    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2055    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2056    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2057    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2058    , -390.983    , array([ 0.00231902 ,  0.0436854  ,  0.00403417 ,  0.0654794  ])
2059    , -390.983    , array([ 0.00231902 ,  0.0436854  ,  0.00403417 ,  0.0654794  ])
2060    , -391.029    , array([ 0.00232134 ,  0.0436854  ,  0.00403417 ,  0.0654794  ])
2061    , -390.978    , array([ 0.00231902 ,  0.0437291  ,  0.00403417 ,  0.0654794  ])
2062    , -390.945    , array([ 0.00231902 ,  0.0436854  ,  0.00403821 ,  0.0654794  ])
2063    , -390.966    , array([ 0.00231902 ,  0.0436854  ,  0.00403417 ,  0.0655449  ])
2064    , -390.962    , array([ 0.00250177 ,  0.0435585  ,  0.00436533 ,  0.0652674  ])
2065    , -390.962    , array([ 0.00250177 ,  0.0435585  ,  0.00436533 ,  0.0652674  ])
2066    , -391.003    , array([ 0.00250428 ,  0.0435585  ,  0.00436533 ,  0.0652674  ])
2067    , -390.956    , array([ 0.00250177 ,  0.0436021  ,  0.00436533 ,  0.0652674  ])
2068    , -390.929    , array([ 0.00250177 ,  0.0435585  ,  0.00436969 ,  0.0652674  ])
2069    , -390.948    , array([ 0.00250177 ,  0.0435585  ,  0.00436533 ,  0.0653327  ])
2070    , -390.958    , array([ 0.00254061 ,  0.0435328  ,  0.00443583 ,  0.0652244  ])
2071    , -390.958    , array([ 0.00254061 ,  0.0435328  ,  0.00443583 ,  0.0652244  ])
2072    , -390.998    , array([ 0.00254316 ,  0.0435328  ,  0.00443583 ,  0.0652244  ])
2073    , -390.953    , array([ 0.00254061 ,  0.0435764  ,  0.00443583 ,  0.0652244  ])
2074    , -390.926    , array([ 0.00254061 ,  0.0435328  ,  0.00444027 ,  0.0652244  ])
2075    , -390.945    , array([ 0.00254061 ,  0.0435328  ,  0.00443583 ,  0.0652897  ])
2076    , -390.958    , array([ 0.00254858 ,  0.0435276  ,  0.0044503  ,  0.0652157  ])
2077    , -390.958    , array([ 0.00254858 ,  0.0435276  ,  0.0044503  ,  0.0652157  ])
2078    , -390.998    , array([ 0.00255113 ,  0.0435276  ,  0.0044503  ,  0.0652157  ])
2079    , -390.952    , array([ 0.00254858 ,  0.0435712  ,  0.0044503  ,  0.0652157  ])
2080    , -390.926    , array([ 0.00254858 ,  0.0435276  ,  0.00445475 ,  0.0652157  ])
2081    , -390.945    , array([ 0.00254858 ,  0.0435276  ,  0.0044503  ,  0.065281   ])
2082    , -390.957    , array([ 0.0025502  ,  0.0435265  ,  0.00445324 ,  0.0652139  ])
2083    , -390.957    , array([ 0.0025502  ,  0.0435265  ,  0.00445324 ,  0.0652139  ])
2084    , -390.997    , array([ 0.00255275 ,  0.0435265  ,  0.00445324 ,  0.0652139  ])
2085    , -390.952    , array([ 0.0025502  ,  0.0435701  ,  0.00445324 ,  0.0652139  ])
2086    , -390.926    , array([ 0.0025502  ,  0.0435265  ,  0.0044577  ,  0.0652139  ])
2087    , -390.945    , array([ 0.0025502  ,  0.0435265  ,  0.00445324 ,  0.0652792  ])
2088    , -390.957    , array([ 0.00255053 ,  0.0435263  ,  0.00445384 ,  0.0652136  ])
2089    , -390.957    , array([ 0.00255053 ,  0.0435263  ,  0.00445384 ,  0.0652136  ])
2090    , -390.997    , array([ 0.00255308 ,  0.0435263  ,  0.00445384 ,  0.0652136  ])
2091    , -390.952    , array([ 0.00255053 ,  0.0435699  ,  0.00445384 ,  0.0652136  ])
2092    , -390.926    , array([ 0.00255053 ,  0.0435263  ,  0.0044583  ,  0.0652136  ])
2093    , -390.945    , array([ 0.00255053 ,  0.0435263  ,  0.00445384 ,  0.0652788  ])
2094    , -390.957    , array([ 0.0025506  ,  0.0435263  ,  0.00445397 ,  0.0652135  ])
2095    , -390.957    , array([ 0.0025506  ,  0.0435263  ,  0.00445397 ,  0.0652135  ])
2096    , -390.997    , array([ 0.00255315 ,  0.0435263  ,  0.00445397 ,  0.0652135  ])
2097    , -390.952    , array([ 0.0025506  ,  0.0435698  ,  0.00445397 ,  0.0652135  ])
2098    , -390.926    , array([ 0.0025506  ,  0.0435263  ,  0.00445842 ,  0.0652135  ])
2099    , -390.945    , array([ 0.0025506  ,  0.0435263  ,  0.00445397 ,  0.0652787  ])
2100    , -390.957    , array([ 0.00255061 ,  0.0435263  ,  0.00445399 ,  0.0652135  ])
2101    , -390.957    , array([ 0.00255061 ,  0.0435263  ,  0.00445399 ,  0.0652135  ])
2102    , -390.997    , array([ 0.00255316 ,  0.0435263  ,  0.00445399 ,  0.0652135  ])
2103    , -390.952    , array([ 0.00255061 ,  0.0435698  ,  0.00445399 ,  0.0652135  ])
2104    , -390.926    , array([ 0.00255061 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2105    , -390.945    , array([ 0.00255061 ,  0.0435263  ,  0.00445399 ,  0.0652787  ])
2106    , -390.957    , array([ 0.00255061 ,  0.0435263  ,  0.00445399 ,  0.0652135  ])
2107    , -390.957    , array([ 0.00255061 ,  0.0435263  ,  0.00445399 ,  0.0652135  ])
2108    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.00445399 ,  0.0652135  ])
2109    , -390.952    , array([ 0.00255061 ,  0.0435698  ,  0.00445399 ,  0.0652135  ])
2110    , -390.926    , array([ 0.00255061 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2111    , -390.945    , array([ 0.00255061 ,  0.0435263  ,  0.00445399 ,  0.0652787  ])
2112    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2113    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2114    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2115    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2116    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2117    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2118    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2119    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2120    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2121    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2122    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2123    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2124    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2125    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2126    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
