28661   , -1659.85    , array([ 0.384917   ,  0.373357   ,  0.0354727  ,  2.6379e-31 ])
28662   , -1659.37    , array([ 0.384917   ,  0.372984   ,  0.0355081  ,  2.6379e-31 ])
28663   , -1659.85    , array([ 0.384917   ,  0.372984   ,  0.0354727  ,  2.64054e-31])
28664   , -1640.39    , array([ 0.271701   ,  0.372984   ,  0.0247408  ,  2.6379e-31 ])
28665   , -1640.39    , array([ 0.271701   ,  0.372984   ,  0.0247408  ,  2.6379e-31 ])
28666   , -1640.82    , array([ 0.271973   ,  0.372984   ,  0.0247408  ,  2.6379e-31 ])
28667   , -1640.39    , array([ 0.271701   ,  0.373357   ,  0.0247408  ,  2.6379e-31 ])
28668   , -1639.96    , array([ 0.271701   ,  0.372984   ,  0.0247656  ,  2.6379e-31 ])
28669   , -1640.39    , array([ 0.271701   ,  0.372984   ,  0.0247408  ,  2.64054e-31])
28670   , -1640.24    , array([ 0.280685   ,  0.372984   ,  0.0255875  ,  2.6379e-31 ])
28671   , -1640.24    , array([ 0.280685   ,  0.372984   ,  0.0255875  ,  2.6379e-31 ])
28672   , -1640.69    , array([ 0.280966   ,  0.372984   ,  0.0255875  ,  2.6379e-31 ])
28673   , -1640.24    , array([ 0.280685   ,  0.373357   ,  0.0255875  ,  2.6379e-31 ])
28674   , -1639.81    , array([ 0.280685   ,  0.372984   ,  0.0256131  ,  2.6379e-31 ])
28675   , -1640.24    , array([ 0.280685   ,  0.372984   ,  0.0255875  ,  2.64054e-31])
28682   , -1640.24    , array([ 0.28069    ,  0.372984   ,  0.025588   ,  2.6379e-31 ])
28683   , -1640.24    , array([ 0.28069    ,  0.372984   ,  0.025588   ,  2.6379e-31 ])
28684   , -1640.69    , array([ 0.28097    ,  0.372984   ,  0.025588   ,  2.6379e-31 ])
28685   , -1640.24    , array([ 0.28069    ,  0.373357   ,  0.025588   ,  2.6379e-31 ])
28686   , -1639.81    , array([ 0.28069    ,  0.372984   ,  0.0256136  ,  2.6379e-31 ])
28687   , -1640.24    , array([ 0.28069    ,  0.372984   ,  0.025588   ,  2.64054e-31])
28688   , -1640.24    , array([ 0.2807     ,  0.372984   ,  0.025589   ,  2.6379e-31 ])
28689   , -1640.24    , array([ 0.2807     ,  0.372984   ,  0.025589   ,  2.6379e-31 ])
28690   , -1640.69    , array([ 0.280981   ,  0.372984   ,  0.025589   ,  2.6379e-31 ])
28691   , -1640.24    , array([ 0.2807     ,  0.373357   ,  0.025589   ,  2.6379e-31 ])
28692   , -1639.81    , array([ 0.2807     ,  0.372984   ,  0.0256146  ,  2.6379e-31 ])
28693   , -1640.24    , array([ 0.2807     ,  0.372984   ,  0.025589   ,  2.64054e-31])
28700   , -1640.24    , array([ 0.280701   ,  0.372984   ,  0.0255891  ,  2.6379e-31 ])
28701   , -1640.24    , array([ 0.280701   ,  0.372984   ,  0.0255891  ,  2.6379e-31 ])
28702   , -1640.69    , array([ 0.280982   ,  0.372984   ,  0.0255891  ,  2.6379e-31 ])
28703   , -1640.24    , array([ 0.280701   ,  0.373357   ,  0.0255891  ,  2.6379e-31 ])
28704   , -1639.81    , array([ 0.280701   ,  0.372984   ,  0.0256147  ,  2.6379e-31 ])
28705   , -1640.24    , array([ 0.280701   ,  0.372984   ,  0.0255891  ,  2.64054e-31])
28706   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255893  ,  2.6379e-31 ])
28707   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255893  ,  2.6379e-31 ])
28708   , -1640.69    , array([ 0.280984   ,  0.372984   ,  0.0255893  ,  2.6379e-31 ])
28709   , -1640.24    , array([ 0.280704   ,  0.373357   ,  0.0255893  ,  2.6379e-31 ])
28710   , -1639.81    , array([ 0.280704   ,  0.372984   ,  0.0256149  ,  2.6379e-31 ])
28711   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255893  ,  2.64054e-31])
28718   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255893  ,  2.6379e-31 ])
28719   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255893  ,  2.6379e-31 ])
28720   , -1640.69    , array([ 0.280985   ,  0.372984   ,  0.0255893  ,  2.6379e-31 ])
28721   , -1640.24    , array([ 0.280704   ,  0.373357   ,  0.0255893  ,  2.6379e-31 ])
28722   , -1639.81    , array([ 0.280704   ,  0.372984   ,  0.0256149  ,  2.6379e-31 ])
28723   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255893  ,  2.64054e-31])
28724   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255894  ,  2.6379e-31 ])
28725   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255894  ,  2.6379e-31 ])
28726   , -1640.69    , array([ 0.280985   ,  0.372984   ,  0.0255894  ,  2.6379e-31 ])
28727   , -1640.24    , array([ 0.280704   ,  0.373357   ,  0.0255894  ,  2.6379e-31 ])
28728   , -1639.81    , array([ 0.280704   ,  0.372984   ,  0.025615   ,  2.6379e-31 ])
28729   , -1640.24    , array([ 0.280704   ,  0.372984   ,  0.0255894  ,  2.64054e-31])
28730   , -34571.1    , array([ 25.0451    ,  0.372984   ,  2.90166    ,  2.6379e-31 ])
28731   , -34571.1    , array([ 25.0451    ,  0.372984   ,  2.90166    ,  2.6379e-31 ])
28732   , -34584.1    , array([ 25.0701    ,  0.372984   ,  2.90166    ,  2.6379e-31 ])
28733   , -34571.1    , array([ 25.0451    ,  0.373357   ,  2.90166    ,  2.6379e-31 ])
28734   , -34574.9    , array([ 25.0451    ,  0.372984   ,  2.90457    ,  2.6379e-31 ])
28735   , -34571.1    , array([ 25.0451    ,  0.372984   ,  2.90166    ,  2.64054e-31])
28736   , -1640.22    , array([ 0.281524   ,  0.372984   ,  0.0256681  ,  2.6379e-31 ])
28737   , -1640.22    , array([ 0.281524   ,  0.372984   ,  0.0256681  ,  2.6379e-31 ])
28738   , -1640.67    , array([ 0.281806   ,  0.372984   ,  0.0256681  ,  2.6379e-31 ])
28739   , -1640.22    , array([ 0.281524   ,  0.373357   ,  0.0256681  ,  2.6379e-31 ])
28740   , -1639.79    , array([ 0.281524   ,  0.372984   ,  0.0256938  ,  2.6379e-31 ])
28741   , -1640.22    , array([ 0.281524   ,  0.372984   ,  0.0256681  ,  2.64054e-31])
28742   , -1640.17    , array([ 0.281555   ,  0.372984   ,  0.0256737  ,  2.6379e-31 ])
28743   , -1640.17    , array([ 0.281555   ,  0.372984   ,  0.0256737  ,  2.6379e-31 ])
28744   , -1640.62    , array([ 0.281836   ,  0.372984   ,  0.0256737  ,  2.6379e-31 ])
28745   , -1640.17    , array([ 0.281555   ,  0.373357   ,  0.0256737  ,  2.6379e-31 ])
28746   , -1639.74    , array([ 0.281555   ,  0.372984   ,  0.0256994  ,  2.6379e-31 ])
28747   , -1640.17    , array([ 0.281555   ,  0.372984   ,  0.0256737  ,  2.64054e-31])
28748   , -1639.99    , array([ 0.281678   ,  0.372984   ,  0.0256962  ,  2.6379e-31 ])
28749   , -1639.99    , array([ 0.281678   ,  0.372984   ,  0.0256962  ,  2.6379e-31 ])
28750   , -1640.44    , array([ 0.28196    ,  0.372984   ,  0.0256962  ,  2.6379e-31 ])
28751   , -1639.99    , array([ 0.281678   ,  0.373357   ,  0.0256962  ,  2.6379e-31 ])
28752   , -1639.56    , array([ 0.281678   ,  0.372984   ,  0.0257219  ,  2.6379e-31 ])
28753   , -1639.99    , array([ 0.281678   ,  0.372984   ,  0.0256962  ,  2.64054e-31])
28754   , -1639.26    , array([ 0.28217    ,  0.372984   ,  0.0257862  ,  2.6379e-31 ])
28755   , -1639.26    , array([ 0.28217    ,  0.372984   ,  0.0257862  ,  2.6379e-31 ])
28756   , -1639.71    , array([ 0.282453   ,  0.372984   ,  0.0257862  ,  2.6379e-31 ])
28757   , -1639.26    , array([ 0.28217    ,  0.373357   ,  0.0257862  ,  2.6379e-31 ])
28758   , -1638.83    , array([ 0.28217    ,  0.372984   ,  0.025812   ,  2.6379e-31 ])
28759   , -1639.26    , array([ 0.28217    ,  0.372984   ,  0.0257862  ,  2.64054e-31])
28760   , -1636.34    , array([ 0.28415    ,  0.372984   ,  0.0261496  ,  2.6379e-31 ])
28761   , -1636.34    , array([ 0.28415    ,  0.372984   ,  0.0261496  ,  2.6379e-31 ])
28762   , -1636.8     , array([ 0.284434   ,  0.372984   ,  0.0261496  ,  2.6379e-31 ])
28763   , -1636.34    , array([ 0.28415    ,  0.373357   ,  0.0261496  ,  2.6379e-31 ])
28764   , -1635.91    , array([ 0.28415    ,  0.372984   ,  0.0261757  ,  2.6379e-31 ])
28765   , -1636.34    , array([ 0.28415    ,  0.372984   ,  0.0261496  ,  2.64054e-31])
28766   , -1624.56    , array([ 0.292208   ,  0.372984   ,  0.0276548  ,  2.6379e-31 ])
28767   , -1624.56    , array([ 0.292208   ,  0.372984   ,  0.0276548  ,  2.6379e-31 ])
28768   , -1625.02    , array([ 0.2925     ,  0.372984   ,  0.0276548  ,  2.6379e-31 ])
28769   , -1624.56    , array([ 0.292208   ,  0.373357   ,  0.0276548  ,  2.6379e-31 ])
28770   , -1624.11    , array([ 0.292208   ,  0.372984   ,  0.0276825  ,  2.6379e-31 ])
28771   , -1624.56    , array([ 0.292208   ,  0.372984   ,  0.0276548  ,  2.64054e-31])
28772   , -1575.97    , array([ 0.326791   ,  0.372984   ,  0.0345937  ,  2.6379e-31 ])
28773   , -1575.97    , array([ 0.326791   ,  0.372984   ,  0.0345937  ,  2.6379e-31 ])
28774   , -1576.51    , array([ 0.327118   ,  0.372984   ,  0.0345937  ,  2.6379e-31 ])
