42973   , -2675.58    , array([ 1.57035    ,  0.264023   ,  1.42401    ,  2.76619    ,  4.99896    ])
42974   , -3153.4     , array([ 1.57035    ,  0.264023   ,  1.04204    ,  2.76619    ,  4.99896    ])
42975   , -2590.08    , array([ 1.57035    ,  0.264023   ,  1.71167    ,  2.76619    ,  4.99896    ])
42976   , -2589.93    , array([ 1.57035    ,  0.264023   ,  1.70691    ,  2.76619    ,  4.99896    ])
42977   , -2589.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.76619    ,  4.99896    ])
42978   , -2589.75    , array([ 1.57035    ,  0.264023   ,  1.6915     ,  2.76619    ,  4.99896    ])
42979   , -2589.76    , array([ 1.57035    ,  0.264023   ,  1.69844    ,  2.76619    ,  4.99896    ])
42980   , -2589.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.76619    ,  4.99896    ])
42981   , -2935.85    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  3.76619    ,  4.99896    ])
42982   , -8837.2     , array([ 1.57035    ,  0.264023   ,  1.69497    ,  1.14815    ,  4.99896    ])
42983   , -2589.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.76619    ,  4.99896    ])
42984   , -3367.03    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.14815    ,  4.99896    ])
42985   , -2558.84    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  3.14815    ,  4.99896    ])
42986   , -2540.82    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99155    ,  4.99896    ])
42987   , -2540.81    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  3.0037     ,  4.99896    ])
42988   , -2540.78    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99896    ])
42989   , -2540.79    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99591    ,  4.99896    ])
42990   , -2540.79    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  3.00055    ,  4.99896    ])
42991   , -2540.78    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99896    ])
42993   , -2680.4     , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  3.38093    ])
42994   , -2540.78    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99896    ])
42995   , -2573.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.38093    ])
42997   , -2555.25    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.68995    ])
42999   , -2545.9     , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.88093    ])
43001   , -2542.68    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.95388    ])
43003   , -2541.5     , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.98174    ])
43005   , -2541.06    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99239    ])
43007   , -2540.89    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99645    ])
43009   , -2540.82    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.998      ])
43010   , -2540.76    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99942    ])
43011   , -2540.75    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.9997     ])
43012   , -2540.75    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99987    ])
43013   , -2540.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99998    ])
43015   , -2540.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99994    ])
43017   , -2540.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99996    ])
43018   , -2540.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43020   , -2540.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43021   , -2825.49    , array([ 2.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43023   , -2540.74    , array([ 1.57035    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43024   , -4216.69    , array([ 0.952316   ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43025   , -2469.1     , array([ 1.95232    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43026   , -2456.45    , array([ 1.79849    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43027   , -2455.34    , array([ 1.84064    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43028   , -2455.26    , array([ 1.83315    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43029   , -2455.26    , array([ 1.83052    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43030   , -2455.27    , array([ 1.83578    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43031   , -2455.26    , array([ 1.83315    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43032   , -25672.9    , array([ 1.83315    ,  1.26402    ,  1.69497    ,  2.99823    ,  4.99999    ])
43034   , -2455.26    , array([ 1.83315    ,  0.264023   ,  1.69497    ,  2.99823    ,  4.99999    ])
43036   , -11320.2    , array([ 1.83315    ,  0.645989   ,  1.69497    ,  2.99823    ,  4.99999    ])
43037   , -6029.85    , array([ 1.83315    ,  0.454934   ,  1.69497    ,  2.99823    ,  4.99999    ])
43038   , -46454.1    , array([ 1.83315    ,  0.0279552  ,  1.69497    ,  2.99823    ,  4.99999    ])
43039   , -4017.08    , array([ 1.83315    ,  0.173853   ,  1.69497    ,  2.99823    ,  4.99999    ])
43040   , -2593.53    , array([ 1.83315    ,  0.286473   ,  1.69497    ,  2.99823    ,  4.99999    ])
43041   , -2446.36    , array([ 1.83315    ,  0.260478   ,  1.69497    ,  2.99823    ,  4.99999    ])
43042   , -2440.6     , array([ 1.83315    ,  0.253304   ,  1.69497    ,  2.99823    ,  4.99999    ])
43043   , -2440.38    , array([ 1.83315    ,  0.254374   ,  1.69497    ,  2.99823    ,  4.99999    ])
43044   , -2440.38    , array([ 1.83315    ,  0.254471   ,  1.69497    ,  2.99823    ,  4.99999    ])
43045   , -2440.38    , array([ 1.83315    ,  0.254566   ,  1.69497    ,  2.99823    ,  4.99999    ])
43046   , -2440.38    , array([ 1.83315    ,  0.254471   ,  1.69497    ,  2.99823    ,  4.99999    ])
43047   , -3646.98    , array([ 1.83315    ,  0.254471   ,  2.69497    ,  2.99823    ,  4.99999    ])
43048   , -7273.76    , array([ 1.83315    ,  0.254471   ,  0.076932   ,  2.99823    ,  4.99999    ])
43049   , -2440.38    , array([ 1.83315    ,  0.254471   ,  1.69497    ,  2.99823    ,  4.99999    ])
43050   , -2617.41    , array([ 1.83315    ,  0.254471   ,  1.07693    ,  2.99823    ,  4.99999    ])
43051   , -2743.32    , array([ 1.83315    ,  0.254471   ,  2.07693    ,  2.99823    ,  4.99999    ])
43052   , -2394.13    , array([ 1.83315    ,  0.254471   ,  1.51862    ,  2.99823    ,  4.99999    ])
43053   , -2393.3     , array([ 1.83315    ,  0.254471   ,  1.50124    ,  2.99823    ,  4.99999    ])
43054   , -2393.14    , array([ 1.83315    ,  0.254471   ,  1.48829    ,  2.99823    ,  4.99999    ])
43055   , -2393.14    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  2.99823    ,  4.99999    ])
43056   , -2393.15    , array([ 1.83315    ,  0.254471   ,  1.49241    ,  2.99823    ,  4.99999    ])
43057   , -2393.14    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  2.99823    ,  4.99999    ])
43058   , -2769.07    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.99823    ,  4.99999    ])
43059   , -7516.06    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  1.38019    ,  4.99999    ])
43060   , -2393.14    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  2.99823    ,  4.99999    ])
43061   , -3023.2     , array([ 1.83315    ,  0.254471   ,  1.49036    ,  2.38019    ,  4.99999    ])
43062   , -2391.86    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.38019    ,  4.99999    ])
43063   , -2364.36    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.19086    ,  4.99999    ])
43064   , -2364.38    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.19278    ,  4.99999    ])
43065   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99999    ])
43066   , -2368.42    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.1139     ,  4.99999    ])
43067   , -2364.35    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18725    ,  4.99999    ])
43068   , -2364.35    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18351    ,  4.99999    ])
43069   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99999    ])
43071   , -2588.78    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  3.38195    ])
43072   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99999    ])
43073   , -2417.32    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.38195    ])
43075   , -2387.58    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.69097    ])
43077   , -2372.56    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.88195    ])
43079   , -2367.39    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.9549     ])
43081   , -2365.5     , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.98277    ])
43083   , -2364.78    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99341    ])
43085   , -2364.51    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99747    ])
43087   , -2364.41    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99903    ])
