159803  , -21829.2    , array([ 3.32477    ,  1.81815    ,  0.48214    ,  5.98546e-58,  0.565299   ])
159811  , -21818.9    , array([ 3.34774    ,  1.81269    ,  0.482256   ,  5.98546e-58,  0.569076   ])
159812  , -21818.9    , array([ 3.34774    ,  1.81269    ,  0.482256   ,  5.98546e-58,  0.569076   ])
159813  , -21818.9    , array([ 3.35109    ,  1.81269    ,  0.482256   ,  5.98546e-58,  0.569076   ])
159814  , -21830.2    , array([ 3.34774    ,  1.8145     ,  0.482256   ,  5.98546e-58,  0.569076   ])
159815  , -21815.8    , array([ 3.34774    ,  1.81269    ,  0.482739   ,  5.98546e-58,  0.569076   ])
159816  , -21818.9    , array([ 3.34774    ,  1.81269    ,  0.482256   ,  5.99145e-58,  0.569076   ])
159817  , -21822.7    , array([ 3.34774    ,  1.81269    ,  0.482256   ,  5.98546e-58,  0.569645   ])
159818  , -21804.8    , array([ 3.39355    ,  1.81529    ,  0.495642   ,  5.98546e-58,  0.577722   ])
159819  , -21804.8    , array([ 3.39355    ,  1.81529    ,  0.495642   ,  5.98546e-58,  0.577722   ])
159820  , -21805      , array([ 3.39694    ,  1.81529    ,  0.495642   ,  5.98546e-58,  0.577722   ])
159821  , -21816.1    , array([ 3.39355    ,  1.81711    ,  0.495642   ,  5.98546e-58,  0.577722   ])
159822  , -21801.6    , array([ 3.39355    ,  1.81529    ,  0.496138   ,  5.98546e-58,  0.577722   ])
159823  , -21804.8    , array([ 3.39355    ,  1.81529    ,  0.495642   ,  5.99145e-58,  0.577722   ])
159824  , -21808.4    , array([ 3.39355    ,  1.81529    ,  0.495642   ,  5.98546e-58,  0.5783     ])
159825  , -21735.9    , array([ 3.58313    ,  1.82576    ,  0.553002   ,  5.98546e-58,  0.613643   ])
159826  , -21735.9    , array([ 3.58313    ,  1.82576    ,  0.553002   ,  5.98546e-58,  0.613643   ])
159827  , -21736.8    , array([ 3.58672    ,  1.82576    ,  0.553002   ,  5.98546e-58,  0.613643   ])
159828  , -21747.2    , array([ 3.58313    ,  1.82758    ,  0.553002   ,  5.98546e-58,  0.613643   ])
159829  , -21732.6    , array([ 3.58313    ,  1.82576    ,  0.553555   ,  5.98546e-58,  0.613643   ])
159830  , -21735.9    , array([ 3.58313    ,  1.82576    ,  0.553002   ,  5.99145e-58,  0.613643   ])
159831  , -21738.7    , array([ 3.58313    ,  1.82576    ,  0.553002   ,  5.98546e-58,  0.614257   ])
159832  , -21467.4    , array([ 4.45347    ,  1.86821    ,  0.856964   ,  5.98546e-58,  0.781094   ])
159833  , -21467.4    , array([ 4.45347    ,  1.86821    ,  0.856964   ,  5.98546e-58,  0.781094   ])
159834  , -21471.9    , array([ 4.45793    ,  1.86821    ,  0.856964   ,  5.98546e-58,  0.781094   ])
159835  , -21479.6    , array([ 4.45347    ,  1.87008    ,  0.856964   ,  5.98546e-58,  0.781094   ])
159836  , -21465      , array([ 4.45347    ,  1.86821    ,  0.857821   ,  5.98546e-58,  0.781094   ])
159837  , -21467.4    , array([ 4.45347    ,  1.86821    ,  0.856964   ,  5.99145e-58,  0.781094   ])
159838  , -21466.8    , array([ 4.45347    ,  1.86821    ,  0.856964   ,  5.98546e-58,  0.781875   ])
159839  , -23975.4    , array([ 5.99997    ,  1.88189    ,  1.81744    ,  5.98546e-58,  1.18655    ])
159840  , -23975.4    , array([ 5.99997    ,  1.88189    ,  1.81744    ,  5.98546e-58,  1.18655    ])
159841  , -23985.2    , array([ 6.00597    ,  1.88189    ,  1.81744    ,  5.98546e-58,  1.18655    ])
159842  , -23992.3    , array([ 5.99997    ,  1.88377    ,  1.81744    ,  5.98546e-58,  1.18655    ])
159843  , -23983.1    , array([ 5.99997    ,  1.88189    ,  1.81926    ,  5.98546e-58,  1.18655    ])
159844  , -23975.4    , array([ 5.99997    ,  1.88189    ,  1.81744    ,  5.99145e-58,  1.18655    ])
159845  , -23971.5    , array([ 5.99997    ,  1.88189    ,  1.81744    ,  5.98546e-58,  1.18774    ])
159846  , -21395.7    , array([ 4.64364    ,  1.87013    ,  0.952281   ,  5.98546e-58,  0.828279   ])
159847  , -21395.7    , array([ 4.64364    ,  1.87013    ,  0.952281   ,  5.98546e-58,  0.828279   ])
159848  , -21401      , array([ 4.64828    ,  1.87013    ,  0.952281   ,  5.98546e-58,  0.828279   ])
159849  , -21408.3    , array([ 4.64364    ,  1.872      ,  0.952281   ,  5.98546e-58,  0.828279   ])
159850  , -21393.9    , array([ 4.64364    ,  1.87013    ,  0.953233   ,  5.98546e-58,  0.828279   ])
159851  , -21395.7    , array([ 4.64364    ,  1.87013    ,  0.952281   ,  5.99145e-58,  0.828279   ])
159852  , -21394.4    , array([ 4.64364    ,  1.87013    ,  0.952281   ,  5.98546e-58,  0.829107   ])
159853  , -21251.3    , array([ 4.61971    ,  1.85382    ,  0.95921    ,  5.98546e-58,  0.824874   ])
159854  , -21251.3    , array([ 4.61971    ,  1.85382    ,  0.95921    ,  5.98546e-58,  0.824874   ])
159855  , -21256.6    , array([ 4.62433    ,  1.85382    ,  0.95921    ,  5.98546e-58,  0.824874   ])
159856  , -21263.8    , array([ 4.61971    ,  1.85567    ,  0.95921    ,  5.98546e-58,  0.824874   ])
159857  , -21249.5    , array([ 4.61971    ,  1.85382    ,  0.96017    ,  5.98546e-58,  0.824874   ])
159858  , -21251.3    , array([ 4.61971    ,  1.85382    ,  0.95921    ,  5.99145e-58,  0.824874   ])
159859  , -21250      , array([ 4.61971    ,  1.85382    ,  0.95921    ,  5.98546e-58,  0.8257     ])
159860  , -20680.3    , array([ 4.52522    ,  1.78998    ,  0.987438   ,  5.98546e-58,  0.811397   ])
159861  , -20680.3    , array([ 4.52522    ,  1.78998    ,  0.987438   ,  5.98546e-58,  0.811397   ])
159862  , -20685.6    , array([ 4.52975    ,  1.78998    ,  0.987438   ,  5.98546e-58,  0.811397   ])
159863  , -20692.4    , array([ 4.52522    ,  1.79177    ,  0.987438   ,  5.98546e-58,  0.811397   ])
159864  , -20678.5    , array([ 4.52522    ,  1.78998    ,  0.988426   ,  5.98546e-58,  0.811397   ])
159865  , -20680.3    , array([ 4.52522    ,  1.78998    ,  0.987438   ,  5.99145e-58,  0.811397   ])
159866  , -20679.2    , array([ 4.52522    ,  1.78998    ,  0.987438   ,  5.98546e-58,  0.812208   ])
159867  , -18505.3    , array([ 4.16621    ,  1.55588    ,  1.1089     ,  5.98546e-58,  0.759653   ])
159868  , -18505.3    , array([ 4.16621    ,  1.55588    ,  1.1089     ,  5.98546e-58,  0.759653   ])
159869  , -18510.3    , array([ 4.17038    ,  1.55588    ,  1.1089     ,  5.98546e-58,  0.759653   ])
159870  , -18515.9    , array([ 4.16621    ,  1.55744    ,  1.1089     ,  5.98546e-58,  0.759653   ])
159871  , -18503.3    , array([ 4.16621    ,  1.55588    ,  1.11001    ,  5.98546e-58,  0.759653   ])
159872  , -18505.3    , array([ 4.16621    ,  1.55588    ,  1.1089     ,  5.99145e-58,  0.759653   ])
159873  , -18504.8    , array([ 4.16621    ,  1.55588    ,  1.1089     ,  5.98546e-58,  0.760413   ])
159874  , -11708.2    , array([ 2.99327    ,  0.888163   ,  1.76372    ,  5.98546e-58,  0.583637   ])
159875  , -11708.2    , array([ 2.99327    ,  0.888163   ,  1.76372    ,  5.98546e-58,  0.583637   ])
159876  , -11712.6    , array([ 2.99627    ,  0.888163   ,  1.76372    ,  5.98546e-58,  0.583637   ])
159877  , -11711.6    , array([ 2.99327    ,  0.889052   ,  1.76372    ,  5.98546e-58,  0.583637   ])
159878  , -11705.9    , array([ 2.99327    ,  0.888163   ,  1.76548    ,  5.98546e-58,  0.583637   ])
159879  , -11708.2    , array([ 2.99327    ,  0.888163   ,  1.76372    ,  5.99145e-58,  0.583637   ])
159880  , -11711      , array([ 2.99327    ,  0.888163   ,  1.76372    ,  5.98546e-58,  0.584221   ])
159881  , -5058.44    , array([ 0.474535   ,  0.221644   ,  3.9637     ,  5.98546e-58,  0.0996209  ])
159882  , -5058.44    , array([ 0.474535   ,  0.221644   ,  3.9637     ,  5.98546e-58,  0.0996209  ])
159883  , -5050.24    , array([ 0.475009   ,  0.221644   ,  3.9637     ,  5.98546e-58,  0.0996209  ])
159884  , -5060.4     , array([ 0.474535   ,  0.221866   ,  3.9637     ,  5.98546e-58,  0.0996209  ])
159885  , -5054.67    , array([ 0.474535   ,  0.221644   ,  3.96766    ,  5.98546e-58,  0.0996209  ])
159886  , -5058.44    , array([ 0.474535   ,  0.221644   ,  3.9637     ,  5.99145e-58,  0.0996209  ])
159887  , -5060.73    , array([ 0.474535   ,  0.221644   ,  3.9637     ,  5.98546e-58,  0.0997205  ])
159888  , -3075.4     , array([ 0.65975    ,  0.201289   ,  8.30821    ,  5.98546e-58,  0.155187   ])
159889  , -3075.4     , array([ 0.65975    ,  0.201289   ,  8.30821    ,  5.98546e-58,  0.155187   ])
159890  , -3075.48    , array([ 0.660411   ,  0.201289   ,  8.30821    ,  5.98546e-58,  0.155187   ])
159891  , -3070.69    , array([ 0.65975    ,  0.201491   ,  8.30821    ,  5.98546e-58,  0.155187   ])
159892  , -3075.3     , array([ 0.65975    ,  0.201289   ,  8.31652    ,  5.98546e-58,  0.155187   ])
159893  , -3075.4     , array([ 0.65975    ,  0.201289   ,  8.30821    ,  5.99145e-58,  0.155187   ])
159894  , -3079.91    , array([ 0.65975    ,  0.201289   ,  8.30821    ,  5.98546e-58,  0.155342   ])
159895  , -2635.16    , array([ 0.631192   ,  0.230422   ,  6.50588    ,  5.98546e-58,  0.139319   ])
159896  , -2635.16    , array([ 0.631192   ,  0.230422   ,  6.50588    ,  5.98546e-58,  0.139319   ])
159897  , -2632.8     , array([ 0.631824   ,  0.230422   ,  6.50588    ,  5.98546e-58,  0.139319   ])
159898  , -2634.56    , array([ 0.631192   ,  0.230652   ,  6.50588    ,  5.98546e-58,  0.139319   ])
159899  , -2633.6     , array([ 0.631192   ,  0.230422   ,  6.51239    ,  5.98546e-58,  0.139319   ])
159900  , -2635.16    , array([ 0.631192   ,  0.230422   ,  6.50588    ,  5.99145e-58,  0.139319   ])
159901  , -2637.11    , array([ 0.631192   ,  0.230422   ,  6.50588    ,  5.98546e-58,  0.139459   ])
159902  , -2533.34    , array([ 0.632935   ,  0.232063   ,  7.43297    ,  5.98546e-58,  0.140514   ])
159903  , -2533.34    , array([ 0.632935   ,  0.232063   ,  7.43297    ,  5.98546e-58,  0.140514   ])
159904  , -2531.88    , array([ 0.633569   ,  0.232063   ,  7.43297    ,  5.98546e-58,  0.140514   ])
159905  , -2533.92    , array([ 0.632935   ,  0.232295   ,  7.43297    ,  5.98546e-58,  0.140514   ])
159906  , -2533.32    , array([ 0.632935   ,  0.232063   ,  7.4404     ,  5.98546e-58,  0.140514   ])
159907  , -2533.34    , array([ 0.632935   ,  0.232063   ,  7.43297    ,  5.99145e-58,  0.140514   ])
159908  , -2534.66    , array([ 0.632935   ,  0.232063   ,  7.43297    ,  5.98546e-58,  0.140655   ])
159909  , -2480.64    , array([ 0.617302   ,  0.220419   ,  7.64827    ,  5.98546e-58,  0.133627   ])
159910  , -2480.64    , array([ 0.617302   ,  0.220419   ,  7.64827    ,  5.98546e-58,  0.133627   ])
159911  , -2479.12    , array([ 0.617919   ,  0.220419   ,  7.64827    ,  5.98546e-58,  0.133627   ])
159912  , -2480.8     , array([ 0.617302   ,  0.220639   ,  7.64827    ,  5.98546e-58,  0.133627   ])
159913  , -2480.54    , array([ 0.617302   ,  0.220419   ,  7.65593    ,  5.98546e-58,  0.133627   ])
159914  , -2480.64    , array([ 0.617302   ,  0.220419   ,  7.64827    ,  5.99145e-58,  0.133627   ])
159915  , -2482.11    , array([ 0.617302   ,  0.220419   ,  7.64827    ,  5.98546e-58,  0.133761   ])
159916  , -2383.95    , array([ 0.604254   ,  0.205815   ,  7.87132    ,  5.98546e-58,  0.122787   ])
159917  , -2383.95    , array([ 0.604254   ,  0.205815   ,  7.87132    ,  5.98546e-58,  0.122787   ])
159918  , -2382.41    , array([ 0.604858   ,  0.205815   ,  7.87132    ,  5.98546e-58,  0.122787   ])
159919  , -2383.79    , array([ 0.604254   ,  0.20602    ,  7.87132    ,  5.98546e-58,  0.122787   ])
159920  , -2383.82    , array([ 0.604254   ,  0.205815   ,  7.87919    ,  5.98546e-58,  0.122787   ])
159921  , -2383.95    , array([ 0.604254   ,  0.205815   ,  7.87132    ,  5.99145e-58,  0.122787   ])
159922  , -2385.49    , array([ 0.604254   ,  0.205815   ,  7.87132    ,  5.98546e-58,  0.12291    ])
159923  , -2208.36    , array([ 0.597206   ,  0.185321   ,  8.09281    ,  5.98546e-58,  0.105973   ])
159924  , -2208.36    , array([ 0.597206   ,  0.185321   ,  8.09281    ,  5.98546e-58,  0.105973   ])
159925  , -2206.85    , array([ 0.597804   ,  0.185321   ,  8.09281    ,  5.98546e-58,  0.105973   ])
159926  , -2207.93    , array([ 0.597206   ,  0.185507   ,  8.09281    ,  5.98546e-58,  0.105973   ])
159927  , -2208.21    , array([ 0.597206   ,  0.185321   ,  8.10091    ,  5.98546e-58,  0.105973   ])
159928  , -2208.36    , array([ 0.597206   ,  0.185321   ,  8.09281    ,  5.99145e-58,  0.105973   ])
159929  , -2209.85    , array([ 0.597206   ,  0.185321   ,  8.09281    ,  5.98546e-58,  0.106079   ])
159930  , -1909.5     , array([ 0.606352   ,  0.15524    ,  8.22887    ,  5.98546e-58,  0.0807981  ])
