94265   , -3431.36    , array([ 0.518863   ,  0.112904   ,  1.11263e-41,  0.00263768 ,  0.0347897  ])
94266   , -2925.38    , array([ 0.565317   ,  0.10475    ,  1.11263e-41,  0.00222953 ,  0.0345056  ])
94267   , -2925.38    , array([ 0.565317   ,  0.10475    ,  1.11263e-41,  0.00222953 ,  0.0345056  ])
94268   , -2922.38    , array([ 0.565883   ,  0.10475    ,  1.11263e-41,  0.00222953 ,  0.0345056  ])
94269   , -2927.55    , array([ 0.565317   ,  0.104855   ,  1.11263e-41,  0.00222953 ,  0.0345056  ])
94270   , -2925.38    , array([ 0.565317   ,  0.10475    ,  1.11375e-41,  0.00222953 ,  0.0345056  ])
94271   , -2925.38    , array([ 0.565317   ,  0.10475    ,  1.11263e-41,  0.00223176 ,  0.0345056  ])
94272   , -2925.97    , array([ 0.565317   ,  0.10475    ,  1.11263e-41,  0.00222953 ,  0.0345401  ])
94273   , -2082.32    , array([ 0.733981   ,  0.0838317  ,  1.11263e-41,  0.00225151 ,  0.030829   ])
94274   , -2082.32    , array([ 0.733981   ,  0.0838317  ,  1.11263e-41,  0.00225151 ,  0.030829   ])
