308575  , -13589.3    , array([ 1.68701    ,  0.517007   ,  1.13362e-15,  2.38572    ,  0.403602   ])
308576  , -8677       , array([ 2.07648    ,  0.273044   ,  1.13362e-15,  3.2554     ,  0.347821   ])
308577  , -8677       , array([ 2.07648    ,  0.273044   ,  1.13362e-15,  3.2554     ,  0.347821   ])
308578  , -8677.87    , array([ 2.07856    ,  0.273044   ,  1.13362e-15,  3.2554     ,  0.347821   ])
308579  , -8679.43    , array([ 2.07648    ,  0.273317   ,  1.13362e-15,  3.2554     ,  0.347821   ])
308580  , -8677       , array([ 2.07648    ,  0.273044   ,  1.13476e-15,  3.2554     ,  0.347821   ])
308581  , -8674.88    , array([ 2.07648    ,  0.273044   ,  1.13362e-15,  3.25866    ,  0.347821   ])
308582  , -8680.35    , array([ 2.07648    ,  0.273044   ,  1.13362e-15,  3.2554     ,  0.348169   ])
308583  , -6224.14    , array([ 2.20887    ,  0.153661   ,  1.13362e-15,  6.23168    ,  0.29913    ])
308584  , -6224.14    , array([ 2.20887    ,  0.153661   ,  1.13362e-15,  6.23168    ,  0.29913    ])
308585  , -6226.95    , array([ 2.21108    ,  0.153661   ,  1.13362e-15,  6.23168    ,  0.29913    ])
308586  , -6225.96    , array([ 2.20887    ,  0.153814   ,  1.13362e-15,  6.23168    ,  0.29913    ])
308587  , -6224.14    , array([ 2.20887    ,  0.153661   ,  1.13476e-15,  6.23168    ,  0.29913    ])
308588  , -6223.22    , array([ 2.20887    ,  0.153661   ,  1.13362e-15,  6.23792    ,  0.29913    ])
308589  , -6226.01    , array([ 2.20887    ,  0.153661   ,  1.13362e-15,  6.23168    ,  0.29943    ])
308597  , -6224.13    , array([ 2.20887    ,  0.15366    ,  1.13362e-15,  6.23171    ,  0.29913    ])
308598  , -6224.13    , array([ 2.20887    ,  0.15366    ,  1.13362e-15,  6.23171    ,  0.29913    ])
308599  , -6226.93    , array([ 2.21108    ,  0.15366    ,  1.13362e-15,  6.23171    ,  0.29913    ])
308600  , -6225.95    , array([ 2.20887    ,  0.153814   ,  1.13362e-15,  6.23171    ,  0.29913    ])
308601  , -6224.13    , array([ 2.20887    ,  0.15366    ,  1.13476e-15,  6.23171    ,  0.29913    ])
