23503   , -1632.44    , array([ 1.43593    ,  0.0676775  ,  0.00148187 ,  2.78885e-37,  0.0242364  ])
23504   , -1632.44    , array([ 1.43593    ,  0.0676775  ,  0.00148187 ,  2.78885e-37,  0.0242364  ])
23505   , -1632.44    , array([ 1.43736    ,  0.0676775  ,  0.00148187 ,  2.78885e-37,  0.0242364  ])
23506   , -1632.44    , array([ 1.43593    ,  0.0677453  ,  0.00148187 ,  2.78885e-37,  0.0242364  ])
23507   , -1632.44    , array([ 1.43593    ,  0.0676775  ,  0.00148335 ,  2.78885e-37,  0.0242364  ])
23508   , -1632.44    , array([ 1.43593    ,  0.0676775  ,  0.00148187 ,  2.79164e-37,  0.0242364  ])
23509   , -1632.44    , array([ 1.43593    ,  0.0676775  ,  0.00148187 ,  2.78885e-37,  0.0242607  ])
23510   , -1632.43    , array([ 1.43054    ,  0.0677265  ,  0.0014131  ,  2.78885e-37,  0.0242525  ])
23511   , -1632.43    , array([ 1.43054    ,  0.0677265  ,  0.0014131  ,  2.78885e-37,  0.0242525  ])
23512   , -1632.43    , array([ 1.43197    ,  0.0677265  ,  0.0014131  ,  2.78885e-37,  0.0242525  ])
23513   , -1632.44    , array([ 1.43054    ,  0.0677942  ,  0.0014131  ,  2.78885e-37,  0.0242525  ])
23514   , -1632.43    , array([ 1.43054    ,  0.0677265  ,  0.00141451 ,  2.78885e-37,  0.0242525  ])
23515   , -1632.43    , array([ 1.43054    ,  0.0677265  ,  0.0014131  ,  2.79164e-37,  0.0242525  ])
23516   , -1632.44    , array([ 1.43054    ,  0.0677265  ,  0.0014131  ,  2.78885e-37,  0.0242768  ])
23517   , -1632.43    , array([ 1.42978    ,  0.0677333  ,  0.00140368 ,  2.78885e-37,  0.0242548  ])
23518   , -1632.43    , array([ 1.42978    ,  0.0677333  ,  0.00140368 ,  2.78885e-37,  0.0242548  ])
23519   , -1632.43    , array([ 1.43121    ,  0.0677333  ,  0.00140368 ,  2.78885e-37,  0.0242548  ])
23520   , -1632.43    , array([ 1.42978    ,  0.0678011  ,  0.00140368 ,  2.78885e-37,  0.0242548  ])
23521   , -1632.43    , array([ 1.42978    ,  0.0677333  ,  0.00140509 ,  2.78885e-37,  0.0242548  ])
23522   , -1632.43    , array([ 1.42978    ,  0.0677333  ,  0.00140368 ,  2.79164e-37,  0.0242548  ])
23523   , -1632.43    , array([ 1.42978    ,  0.0677333  ,  0.00140368 ,  2.78885e-37,  0.024279   ])
23524   , -1632.43    , array([ 1.42966    ,  0.0677344  ,  0.00140218 ,  2.78885e-37,  0.0242551  ])
23525   , -1632.43    , array([ 1.42966    ,  0.0677344  ,  0.00140218 ,  2.78885e-37,  0.0242551  ])
23526   , -1632.43    , array([ 1.43109    ,  0.0677344  ,  0.00140218 ,  2.78885e-37,  0.0242551  ])
23527   , -1632.43    , array([ 1.42966    ,  0.0678022  ,  0.00140218 ,  2.78885e-37,  0.0242551  ])
23528   , -1632.43    , array([ 1.42966    ,  0.0677344  ,  0.00140359 ,  2.78885e-37,  0.0242551  ])
23529   , -1632.43    , array([ 1.42966    ,  0.0677344  ,  0.00140218 ,  2.79164e-37,  0.0242551  ])
23530   , -1632.43    , array([ 1.42966    ,  0.0677344  ,  0.00140218 ,  2.78885e-37,  0.0242794  ])
23531   , -1632.43    , array([ 1.42964    ,  0.0677346  ,  0.00140194 ,  2.78885e-37,  0.0242552  ])
23532   , -1632.43    , array([ 1.42964    ,  0.0677346  ,  0.00140194 ,  2.78885e-37,  0.0242552  ])
23533   , -1632.43    , array([ 1.43107    ,  0.0677346  ,  0.00140194 ,  2.78885e-37,  0.0242552  ])
23534   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140194 ,  2.78885e-37,  0.0242552  ])
23535   , -1632.43    , array([ 1.42964    ,  0.0677346  ,  0.00140334 ,  2.78885e-37,  0.0242552  ])
23536   , -1632.43    , array([ 1.42964    ,  0.0677346  ,  0.00140194 ,  2.79164e-37,  0.0242552  ])
23537   , -1632.43    , array([ 1.42964    ,  0.0677346  ,  0.00140194 ,  2.78885e-37,  0.0242795  ])
23538   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014019  ,  2.78885e-37,  0.0242552  ])
23539   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014019  ,  2.78885e-37,  0.0242552  ])
23540   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.0014019  ,  2.78885e-37,  0.0242552  ])
23541   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.0014019  ,  2.78885e-37,  0.0242552  ])
23542   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23543   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014019  ,  2.79164e-37,  0.0242552  ])
23544   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014019  ,  2.78885e-37,  0.0242795  ])
23545   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23546   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23547   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23548   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23549   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23550   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.79164e-37,  0.0242552  ])
23551   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242795  ])
23552   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23553   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23554   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23555   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23556   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23557   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.79164e-37,  0.0242552  ])
23558   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242795  ])
23559   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23560   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23561   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23562   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23563   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23564   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.79164e-37,  0.0242552  ])
23565   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242795  ])
23566   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23567   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23568   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23569   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23570   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23571   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.79164e-37,  0.0242552  ])
23572   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242795  ])
23573   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23574   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23575   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23576   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23577   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23578   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.79164e-37,  0.0242552  ])
23579   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242795  ])
23580   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23581   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23582   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23583   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23584   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23585   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.79164e-37,  0.0242552  ])
23586   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242795  ])
23587   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23588   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23589   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23590   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23591   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23592   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.79164e-37,  0.0242552  ])
23593   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242795  ])
23594   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23595   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23596   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
