135084  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135085  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135086  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135087  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135088  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135089  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135090  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135091  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135092  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135093  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135094  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135095  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135096  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135097  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135098  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135099  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135100  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
