831     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628233])
832     , -12868.3    , array([ 0.00107643 ,  3.4083     ,  3.00416e-06,  0.000628233])
833     , -12868.3    , array([ 0.00107535 ,  3.41171    ,  3.00416e-06,  0.000628233])
834     , -12868.2    , array([ 0.00107535 ,  3.4083     ,  3.00716e-06,  0.000628233])
835     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628862])
837     , -12868      , array([ 0.00100204 ,  3.38158    ,  2.82247e-06,  0.000631015])
838     , -12868      , array([ 0.00100204 ,  3.38158    ,  2.82247e-06,  0.000631015])
839     , -12868      , array([ 0.00100305 ,  3.38158    ,  2.82247e-06,  0.000631015])
840     , -12868      , array([ 0.00100204 ,  3.38496    ,  2.82247e-06,  0.000631015])
841     , -12868      , array([ 0.00100204 ,  3.38158    ,  2.82529e-06,  0.000631015])
842     , -12868      , array([ 0.00100204 ,  3.38158    ,  2.82247e-06,  0.000631646])
848     , -12868      , array([ 0.00100094 ,  3.38116    ,  2.81972e-06,  0.000631059])
849     , -12868      , array([ 0.00100094 ,  3.38116    ,  2.81972e-06,  0.000631059])
850     , -12868      , array([ 0.00100194 ,  3.38116    ,  2.81972e-06,  0.000631059])
851     , -12868      , array([ 0.00100094 ,  3.38455    ,  2.81972e-06,  0.000631059])
852     , -12868      , array([ 0.00100094 ,  3.38116    ,  2.82254e-06,  0.000631059])
853     , -12868      , array([ 0.00100094 ,  3.38116    ,  2.81972e-06,  0.00063169 ])
