52134   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52135   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52136   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52137   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52138   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52139   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52140   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52141   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52142   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52143   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52144   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52145   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52146   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52147   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52148   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52149   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52150   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52151   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52152   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52153   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52154   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52155   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52156   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52157   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52158   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52159   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52160   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52161   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52162   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52163   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52164   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52165   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52166   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52167   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52168   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52169   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52170   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52171   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52172   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52173   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52174   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52175   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
