64872   , -2302.97    , array([ 0.352094   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64873   , -2302.98    , array([ 0.349221   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64874   , -2302.97    , array([ 0.350657   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64875   , -68735      , array([ 0.350657   ,  1.01       ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64877   , -2302.97    , array([ 0.350657   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64879   , -63804.4    , array([ 0.350657   ,  0.391966   ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64880   , -56971.4    , array([ 0.350657   ,  0.200486   ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64883   , -41596.2    , array([ 0.350657   ,  0.0827596  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64885   , -22895.9    , array([ 0.350657   ,  0.0377919  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64887   , -9498.98    , array([ 0.350657   ,  0.0206158  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64889   , -4030.99    , array([ 0.350657   ,  0.0140552  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64891   , -2625.79    , array([ 0.350657   ,  0.0115492  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64893   , -2356.49    , array([ 0.350657   ,  0.010592   ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64895   , -2311.67    , array([ 0.350657   ,  0.0102264  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64897   , -2304.48    , array([ 0.350657   ,  0.0100867  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64899   , -2303.28    , array([ 0.350657   ,  0.0100334  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64901   , -2303.05    , array([ 0.350657   ,  0.010013   ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64904   , -2303       , array([ 0.350657   ,  0.0100052  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
