45514   , -1634.76    , array([ 1.53523    ,  0.0734512  ,  3.92411e-87,  4.71013e-22,  0.02621    ])
45515   , -1634.92    , array([ 1.53369    ,  0.0735247  ,  3.92411e-87,  4.71013e-22,  0.02621    ])
45516   , -1634.74    , array([ 1.53369    ,  0.0734512  ,  3.92803e-87,  4.71013e-22,  0.02621    ])
45517   , -1634.74    , array([ 1.53369    ,  0.0734512  ,  3.92411e-87,  4.71484e-22,  0.02621    ])
45518   , -1634.66    , array([ 1.53369    ,  0.0734512  ,  3.92411e-87,  4.71013e-22,  0.0262363  ])
45519   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45520   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45521   , -1632.3     , array([ 1.45302    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45522   , -1632.34    , array([ 1.45157    ,  0.0685841  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45523   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92803e-87,  4.71013e-22,  0.0245063  ])
45524   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71484e-22,  0.0245063  ])
45525   , -1632.26    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
45526   , -1632.51    , array([ 1.43621    ,  0.0677184  ,  3.92411e-87,  4.71013e-22,  0.0242465  ])
45527   , -1632.51    , array([ 1.43621    ,  0.0677184  ,  3.92411e-87,  4.71013e-22,  0.0242465  ])
45528   , -1632.51    , array([ 1.43765    ,  0.0677184  ,  3.92411e-87,  4.71013e-22,  0.0242465  ])
45529   , -1632.51    , array([ 1.43621    ,  0.0677862  ,  3.92411e-87,  4.71013e-22,  0.0242465  ])
45530   , -1632.51    , array([ 1.43621    ,  0.0677184  ,  3.92803e-87,  4.71013e-22,  0.0242465  ])
45531   , -1632.51    , array([ 1.43621    ,  0.0677184  ,  3.92411e-87,  4.71484e-22,  0.0242465  ])
45532   , -1632.5     , array([ 1.43621    ,  0.0677184  ,  3.92411e-87,  4.71013e-22,  0.0242708  ])
45533   , -1632.31    , array([ 1.44982    ,  0.0684247  ,  3.92411e-87,  4.71013e-22,  0.0244767  ])
45534   , -1632.31    , array([ 1.44982    ,  0.0684247  ,  3.92411e-87,  4.71013e-22,  0.0244767  ])
45535   , -1632.31    , array([ 1.45127    ,  0.0684247  ,  3.92411e-87,  4.71013e-22,  0.0244767  ])
45536   , -1632.35    , array([ 1.44982    ,  0.0684932  ,  3.92411e-87,  4.71013e-22,  0.0244767  ])
45537   , -1632.31    , array([ 1.44982    ,  0.0684247  ,  3.92803e-87,  4.71013e-22,  0.0244767  ])
45538   , -1632.31    , array([ 1.44982    ,  0.0684247  ,  3.92411e-87,  4.71484e-22,  0.0244767  ])
45539   , -1632.28    , array([ 1.44982    ,  0.0684247  ,  3.92411e-87,  4.71013e-22,  0.0245012  ])
45540   , -1632.29    , array([ 1.45135    ,  0.068504   ,  3.92411e-87,  4.71013e-22,  0.0245025  ])
45541   , -1632.29    , array([ 1.45135    ,  0.068504   ,  3.92411e-87,  4.71013e-22,  0.0245025  ])
45542   , -1632.3     , array([ 1.4528     ,  0.068504   ,  3.92411e-87,  4.71013e-22,  0.0245025  ])
45543   , -1632.34    , array([ 1.45135    ,  0.0685725  ,  3.92411e-87,  4.71013e-22,  0.0245025  ])
45544   , -1632.29    , array([ 1.45135    ,  0.068504   ,  3.92803e-87,  4.71013e-22,  0.0245025  ])
45545   , -1632.29    , array([ 1.45135    ,  0.068504   ,  3.92411e-87,  4.71484e-22,  0.0245025  ])
45546   , -1632.26    , array([ 1.45135    ,  0.068504   ,  3.92411e-87,  4.71013e-22,  0.0245271  ])
45547   , -1632.29    , array([ 1.45154    ,  0.068514   ,  3.92411e-87,  4.71013e-22,  0.0245058  ])
45548   , -1632.29    , array([ 1.45154    ,  0.068514   ,  3.92411e-87,  4.71013e-22,  0.0245058  ])
45549   , -1632.3     , array([ 1.453      ,  0.068514   ,  3.92411e-87,  4.71013e-22,  0.0245058  ])
45550   , -1632.34    , array([ 1.45154    ,  0.0685826  ,  3.92411e-87,  4.71013e-22,  0.0245058  ])
45551   , -1632.29    , array([ 1.45154    ,  0.068514   ,  3.92803e-87,  4.71013e-22,  0.0245058  ])
45552   , -1632.29    , array([ 1.45154    ,  0.068514   ,  3.92411e-87,  4.71484e-22,  0.0245058  ])
45553   , -1632.26    , array([ 1.45154    ,  0.068514   ,  3.92411e-87,  4.71013e-22,  0.0245303  ])
45554   , -1632.29    , array([ 1.45157    ,  0.0685153  ,  3.92411e-87,  4.71013e-22,  0.0245062  ])
45555   , -1632.29    , array([ 1.45157    ,  0.0685153  ,  3.92411e-87,  4.71013e-22,  0.0245062  ])
45556   , -1632.3     , array([ 1.45302    ,  0.0685153  ,  3.92411e-87,  4.71013e-22,  0.0245062  ])
45557   , -1632.34    , array([ 1.45157    ,  0.0685839  ,  3.92411e-87,  4.71013e-22,  0.0245062  ])
