91481   , -25140.6    , array([ 36.0318    ,  0.031411   ,  0.000155025,  2.03272e-40,  0.0363454  ])
91489   , -25098.8    , array([ 36.0319    ,  0.031411   ,  0.000155025,  2.03272e-40,  0.036309   ])
91490   , -25098.8    , array([ 36.0319    ,  0.031411   ,  0.000155025,  2.03272e-40,  0.036309   ])
91491   , -25098.9    , array([ 36.068     ,  0.031411   ,  0.000155025,  2.03272e-40,  0.036309   ])
91492   , -25056.6    , array([ 36.0319    ,  0.0314424  ,  0.000155025,  2.03272e-40,  0.036309   ])
91493   , -25098.8    , array([ 36.0319    ,  0.031411   ,  0.00015518 ,  2.03272e-40,  0.036309   ])
91494   , -25098.8    , array([ 36.0319    ,  0.031411   ,  0.000155025,  2.03476e-40,  0.036309   ])
91495   , -25140.6    , array([ 36.0319    ,  0.031411   ,  0.000155025,  2.03272e-40,  0.0363453  ])
91496   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88054e-05,  2.03272e-40,  0.0289849  ])
91497   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88054e-05,  2.03272e-40,  0.0289849  ])
91498   , -23989.8    , array([ 89.4823    ,  0.0258709  ,  6.88054e-05,  2.03272e-40,  0.0289849  ])
91499   , -23948.6    , array([ 89.3929    ,  0.0258968  ,  6.88054e-05,  2.03272e-40,  0.0289849  ])
91500   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88742e-05,  2.03272e-40,  0.0289849  ])
91501   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88054e-05,  2.03476e-40,  0.0289849  ])
91502   , -24030.1    , array([ 89.3929    ,  0.0258709  ,  6.88054e-05,  2.03272e-40,  0.0290139  ])
91510   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91511   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91512   , -23989.8    , array([ 89.4823    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91513   , -23948.6    , array([ 89.3929    ,  0.0258968  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91514   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88742e-05,  2.03272e-40,  0.0289849  ])
91515   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03476e-40,  0.0289849  ])
91516   , -24030.1    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0290139  ])
91524   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91525   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91526   , -23989.8    , array([ 89.4824    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91527   , -23948.6    , array([ 89.3929    ,  0.0258968  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91528   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88742e-05,  2.03272e-40,  0.0289849  ])
91529   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03476e-40,  0.0289849  ])
91530   , -24030.1    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0290139  ])
91538   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91539   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91540   , -23989.8    , array([ 89.4824    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91541   , -23948.6    , array([ 89.3929    ,  0.0258968  ,  6.88053e-05,  2.03272e-40,  0.0289849  ])
91542   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88742e-05,  2.03272e-40,  0.0289849  ])
91543   , -23989.8    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03476e-40,  0.0289849  ])
91544   , -24030.1    , array([ 89.3929    ,  0.0258709  ,  6.88053e-05,  2.03272e-40,  0.0290139  ])
91545   , -23886.9    , array([ 97.6959    ,  0.0253849  ,  6.35534e-05,  2.03272e-40,  0.0283536  ])
91546   , -23886.9    , array([ 97.6959    ,  0.0253849  ,  6.35534e-05,  2.03272e-40,  0.0283536  ])
91547   , -23887      , array([ 97.7936    ,  0.0253849  ,  6.35534e-05,  2.03272e-40,  0.0283536  ])
91548   , -23845.8    , array([ 97.6959    ,  0.0254103  ,  6.35534e-05,  2.03272e-40,  0.0283536  ])
91549   , -23886.9    , array([ 97.6959    ,  0.0253849  ,  6.36169e-05,  2.03272e-40,  0.0283536  ])
91550   , -23886.9    , array([ 97.6959    ,  0.0253849  ,  6.35534e-05,  2.03476e-40,  0.0283536  ])
91551   , -23927.1    , array([ 97.6959    ,  0.0253849  ,  6.35534e-05,  2.03272e-40,  0.028382   ])
91559   , -23886.9    , array([ 97.6959    ,  0.0253849  ,  6.35534e-05,  2.03272e-40,  0.0283536  ])
91560   , -23886.9    , array([ 97.6959    ,  0.0253849  ,  6.35534e-05,  2.03272e-40,  0.0283536  ])
91561   , -23887      , array([ 97.7936    ,  0.0253849  ,  6.35534e-05,  2.03272e-40,  0.0283536  ])
