63589   , -14290.6    , array([ 72.7463    ,  0.00868832 ,  0.125062   ,  6.90348e-29,  0.00119134 ])
63590   , -14268      , array([ 72.7463    ,  0.00868832 ,  0.125062   ,  6.89658e-29,  0.00119253 ])
63598   , -14290.6    , array([ 72.7468    ,  0.00868833 ,  0.125063   ,  6.89658e-29,  0.00119134 ])
63599   , -14290.6    , array([ 72.7468    ,  0.00868833 ,  0.125063   ,  6.89658e-29,  0.00119134 ])
63600   , -14290.6    , array([ 72.8195    ,  0.00868833 ,  0.125063   ,  6.89658e-29,  0.00119134 ])
63601   , -14313.2    , array([ 72.7468    ,  0.00869703 ,  0.125063   ,  6.89658e-29,  0.00119134 ])
63602   , -14290.6    , array([ 72.7468    ,  0.00868833 ,  0.125188   ,  6.89658e-29,  0.00119134 ])
63603   , -14290.6    , array([ 72.7468    ,  0.00868833 ,  0.125063   ,  6.90348e-29,  0.00119134 ])
63604   , -14268      , array([ 72.7468    ,  0.00868833 ,  0.125063   ,  6.89658e-29,  0.00119253 ])
63605   , -14290.6    , array([ 72.7488    ,  0.0086884  ,  0.125064   ,  6.89658e-29,  0.00119135 ])
63606   , -14290.6    , array([ 72.7488    ,  0.0086884  ,  0.125064   ,  6.89658e-29,  0.00119135 ])
63607   , -14290.6    , array([ 72.8216    ,  0.0086884  ,  0.125064   ,  6.89658e-29,  0.00119135 ])
63608   , -14313.2    , array([ 72.7488    ,  0.00869709 ,  0.125064   ,  6.89658e-29,  0.00119135 ])
63609   , -14290.6    , array([ 72.7488    ,  0.0086884  ,  0.125189   ,  6.89658e-29,  0.00119135 ])
63610   , -14290.6    , array([ 72.7488    ,  0.0086884  ,  0.125064   ,  6.90348e-29,  0.00119135 ])
63611   , -14268      , array([ 72.7488    ,  0.0086884  ,  0.125064   ,  6.89658e-29,  0.00119254 ])
63619   , -14290.6    , array([ 72.7489    ,  0.0086884  ,  0.125064   ,  6.89658e-29,  0.00119135 ])
63620   , -14290.6    , array([ 72.7489    ,  0.0086884  ,  0.125064   ,  6.89658e-29,  0.00119135 ])
