29216   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29217   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29218   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29219   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29227   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29228   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29229   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29230   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29231   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29232   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29233   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29241   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29242   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29243   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29244   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29245   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29246   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29247   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29255   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29256   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
