99574   , -1767.88    , array([ 0.624444   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99575   , -1743.82    , array([ 0.7022     ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99576   , -1743.84    , array([ 0.703899   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99577   , -1743.83    , array([ 0.700501   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99578   , -1743.82    , array([ 0.7022     ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99579   , -41691.9    , array([ 0.7022     ,  1.09261    ,  9.57022    ,  4.17132    ,  0.0575207  ])
99581   , -1743.82    , array([ 0.7022     ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99583   , -26782      , array([ 0.7022     ,  0.474572   ,  9.57022    ,  4.17132    ,  0.0575207  ])
99584   , -16034.1    , array([ 0.7022     ,  0.283387   ,  9.57022    ,  4.17132    ,  0.0575207  ])
99587   , -6443.93    , array([ 0.7022     ,  0.165478   ,  9.57022    ,  4.17132    ,  0.0575207  ])
99588   , -4398.7     , array([ 0.7022     ,  0.0581642  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99589   , -2064.08    , array([ 0.7022     ,  0.104598   ,  9.57022    ,  4.17132    ,  0.0575207  ])
99590   , -1744.06    , array([ 0.7022     ,  0.0926282  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99591   , -1726.68    , array([ 0.7022     ,  0.0885416  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99592   , -2039.61    , array([ 0.7022     ,  0.0769385  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99593   , -1725.66    , array([ 0.7022     ,  0.0892681  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99594   , -1725.66    , array([ 0.7022     ,  0.0893223  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99595   , -1725.66    , array([ 0.7022     ,  0.0893552  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99596   , -1725.66    , array([ 0.7022     ,  0.0893223  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99598   , -1556.45    , array([ 0.7022     ,  0.0893223  ,  7.95218    ,  4.17132    ,  0.0575207  ])
99599   , -1625.71    , array([ 0.7022     ,  0.0893223  ,  8.7612     ,  4.17132    ,  0.0575207  ])
99600   , -1590.2     , array([ 0.7022     ,  0.0893223  ,  5.33415    ,  4.17132    ,  0.0575207  ])
99601   , -1556.45    , array([ 0.7022     ,  0.0893223  ,  7.95218    ,  4.17132    ,  0.0575207  ])
99602   , -1518.73    , array([ 0.7022     ,  0.0893223  ,  6.95218    ,  4.17132    ,  0.0575207  ])
99603   , -1525.12    , array([ 0.7022     ,  0.0893223  ,  6.33415    ,  4.17132    ,  0.0575207  ])
99604   , -1518.08    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.17132    ,  0.0575207  ])
99605   , -1518.08    , array([ 0.7022     ,  0.0893223  ,  6.78971    ,  4.17132    ,  0.0575207  ])
99606   , -1518.12    , array([ 0.7022     ,  0.0893223  ,  6.84477    ,  4.17132    ,  0.0575207  ])
99607   , -1518.08    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.17132    ,  0.0575207  ])
99608   , -1538.75    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  5.17132    ,  0.0575207  ])
99609   , -1799.33    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  2.55328    ,  0.0575207  ])
99610   , -1518.08    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.17132    ,  0.0575207  ])
