85146   , -7507.99    , array([ 0.0038472  ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345117])
85147   , -7507.99    , array([ 0.0038472  ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345117])
85148   , -7499.98    , array([ 0.00385105 ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345117])
85149   , -7513.39    , array([ 0.0038472  ,  0.00121836 ,  5.68837e-26,  0.0177839  ,  0.000345117])
85150   , -7507.99    , array([ 0.0038472  ,  0.00121714 ,  5.69406e-26,  0.0177839  ,  0.000345117])
85151   , -7507.99    , array([ 0.0038472  ,  0.00121714 ,  5.68837e-26,  0.0178016  ,  0.000345117])
85152   , -7510.59    , array([ 0.0038472  ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345463])
85153   , -7071.54    , array([ 0.00367071 ,  0.00104612 ,  5.68837e-26,  0.0177969  ,  0.000328889])
85154   , -7071.54    , array([ 0.00367071 ,  0.00104612 ,  5.68837e-26,  0.0177969  ,  0.000328889])
85155   , -7063.69    , array([ 0.00367439 ,  0.00104612 ,  5.68837e-26,  0.0177969  ,  0.000328889])
85156   , -7074.44    , array([ 0.00367071 ,  0.00104716 ,  5.68837e-26,  0.0177969  ,  0.000328889])
85157   , -7071.54    , array([ 0.00367071 ,  0.00104612 ,  5.69406e-26,  0.0177969  ,  0.000328889])
85158   , -7071.54    , array([ 0.00367071 ,  0.00104612 ,  5.68837e-26,  0.0178147  ,  0.000328889])
85159   , -7076.47    , array([ 0.00367071 ,  0.00104612 ,  5.68837e-26,  0.0177969  ,  0.000329218])
85167   , -7071.54    , array([ 0.00367071 ,  0.00104612 ,  5.68837e-26,  0.0177969  ,  0.000328889])
85168   , -7071.54    , array([ 0.00367071 ,  0.00104612 ,  5.68837e-26,  0.0177969  ,  0.000328889])
85169   , -7063.69    , array([ 0.00367439 ,  0.00104612 ,  5.68837e-26,  0.0177969  ,  0.000328889])
85170   , -7074.44    , array([ 0.00367071 ,  0.00104716 ,  5.68837e-26,  0.0177969  ,  0.000328889])
85171   , -7071.54    , array([ 0.00367071 ,  0.00104612 ,  5.69406e-26,  0.0177969  ,  0.000328889])
85172   , -7071.54    , array([ 0.00367071 ,  0.00104612 ,  5.68837e-26,  0.0178147  ,  0.000328889])
85173   , -7076.47    , array([ 0.00367071 ,  0.00104612 ,  5.68837e-26,  0.0177969  ,  0.000329218])
85174   , -7009.83    , array([ 0.00363223 ,  0.00101117 ,  5.68837e-26,  0.0177998  ,  0.000325353])
85175   , -7009.83    , array([ 0.00363223 ,  0.00101117 ,  5.68837e-26,  0.0177998  ,  0.000325353])
85176   , -7002.03    , array([ 0.00363587 ,  0.00101117 ,  5.68837e-26,  0.0177998  ,  0.000325353])
85177   , -7012.14    , array([ 0.00363223 ,  0.00101218 ,  5.68837e-26,  0.0177998  ,  0.000325353])
85178   , -7009.83    , array([ 0.00363223 ,  0.00101117 ,  5.69406e-26,  0.0177998  ,  0.000325353])
85179   , -7009.83    , array([ 0.00363223 ,  0.00101117 ,  5.68837e-26,  0.0178176  ,  0.000325353])
85180   , -7015.32    , array([ 0.00363223 ,  0.00101117 ,  5.68837e-26,  0.0177998  ,  0.000325679])
85184   , -6994.1     , array([ 0.00361924 ,  0.00100055 ,  5.68837e-26,  0.0178008  ,  0.00032416 ])
85188   , -7004.34    , array([ 0.00362835 ,  0.00100769 ,  5.68837e-26,  0.0178001  ,  0.000324996])
85189   , -7004.34    , array([ 0.00362835 ,  0.00100769 ,  5.68837e-26,  0.0178001  ,  0.000324996])
85190   , -6996.54    , array([ 0.00363198 ,  0.00100769 ,  5.68837e-26,  0.0178001  ,  0.000324996])
85191   , -7006.59    , array([ 0.00362835 ,  0.0010087  ,  5.68837e-26,  0.0178001  ,  0.000324996])
85192   , -7004.34    , array([ 0.00362835 ,  0.00100769 ,  5.69406e-26,  0.0178001  ,  0.000324996])
85193   , -7004.34    , array([ 0.00362835 ,  0.00100769 ,  5.68837e-26,  0.0178179  ,  0.000324996])
85194   , -7009.88    , array([ 0.00362835 ,  0.00100769 ,  5.68837e-26,  0.0178001  ,  0.000325322])
85195   , -6996.1     , array([ 0.00362234 ,  0.00100231 ,  5.68837e-26,  0.0178005  ,  0.000324444])
85196   , -6996.1     , array([ 0.00362234 ,  0.00100231 ,  5.68837e-26,  0.0178005  ,  0.000324444])
85197   , -6988.31    , array([ 0.00362596 ,  0.00100231 ,  5.68837e-26,  0.0178005  ,  0.000324444])
85198   , -6998.26    , array([ 0.00362234 ,  0.00100331 ,  5.68837e-26,  0.0178005  ,  0.000324444])
85199   , -6996.1     , array([ 0.00362234 ,  0.00100231 ,  5.69406e-26,  0.0178005  ,  0.000324444])
85200   , -6996.1     , array([ 0.00362234 ,  0.00100231 ,  5.68837e-26,  0.0178183  ,  0.000324444])
85201   , -7001.73    , array([ 0.00362234 ,  0.00100231 ,  5.68837e-26,  0.0178005  ,  0.000324768])
85202   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85203   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85204   , -6985.59    , array([ 0.00362392 ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85205   , -6995.5     , array([ 0.0036203  ,  0.00100149 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85206   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.69406e-26,  0.0178007  ,  0.000324256])
85207   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178185  ,  0.000324256])
85208   , -6999.03    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324581])
85212   , -6994.57    , array([ 0.0036196  ,  0.00100087 ,  5.68837e-26,  0.0178007  ,  0.000324192])
85216   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85217   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85218   , -6985.59    , array([ 0.00362392 ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85219   , -6995.5     , array([ 0.0036203  ,  0.00100149 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85220   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.69406e-26,  0.0178007  ,  0.000324256])
85221   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178185  ,  0.000324256])
85222   , -6999.03    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324581])
85223   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85224   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85225   , -6985.59    , array([ 0.00362392 ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85226   , -6995.5     , array([ 0.0036203  ,  0.00100149 ,  5.68837e-26,  0.0178007  ,  0.000324256])
85227   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.69406e-26,  0.0178007  ,  0.000324256])
85228   , -6993.38    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178185  ,  0.000324256])
85229   , -6999.03    , array([ 0.0036203  ,  0.00100049 ,  5.68837e-26,  0.0178007  ,  0.000324581])
85230   , -6992.92    , array([ 0.00361995 ,  0.00100018 ,  5.68837e-26,  0.0178007  ,  0.000324224])
85231   , -6992.92    , array([ 0.00361995 ,  0.00100018 ,  5.68837e-26,  0.0178007  ,  0.000324224])
85232   , -6985.13    , array([ 0.00362357 ,  0.00100018 ,  5.68837e-26,  0.0178007  ,  0.000324224])
85233   , -6995.03    , array([ 0.00361995 ,  0.00100118 ,  5.68837e-26,  0.0178007  ,  0.000324224])
85234   , -6992.92    , array([ 0.00361995 ,  0.00100018 ,  5.69406e-26,  0.0178007  ,  0.000324224])
85235   , -6992.92    , array([ 0.00361995 ,  0.00100018 ,  5.68837e-26,  0.0178185  ,  0.000324224])
85236   , -6998.58    , array([ 0.00361995 ,  0.00100018 ,  5.68837e-26,  0.0178007  ,  0.000324549])
85240   , -6994.73    , array([ 0.00361972 ,  0.00100098 ,  5.68837e-26,  0.0178007  ,  0.000324203])
85244   , -6992.92    , array([ 0.00361995 ,  0.00100018 ,  5.68837e-26,  0.0178007  ,  0.000324224])
85245   , -6992.92    , array([ 0.00361995 ,  0.00100018 ,  5.68837e-26,  0.0178007  ,  0.000324224])
85246   , -6985.13    , array([ 0.00362357 ,  0.00100018 ,  5.68837e-26,  0.0178007  ,  0.000324224])
