142978  , -1632.54    , array([ 1.43616    ,  0.0676428  ,  8.55036e-43,  1.04359e-53,  0.0242494  ])
142979  , -1632.49    , array([ 1.42617    ,  0.0678215  ,  8.55036e-43,  1.04359e-53,  0.0242775  ])
142980  , -1632.49    , array([ 1.42617    ,  0.0678215  ,  8.55036e-43,  1.04359e-53,  0.0242775  ])
142981  , -1632.49    , array([ 1.4276     ,  0.0678215  ,  8.55036e-43,  1.04359e-53,  0.0242775  ])
142982  , -1632.5     , array([ 1.42617    ,  0.0678893  ,  8.55036e-43,  1.04359e-53,  0.0242775  ])
142983  , -1632.49    , array([ 1.42617    ,  0.0678215  ,  8.55891e-43,  1.04359e-53,  0.0242775  ])
142984  , -1632.49    , array([ 1.42617    ,  0.0678215  ,  8.55036e-43,  1.04464e-53,  0.0242775  ])
142985  , -1632.48    , array([ 1.42617    ,  0.0678215  ,  8.55036e-43,  1.04359e-53,  0.0243018  ])
142986  , -1632.49    , array([ 1.42493    ,  0.0678439  ,  8.55036e-43,  1.04359e-53,  0.024284   ])
142987  , -1632.49    , array([ 1.42493    ,  0.0678439  ,  8.55036e-43,  1.04359e-53,  0.024284   ])
142988  , -1632.48    , array([ 1.42636    ,  0.0678439  ,  8.55036e-43,  1.04359e-53,  0.024284   ])
142989  , -1632.5     , array([ 1.42493    ,  0.0679117  ,  8.55036e-43,  1.04359e-53,  0.024284   ])
142990  , -1632.49    , array([ 1.42493    ,  0.0678439  ,  8.55891e-43,  1.04359e-53,  0.024284   ])
142991  , -1632.49    , array([ 1.42493    ,  0.0678439  ,  8.55036e-43,  1.04464e-53,  0.024284   ])
142992  , -1632.48    , array([ 1.42493    ,  0.0678439  ,  8.55036e-43,  1.04359e-53,  0.0243083  ])
142993  , -1632.49    , array([ 1.42475    ,  0.0678471  ,  8.55036e-43,  1.04359e-53,  0.024285   ])
142994  , -1632.49    , array([ 1.42475    ,  0.0678471  ,  8.55036e-43,  1.04359e-53,  0.024285   ])
