122125  , -2181.25    , array([ 0.378377   ,  0.0153965  ,  1.60797e-22,  1.38706e-07,  0.00537817 ])
122126  , -2181.25    , array([ 0.378377   ,  0.0153965  ,  1.60637e-22,  1.38845e-07,  0.00537817 ])
122127  , -2181.26    , array([ 0.378377   ,  0.0153965  ,  1.60637e-22,  1.38706e-07,  0.00538356 ])
122128  , -2076.14    , array([ 0.600519   ,  0.0193818  ,  2.25714e-22,  1.38926e-07,  0.0068117  ])
122129  , -2076.14    , array([ 0.600519   ,  0.0193818  ,  2.25714e-22,  1.38926e-07,  0.0068117  ])
122130  , -2076.12    , array([ 0.601119   ,  0.0193818  ,  2.25714e-22,  1.38926e-07,  0.0068117  ])
122131  , -2075.87    , array([ 0.600519   ,  0.0194011  ,  2.25714e-22,  1.38926e-07,  0.0068117  ])
122132  , -2076.14    , array([ 0.600519   ,  0.0193818  ,  2.2594e-22 ,  1.38926e-07,  0.0068117  ])
122133  , -2076.14    , array([ 0.600519   ,  0.0193818  ,  2.25714e-22,  1.39065e-07,  0.0068117  ])
122134  , -2076.06    , array([ 0.600519   ,  0.0193818  ,  2.25714e-22,  1.38926e-07,  0.00681852 ])
122135  , -1860.97    , array([ 1.52272    ,  0.0334032  ,  1.21144e-21,  1.39319e-07,  0.0118978  ])
122136  , -1860.97    , array([ 1.52272    ,  0.0334032  ,  1.21144e-21,  1.39319e-07,  0.0118978  ])
122137  , -1861.04    , array([ 1.52424    ,  0.0334032  ,  1.21144e-21,  1.39319e-07,  0.0118978  ])
122138  , -1860.7     , array([ 1.52272    ,  0.0334366  ,  1.21144e-21,  1.39319e-07,  0.0118978  ])
122139  , -1860.97    , array([ 1.52272    ,  0.0334032  ,  1.21265e-21,  1.39319e-07,  0.0118978  ])
122140  , -1860.97    , array([ 1.52272    ,  0.0334032  ,  1.21144e-21,  1.39459e-07,  0.0118978  ])
122141  , -1860.79    , array([ 1.52272    ,  0.0334032  ,  1.21144e-21,  1.39319e-07,  0.0119097  ])
122142  , -2564.73    , array([ 13.0281    ,  0.129307   ,  1.97552e-19,  1.4017e-07 ,  0.0476034  ])
122143  , -2564.73    , array([ 13.0281    ,  0.129307   ,  1.97552e-19,  1.4017e-07 ,  0.0476034  ])
122144  , -2564.93    , array([ 13.0411    ,  0.129307   ,  1.97552e-19,  1.4017e-07 ,  0.0476034  ])
122145  , -2565.09    , array([ 13.0281    ,  0.129436   ,  1.97552e-19,  1.4017e-07 ,  0.0476034  ])
122146  , -2564.73    , array([ 13.0281    ,  0.129307   ,  1.97749e-19,  1.4017e-07 ,  0.0476034  ])
122147  , -2564.73    , array([ 13.0281    ,  0.129307   ,  1.97552e-19,  1.4031e-07 ,  0.0476034  ])
122148  , -2566.49    , array([ 13.0281    ,  0.129307   ,  1.97552e-19,  1.4017e-07 ,  0.047651   ])
122149  , -1759.37    , array([ 2.87983    ,  0.0499217  ,  5.49616e-21,  1.39571e-07,  0.0179566  ])
122150  , -1759.37    , array([ 2.87983    ,  0.0499217  ,  5.49616e-21,  1.39571e-07,  0.0179566  ])
122151  , -1759.49    , array([ 2.88271    ,  0.0499217  ,  5.49616e-21,  1.39571e-07,  0.0179566  ])
122152  , -1759.2     , array([ 2.87983    ,  0.0499716  ,  5.49616e-21,  1.39571e-07,  0.0179566  ])
122153  , -1759.37    , array([ 2.87983    ,  0.0499217  ,  5.50166e-21,  1.39571e-07,  0.0179566  ])
122154  , -1759.37    , array([ 2.87983    ,  0.0499217  ,  5.49616e-21,  1.39711e-07,  0.0179566  ])
122155  , -1759.29    , array([ 2.87983    ,  0.0499217  ,  5.49616e-21,  1.39571e-07,  0.0179746  ])
