206440  , -18606      , array([ 0.053491   ,  0.0308153  ,  1.5744e-12 ,  2.11092    ,  0.0123883  ])
206441  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.57598e-12,  2.11092    ,  0.0123883  ])
206442  , -18604.2    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11304    ,  0.0123883  ])
206443  , -18623.7    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11092    ,  0.0124007  ])
206444  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36351    ,  0.0120051  ])
206445  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36351    ,  0.0120051  ])
206446  , -17996.1    , array([ 0.0523555  ,  0.0271907  ,  1.5744e-12 ,  5.36351    ,  0.0120051  ])
206447  , -18019.2    , array([ 0.0523032  ,  0.0272179  ,  1.5744e-12 ,  5.36351    ,  0.0120051  ])
206448  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.57598e-12,  5.36351    ,  0.0120051  ])
206449  , -18017.7    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36887    ,  0.0120051  ])
206450  , -18036.9    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36351    ,  0.0120171  ])
206451  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36351    ,  0.0120051  ])
206452  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36351    ,  0.0120051  ])
206453  , -17996.1    , array([ 0.0523555  ,  0.0271907  ,  1.5744e-12 ,  5.36351    ,  0.0120051  ])
206454  , -18019.2    , array([ 0.0523032  ,  0.0272179  ,  1.5744e-12 ,  5.36351    ,  0.0120051  ])
206455  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.57598e-12,  5.36351    ,  0.0120051  ])
206456  , -18017.7    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36888    ,  0.0120051  ])
206457  , -18036.9    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36351    ,  0.0120171  ])
206458  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36352    ,  0.0120051  ])
206459  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36352    ,  0.0120051  ])
206460  , -17996.1    , array([ 0.0523555  ,  0.0271907  ,  1.5744e-12 ,  5.36352    ,  0.0120051  ])
206461  , -18019.2    , array([ 0.0523032  ,  0.0272179  ,  1.5744e-12 ,  5.36352    ,  0.0120051  ])
206462  , -18018.2    , array([ 0.0523032  ,  0.0271907  ,  1.57598e-12,  5.36352    ,  0.0120051  ])
206463  , -18017.7    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36889    ,  0.0120051  ])
206464  , -18036.9    , array([ 0.0523032  ,  0.0271907  ,  1.5744e-12 ,  5.36352    ,  0.0120171  ])
206465  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54944    ,  0.011818   ])
206466  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54944    ,  0.011818   ])
206467  , -17625.1    , array([ 0.0517709  ,  0.0255543  ,  1.5744e-12 ,  8.54944    ,  0.011818   ])
206468  , -17648      , array([ 0.0517192  ,  0.0255799  ,  1.5744e-12 ,  8.54944    ,  0.011818   ])
206469  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.57598e-12,  8.54944    ,  0.011818   ])
206470  , -17646.1    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.55799    ,  0.011818   ])
206471  , -17664.6    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54944    ,  0.0118298  ])
206472  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54944    ,  0.011818   ])
206473  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54944    ,  0.011818   ])
206474  , -17625.1    , array([ 0.0517709  ,  0.0255543  ,  1.5744e-12 ,  8.54944    ,  0.011818   ])
206475  , -17648      , array([ 0.0517192  ,  0.0255799  ,  1.5744e-12 ,  8.54944    ,  0.011818   ])
