675     , -2336.74    , array([ 0.00212732 ,  0.113749   ,  7.67444e-09,  9.266e-57  ])
676     , -2336.74    , array([ 0.00212945 ,  0.113749   ,  7.67444e-09,  9.266e-57  ])
677     , -2336.74    , array([ 0.00212732 ,  0.113863   ,  7.67444e-09,  9.266e-57  ])
678     , -2336.74    , array([ 0.00212732 ,  0.113749   ,  7.68212e-09,  9.266e-57  ])
679     , -2336.74    , array([ 0.00212732 ,  0.113749   ,  7.67444e-09,  9.27527e-57])
680     , -2336.73    , array([ 0.00108378 ,  0.113749   ,  4.39604e-09,  9.266e-57  ])
681     , -2336.73    , array([ 0.00108378 ,  0.113749   ,  4.39604e-09,  9.266e-57  ])
682     , -2336.73    , array([ 0.00108487 ,  0.113749   ,  4.39604e-09,  9.266e-57  ])
683     , -2336.73    , array([ 0.00108378 ,  0.113863   ,  4.39604e-09,  9.266e-57  ])
684     , -2336.73    , array([ 0.00108378 ,  0.113749   ,  4.40043e-09,  9.266e-57  ])
685     , -2336.73    , array([ 0.00108378 ,  0.113749   ,  4.39604e-09,  9.27527e-57])
689     , -2336.73    , array([ 0.00103905 ,  0.113749   ,  4.24558e-09,  9.266e-57  ])
690     , -2336.73    , array([ 0.00103905 ,  0.113749   ,  4.24558e-09,  9.266e-57  ])
691     , -2336.73    , array([ 0.00104009 ,  0.113749   ,  4.24558e-09,  9.266e-57  ])
692     , -2336.73    , array([ 0.00103905 ,  0.113863   ,  4.24558e-09,  9.266e-57  ])
693     , -2336.73    , array([ 0.00103905 ,  0.113749   ,  4.24983e-09,  9.266e-57  ])
694     , -2336.73    , array([ 0.00103905 ,  0.113749   ,  4.24558e-09,  9.27527e-57])
695     , -2336.73    , array([ 0.00101738 ,  0.113749   ,  4.1723e-09 ,  9.266e-57  ])
696     , -2336.73    , array([ 0.00101738 ,  0.113749   ,  4.1723e-09 ,  9.266e-57  ])
697     , -2336.73    , array([ 0.0010184  ,  0.113749   ,  4.1723e-09 ,  9.266e-57  ])
698     , -2336.73    , array([ 0.00101738 ,  0.113863   ,  4.1723e-09 ,  9.266e-57  ])
699     , -2336.73    , array([ 0.00101738 ,  0.113749   ,  4.17647e-09,  9.266e-57  ])
700     , -2336.73    , array([ 0.00101738 ,  0.113749   ,  4.1723e-09 ,  9.27527e-57])
701     , -2336.73    , array([ 0.00100671 ,  0.113749   ,  4.13613e-09,  9.266e-57  ])
702     , -2336.73    , array([ 0.00100671 ,  0.113749   ,  4.13613e-09,  9.266e-57  ])
703     , -2336.73    , array([ 0.00100772 ,  0.113749   ,  4.13613e-09,  9.266e-57  ])
704     , -2336.73    , array([ 0.00100671 ,  0.113863   ,  4.13613e-09,  9.266e-57  ])
705     , -2336.73    , array([ 0.00100671 ,  0.113749   ,  4.14027e-09,  9.266e-57  ])
706     , -2336.73    , array([ 0.00100671 ,  0.113749   ,  4.13613e-09,  9.27527e-57])
707     , -2336.73    , array([ 0.00100142 ,  0.113749   ,  4.11816e-09,  9.266e-57  ])
708     , -2336.73    , array([ 0.00100142 ,  0.113749   ,  4.11816e-09,  9.266e-57  ])
709     , -2336.73    , array([ 0.00100243 ,  0.113749   ,  4.11816e-09,  9.266e-57  ])
710     , -2336.73    , array([ 0.00100142 ,  0.113863   ,  4.11816e-09,  9.266e-57  ])
711     , -2336.73    , array([ 0.00100142 ,  0.113749   ,  4.12228e-09,  9.266e-57  ])
712     , -2336.73    , array([ 0.00100142 ,  0.113749   ,  4.11816e-09,  9.27527e-57])
714     , -2336.73    , array([ 0.00100011 ,  0.113749   ,  4.11368e-09,  9.266e-57  ])
715     , -2336.73    , array([ 0.00100011 ,  0.113749   ,  4.11368e-09,  9.266e-57  ])
716     , -2336.73    , array([ 0.00100111 ,  0.113749   ,  4.11368e-09,  9.266e-57  ])
717     , -2336.73    , array([ 0.00100011 ,  0.113863   ,  4.11368e-09,  9.266e-57  ])
718     , -2336.73    , array([ 0.00100011 ,  0.113749   ,  4.1178e-09 ,  9.266e-57  ])
719     , -2336.73    , array([ 0.00100011 ,  0.113749   ,  4.11368e-09,  9.27527e-57])
