89618   , -51207.1    , array([ 0.52171    ,  36.9935    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89619   , -50832.6    , array([ 0.52171    ,  25.9033    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89620   , -48140.1    , array([ 0.52171    ,  7.95901    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89622   , -48140.1    , array([ 0.52171    ,  7.95901    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89624   , -49915.1    , array([ 0.52171    ,  14.8131    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89625   , -49284.3    , array([ 0.52171    ,  11.3858    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89626   , -44127.7    , array([ 0.52171    ,  3.72294    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89627   , -30671.7    , array([ 0.52171    ,  1.10491    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89629   , -39071.5    , array([ 0.52171    ,  2.10491    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89630   , -16905.8    , array([ 0.52171    ,  0.486872   ,  2.65388    ,  2.58793    ,  0.0934721  ])
89631   , -16905.8    , array([ 0.52171    ,  0.486872   ,  2.65388    ,  2.58793    ,  0.0934721  ])
89632   , -16933.5    , array([ 0.52171    ,  0.486872   ,  3.65388    ,  2.58793    ,  0.0934721  ])
89633   , -17413.5    , array([ 0.52171    ,  0.486872   ,  1.03584    ,  2.58793    ,  0.0934721  ])
89634   , -16905.8    , array([ 0.52171    ,  0.486872   ,  2.65388    ,  2.58793    ,  0.0934721  ])
89635   , -17006      , array([ 0.52171    ,  0.486872   ,  2.03584    ,  2.58793    ,  0.0934721  ])
89636   , -16891.2    , array([ 0.52171    ,  0.486872   ,  3.03584    ,  2.58793    ,  0.0934721  ])
89637   , -16891.1    , array([ 0.52171    ,  0.486872   ,  2.99997    ,  2.58793    ,  0.0934721  ])
89638   , -16891.1    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  2.58793    ,  0.0934721  ])
89639   , -16891.1    , array([ 0.52171    ,  0.486872   ,  3.01099    ,  2.58793    ,  0.0934721  ])
89640   , -16891.1    , array([ 0.52171    ,  0.486872   ,  3.0182     ,  2.58793    ,  0.0934721  ])
89641   , -16891.1    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  2.58793    ,  0.0934721  ])
89642   , -18747.6    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  3.58793    ,  0.0934721  ])
89643   , -13945.3    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.969895   ,  0.0934721  ])
89645   , -13945.3    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.969895   ,  0.0934721  ])
89650   , -15050.1    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  1.58793    ,  0.0934721  ])
89651   , -14492.8    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  1.27889    ,  0.0934721  ])
89652   , -13032.8    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.435842   ,  0.0934721  ])
89653   , -12499.8    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.10578    ,  0.0934721  ])
89655   , -12699.9    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.231852   ,  0.0934721  ])
89656   , -12378.6    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.0934721  ])
89658   , -12424.7    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0576242  ,  0.0934721  ])
89659   , -12378.6    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.0934721  ])
89660   , -15676.1    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  1.09347    ])
89662   , -12378.6    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.0934721  ])
89664   , -12434.5    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.475438   ])
89665   , -10911.8    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.284455   ])
89666   , -10897.2    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.282545   ])
89667   , -10573.4    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.236318   ])
89668   , -10376.8    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.181756   ])
89669   , -10469.9    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.155611   ])
89670   , -10380.2    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.188744   ])
89671   , -10376.7    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89672   , -10376.9    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.184156   ])
89674   , -10376.7    , array([ 0.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89675   , -5322.04    , array([ 1.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89676   , -7057.22    , array([ 3.13974    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89677   , -5322.04    , array([ 1.52171    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89678   , -5934.98    , array([ 2.13974    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89679   , -5363.6     , array([ 1.13974    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89680   , -5263.94    , array([ 1.38016    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89681   , -5260.61    , array([ 1.35592    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89682   , -5259.78    , array([ 1.32634    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89683   , -5259.64    , array([ 1.33439    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89684   , -5259.77    , array([ 1.34251    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89685   , -5259.64    , array([ 1.33439    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89686   , -23024.6    , array([ 1.33439    ,  1.48687    ,  3.0146     ,  0.0278624  ,  0.183258   ])
89688   , -5259.64    , array([ 1.33439    ,  0.486872   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89690   , -13194.3    , array([ 1.33439    ,  0.868838   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89691   , -9212.68    , array([ 1.33439    ,  0.677791   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89692   , -5147.03    , array([ 1.33439    ,  0.250804   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89693   , -3679.09    , array([ 1.33439    ,  0.363804   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89694   , -3693.08    , array([ 1.33439    ,  0.366659   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89695   , -3633.97    , array([ 1.33439    ,  0.34936    ,  3.0146     ,  0.0278624  ,  0.183258   ])
89696   , -3763.41    , array([ 1.33439    ,  0.311715   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89697   , -3629.17    , array([ 1.33439    ,  0.341388   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89698   , -3628.9     , array([ 1.33439    ,  0.342843   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89699   , -3629.14    , array([ 1.33439    ,  0.344283   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89700   , -3628.9     , array([ 1.33439    ,  0.342843   ,  3.0146     ,  0.0278624  ,  0.183258   ])
89701   , -3273.59    , array([ 1.33439    ,  0.342843   ,  4.0146     ,  0.0278624  ,  0.183258   ])
89702   , -3762.45    , array([ 1.33439    ,  0.342843   ,  5.63263    ,  0.0278624  ,  0.183258   ])
89703   , -3273.59    , array([ 1.33439    ,  0.342843   ,  4.0146     ,  0.0278624  ,  0.183258   ])
89704   , -3332.83    , array([ 1.33439    ,  0.342843   ,  4.63263    ,  0.0278624  ,  0.183258   ])
89705   , -3335.59    , array([ 1.33439    ,  0.342843   ,  3.63263    ,  0.0278624  ,  0.183258   ])
89706   , -3270.58    , array([ 1.33439    ,  0.342843   ,  4.13798    ,  0.0278624  ,  0.183258   ])
89707   , -3270.53    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.0278624  ,  0.183258   ])
89708   , -3270.54    , array([ 1.33439    ,  0.342843   ,  4.11542    ,  0.0278624  ,  0.183258   ])
89709   , -3270.53    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.0278624  ,  0.183258   ])
89710   , -3832.63    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  1.02786    ,  0.183258   ])
89712   , -3270.53    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.0278624  ,  0.183258   ])
89714   , -3301.53    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.409828   ,  0.183258   ])
89715   , -3248.03    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.218845   ,  0.183258   ])
89716   , -3245.83    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.179889   ,  0.183258   ])
89717   , -3245.78    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.174744   ,  0.183258   ])
89718   , -3245.78    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.183258   ])
89719   , -3245.78    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.17159    ,  0.183258   ])
89720   , -3245.78    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.183258   ])
89721   , -14019.9    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  1.18326    ])
89723   , -3245.78    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.183258   ])
89725   , -9246.43    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.565224   ])
89726   , -6131.64    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.374192   ])
89728   , -5936.3     , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.093088   ])
89729   , -3673.41    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.231467   ])
89730   , -3280.2     , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.191507   ])
89731   , -3240.96    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.16964    ])
89732   , -3546.82    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.1404     ])
89733   , -3234.21    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.175436   ])
89734   , -3234.21    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.175538   ])
89735   , -3234.21    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.175357   ])
89736   , -3234.21    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.175278   ])
89737   , -5520.68    , array([ 2.14706    ,  0.198814   ,  5.23848    ,  0.318221   ,  0.167457   ])
89738   , -3234.21    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.175357   ])
89739   , -5520.68    , array([ 2.14706    ,  0.198814   ,  5.23848    ,  0.318221   ,  0.167457   ])
89741   , -3234.21    , array([ 1.33439    ,  0.342843   ,  4.12654    ,  0.173042   ,  0.175357   ])
89742   , -5138.52    , array([ 0.832125   ,  0.431858   ,  3.43932    ,  0.083316   ,  0.18024    ])
89743   , -3284.7     , array([ 1.6448     ,  0.287829   ,  4.55126    ,  0.228495   ,  0.17234    ])
89744   , -3172.13    , array([ 1.47288    ,  0.318299   ,  4.31603    ,  0.197782   ,  0.174011   ])
89745   , -3172.04    , array([ 1.4667     ,  0.319393   ,  4.30758    ,  0.196679   ,  0.174071   ])
89746   , -3172.04    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.174058   ])
89747   , -3172.05    , array([ 1.46936    ,  0.318921   ,  4.31122    ,  0.197154   ,  0.174045   ])
89748   , -3172.04    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.174058   ])
89749   , -15525.7    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  1.17406    ])
89751   , -3172.04    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.174058   ])
89753   , -10311.2    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.556024   ])
89754   , -6737.58    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.364983   ])
89756   , -6185.42    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.0838882  ])
89757   , -3712.81    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.219136   ])
89758   , -3202.47    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.178734   ])
89759   , -3153.92    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.15244    ])
89760   , -3537.28    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.126256   ])
89761   , -3133.77    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.161306   ])
89762   , -3133.8     , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.161532   ])
89763   , -3133.76    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.161138   ])
89764   , -3133.76    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.161009   ])
89765   , -3133.76    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.161138   ])
89766   , -25492.3    , array([ 1.46803    ,  1.31916    ,  4.30939    ,  0.196916   ,  0.161138   ])
89768   , -3133.76    , array([ 1.46803    ,  0.319158   ,  4.30939    ,  0.196916   ,  0.161138   ])
89770   , -12891.8    , array([ 1.46803    ,  0.701124   ,  4.30939    ,  0.196916   ,  0.161138   ])
89771   , -7595.25    , array([ 1.46803    ,  0.510062   ,  4.30939    ,  0.196916   ,  0.161138   ])
89772   , -30291.9    , array([ 1.46803    ,  0.0830902  ,  4.30939    ,  0.196916   ,  0.161138   ])
89773   , -3516.32    , array([ 1.46803    ,  0.228988   ,  4.30939    ,  0.196916   ,  0.161138   ])
89774   , -2924.68    , array([ 1.46803    ,  0.295666   ,  4.30939    ,  0.196916   ,  0.161138   ])
89775   , -2884.25    , array([ 1.46803    ,  0.284835   ,  4.30939    ,  0.196916   ,  0.161138   ])
89776   , -2880.45    , array([ 1.46803    ,  0.277856   ,  4.30939    ,  0.196916   ,  0.161138   ])
89777   , -2879.64    , array([ 1.46803    ,  0.279825   ,  4.30939    ,  0.196916   ,  0.161138   ])
89778   , -2879.65    , array([ 1.46803    ,  0.280218   ,  4.30939    ,  0.196916   ,  0.161138   ])
89779   , -2879.68    , array([ 1.46803    ,  0.279431   ,  4.30939    ,  0.196916   ,  0.161138   ])
89780   , -2879.64    , array([ 1.46803    ,  0.279825   ,  4.30939    ,  0.196916   ,  0.161138   ])
89781   , -3075.8     , array([ 1.46803    ,  0.279825   ,  5.30939    ,  0.196916   ,  0.161138   ])
89782   , -3469.22    , array([ 1.46803    ,  0.279825   ,  2.69136    ,  0.196916   ,  0.161138   ])
89783   , -2879.64    , array([ 1.46803    ,  0.279825   ,  4.30939    ,  0.196916   ,  0.161138   ])
89784   , -2948.56    , array([ 1.46803    ,  0.279825   ,  3.69136    ,  0.196916   ,  0.161138   ])
89785   , -2914.3     , array([ 1.46803    ,  0.279825   ,  4.69136    ,  0.196916   ,  0.161138   ])
89786   , -2879.24    , array([ 1.46803    ,  0.279825   ,  4.27604    ,  0.196916   ,  0.161138   ])
89787   , -2879.2     , array([ 1.46803    ,  0.279825   ,  4.26122    ,  0.196916   ,  0.161138   ])
89788   , -2879.2     , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.196916   ,  0.161138   ])
89789   , -2879.2     , array([ 1.46803    ,  0.279825   ,  4.26307    ,  0.196916   ,  0.161138   ])
89790   , -2879.2     , array([ 1.46803    ,  0.279825   ,  4.26214    ,  0.196916   ,  0.161138   ])
89791   , -2879.2     , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.196916   ,  0.161138   ])
89792   , -3041.09    , array([ 1.46803    ,  0.279825   ,  4.2626     ,  1.19692    ,  0.161138   ])
