167278  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167279  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167280  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167281  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167282  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167283  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167284  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167285  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167286  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167287  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167288  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167289  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167290  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167291  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167292  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167293  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167294  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167295  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167296  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167297  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167298  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167299  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167300  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
