301338  , -7907.15    , array([ 0.799132   ,  0.00113769 ,  0.000124278,  0.000706908,  0.000215577])
301339  , -7907.15    , array([ 0.799132   ,  0.00113769 ,  0.000124154,  0.000707616,  0.000215577])
301340  , -7890.61    , array([ 0.799132   ,  0.00113769 ,  0.000124154,  0.000706908,  0.000215793])
301341  , -7898.74    , array([ 0.799119   ,  0.00113741 ,  0.000124154,  0.000706908,  0.000215634])
301342  , -7898.74    , array([ 0.799119   ,  0.00113741 ,  0.000124154,  0.000706908,  0.000215634])
301343  , -7898.76    , array([ 0.799919   ,  0.00113741 ,  0.000124154,  0.000706908,  0.000215634])
301344  , -7915.27    , array([ 0.799119   ,  0.00113854 ,  0.000124154,  0.000706908,  0.000215634])
301345  , -7898.74    , array([ 0.799119   ,  0.00113741 ,  0.000124278,  0.000706908,  0.000215634])
301346  , -7898.74    , array([ 0.799119   ,  0.00113741 ,  0.000124154,  0.000707616,  0.000215634])
301347  , -7882.21    , array([ 0.799119   ,  0.00113741 ,  0.000124154,  0.000706908,  0.00021585 ])
301348  , -4712.9     , array([ 0.793312   ,  0.00101706 ,  0.000124154,  0.000706908,  0.000242983])
301349  , -4712.9     , array([ 0.793312   ,  0.00101706 ,  0.000124154,  0.000706908,  0.000242983])
301350  , -4712.91    , array([ 0.794106   ,  0.00101706 ,  0.000124154,  0.000706908,  0.000242983])
301351  , -4723.74    , array([ 0.793312   ,  0.00101808 ,  0.000124154,  0.000706908,  0.000242983])
301352  , -4712.9     , array([ 0.793312   ,  0.00101706 ,  0.000124278,  0.000706908,  0.000242983])
301353  , -4712.9     , array([ 0.793312   ,  0.00101706 ,  0.000124154,  0.000707616,  0.000242983])
301354  , -4702.06    , array([ 0.793312   ,  0.00101706 ,  0.000124154,  0.000706908,  0.000243226])
301362  , -4712.89    , array([ 0.793312   ,  0.00101706 ,  0.000124154,  0.000706908,  0.000242983])
301363  , -4712.89    , array([ 0.793312   ,  0.00101706 ,  0.000124154,  0.000706908,  0.000242983])
301364  , -4712.9     , array([ 0.794106   ,  0.00101706 ,  0.000124154,  0.000706908,  0.000242983])
301365  , -4723.73    , array([ 0.793312   ,  0.00101808 ,  0.000124154,  0.000706908,  0.000242983])
301366  , -4712.89    , array([ 0.793312   ,  0.00101706 ,  0.000124278,  0.000706908,  0.000242983])
301367  , -4712.89    , array([ 0.793312   ,  0.00101706 ,  0.000124154,  0.000707616,  0.000242983])
301368  , -4702.05    , array([ 0.793312   ,  0.00101706 ,  0.000124154,  0.000706908,  0.000243226])
301369  , -4712.6     , array([ 0.793312   ,  0.00101705 ,  0.000124154,  0.000706908,  0.000242986])
301370  , -4712.6     , array([ 0.793312   ,  0.00101705 ,  0.000124154,  0.000706908,  0.000242986])
301371  , -4712.61    , array([ 0.794105   ,  0.00101705 ,  0.000124154,  0.000706908,  0.000242986])
301372  , -4723.44    , array([ 0.793312   ,  0.00101807 ,  0.000124154,  0.000706908,  0.000242986])
301373  , -4712.6     , array([ 0.793312   ,  0.00101705 ,  0.000124278,  0.000706908,  0.000242986])
301374  , -4712.6     , array([ 0.793312   ,  0.00101705 ,  0.000124154,  0.000707616,  0.000242986])
301375  , -4701.76    , array([ 0.793312   ,  0.00101705 ,  0.000124154,  0.000706908,  0.000243229])
301383  , -4712.6     , array([ 0.793312   ,  0.00101705 ,  0.000124154,  0.000706908,  0.000242986])
301384  , -4712.6     , array([ 0.793312   ,  0.00101705 ,  0.000124154,  0.000706908,  0.000242986])
301385  , -4712.61    , array([ 0.794105   ,  0.00101705 ,  0.000124154,  0.000706908,  0.000242986])
301386  , -4723.44    , array([ 0.793312   ,  0.00101807 ,  0.000124154,  0.000706908,  0.000242986])
301387  , -4712.6     , array([ 0.793312   ,  0.00101705 ,  0.000124278,  0.000706908,  0.000242986])
301388  , -4712.6     , array([ 0.793312   ,  0.00101705 ,  0.000124154,  0.000707616,  0.000242986])
301389  , -4701.76    , array([ 0.793312   ,  0.00101705 ,  0.000124154,  0.000706908,  0.000243229])
301390  , -4712.53    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301391  , -4712.53    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301392  , -4712.54    , array([ 0.794105   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301393  , -4723.37    , array([ 0.793311   ,  0.00101806 ,  0.000124154,  0.000706908,  0.000242987])
301394  , -4712.53    , array([ 0.793311   ,  0.00101704 ,  0.000124278,  0.000706908,  0.000242987])
301395  , -4712.53    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000707616,  0.000242987])
301396  , -4701.69    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.00024323 ])
301404  , -4712.53    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301405  , -4712.53    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301406  , -4712.54    , array([ 0.794105   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301407  , -4723.37    , array([ 0.793311   ,  0.00101806 ,  0.000124154,  0.000706908,  0.000242987])
301408  , -4712.53    , array([ 0.793311   ,  0.00101704 ,  0.000124278,  0.000706908,  0.000242987])
301409  , -4712.53    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000707616,  0.000242987])
301410  , -4701.69    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.00024323 ])
301411  , -4712.51    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301412  , -4712.51    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301413  , -4712.52    , array([ 0.794105   ,  0.00101704 ,  0.000124154,  0.000706908,  0.000242987])
301414  , -4723.35    , array([ 0.793311   ,  0.00101806 ,  0.000124154,  0.000706908,  0.000242987])
301415  , -4712.51    , array([ 0.793311   ,  0.00101704 ,  0.000124278,  0.000706908,  0.000242987])
301416  , -4712.51    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000707616,  0.000242987])
301417  , -4701.67    , array([ 0.793311   ,  0.00101704 ,  0.000124154,  0.000706908,  0.00024323 ])
301418  , -4510.69    , array([ 0.792834   ,  0.00100771 ,  0.000124154,  0.000706908,  0.000245392])
301419  , -4510.69    , array([ 0.792834   ,  0.00100771 ,  0.000124154,  0.000706908,  0.000245392])
301420  , -4510.71    , array([ 0.793628   ,  0.00100771 ,  0.000124154,  0.000706908,  0.000245392])
301421  , -4521.02    , array([ 0.792834   ,  0.00100871 ,  0.000124154,  0.000706908,  0.000245392])
301422  , -4510.69    , array([ 0.792834   ,  0.00100771 ,  0.000124278,  0.000706908,  0.000245392])
301423  , -4510.69    , array([ 0.792834   ,  0.00100771 ,  0.000124154,  0.000707616,  0.000245392])
301424  , -4500.37    , array([ 0.792834   ,  0.00100771 ,  0.000124154,  0.000706908,  0.000245637])
301425  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301426  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301427  , -4382.93    , array([ 0.793312   ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301428  , -4392.89    , array([ 0.79252    ,  0.00100259 ,  0.000124154,  0.000706908,  0.000246992])
301429  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124278,  0.000706908,  0.000246992])
301430  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000707616,  0.000246992])
301431  , -4372.94    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000247239])
301435  , -4350.32    , array([ 0.792413   ,  0.00100052 ,  0.000124154,  0.000706908,  0.000247538])
301439  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301440  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301441  , -4382.93    , array([ 0.793312   ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301442  , -4392.89    , array([ 0.79252    ,  0.00100259 ,  0.000124154,  0.000706908,  0.000246992])
301443  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124278,  0.000706908,  0.000246992])
301444  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000707616,  0.000246992])
301445  , -4372.94    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000247239])
301446  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301447  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301448  , -4382.92    , array([ 0.793312   ,  0.00100159 ,  0.000124154,  0.000706908,  0.000246992])
301449  , -4392.89    , array([ 0.79252    ,  0.00100259 ,  0.000124154,  0.000706908,  0.000246992])
301450  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124278,  0.000706908,  0.000246992])
301451  , -4382.91    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000707616,  0.000246992])
301452  , -4372.93    , array([ 0.79252    ,  0.00100159 ,  0.000124154,  0.000706908,  0.000247239])
301453  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301454  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301455  , -4361.63    , array([ 0.793259   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301456  , -4371.54    , array([ 0.792466   ,  0.00100156 ,  0.000124154,  0.000706908,  0.000247265])
301457  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124278,  0.000706908,  0.000247265])
301458  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000707616,  0.000247265])
301459  , -4351.7     , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247512])
301463  , -4357.52    , array([ 0.792431   ,  0.00100087 ,  0.000124154,  0.000706908,  0.000247445])
301467  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301468  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301469  , -4361.63    , array([ 0.793259   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301470  , -4371.54    , array([ 0.792466   ,  0.00100156 ,  0.000124154,  0.000706908,  0.000247265])
301471  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124278,  0.000706908,  0.000247265])
301472  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000707616,  0.000247265])
301473  , -4351.7     , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247512])
301474  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301475  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301476  , -4361.63    , array([ 0.793259   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247265])
301477  , -4371.54    , array([ 0.792466   ,  0.00100156 ,  0.000124154,  0.000706908,  0.000247265])
301478  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124278,  0.000706908,  0.000247265])
301479  , -4361.62    , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000707616,  0.000247265])
301480  , -4351.7     , array([ 0.792466   ,  0.00100055 ,  0.000124154,  0.000706908,  0.000247512])
301481  , -4354.62    , array([ 0.792448   ,  0.00100021 ,  0.000124154,  0.000706908,  0.000247355])
301482  , -4354.62    , array([ 0.792448   ,  0.00100021 ,  0.000124154,  0.000706908,  0.000247355])
301483  , -4354.64    , array([ 0.793241   ,  0.00100021 ,  0.000124154,  0.000706908,  0.000247355])
301484  , -4364.52    , array([ 0.792448   ,  0.00100121 ,  0.000124154,  0.000706908,  0.000247355])
301485  , -4354.62    , array([ 0.792448   ,  0.00100021 ,  0.000124278,  0.000706908,  0.000247355])
301486  , -4354.62    , array([ 0.792448   ,  0.00100021 ,  0.000124154,  0.000707616,  0.000247355])
301487  , -4344.72    , array([ 0.792448   ,  0.00100021 ,  0.000124154,  0.000706908,  0.000247603])
301491  , -4359.9     , array([ 0.792437   ,  0.00100099 ,  0.000124154,  0.000706908,  0.000247415])
301495  , -4354.62    , array([ 0.792448   ,  0.00100021 ,  0.000124154,  0.000706908,  0.000247355])
301496  , -4354.62    , array([ 0.792448   ,  0.00100021 ,  0.000124154,  0.000706908,  0.000247355])
301497  , -4354.64    , array([ 0.793241   ,  0.00100021 ,  0.000124154,  0.000706908,  0.000247355])
301498  , -4364.52    , array([ 0.792448   ,  0.00100121 ,  0.000124154,  0.000706908,  0.000247355])
301499  , -4354.62    , array([ 0.792448   ,  0.00100021 ,  0.000124278,  0.000706908,  0.000247355])
301500  , -4354.62    , array([ 0.792448   ,  0.00100021 ,  0.000124154,  0.000707616,  0.000247355])
301501  , -4344.72    , array([ 0.792448   ,  0.00100021 ,  0.000124154,  0.000706908,  0.000247603])
301502  , -4351.58    , array([ 0.792441   ,  0.00100006 ,  0.000124154,  0.000706908,  0.000247395])
301503  , -4351.58    , array([ 0.792441   ,  0.00100006 ,  0.000124154,  0.000706908,  0.000247395])
301504  , -4351.59    , array([ 0.793234   ,  0.00100006 ,  0.000124154,  0.000706908,  0.000247395])
301505  , -4361.47    , array([ 0.792441   ,  0.00100106 ,  0.000124154,  0.000706908,  0.000247395])
301506  , -4351.58    , array([ 0.792441   ,  0.00100006 ,  0.000124278,  0.000706908,  0.000247395])
301507  , -4351.58    , array([ 0.792441   ,  0.00100006 ,  0.000124154,  0.000707616,  0.000247395])
301508  , -4341.69    , array([ 0.792441   ,  0.00100006 ,  0.000124154,  0.000706908,  0.000247642])
301509  , -4350.55    , array([ 0.792438   ,  0.00100001 ,  0.000124154,  0.000706908,  0.000247408])
301510  , -4350.55    , array([ 0.792438   ,  0.00100001 ,  0.000124154,  0.000706908,  0.000247408])
301511  , -4350.56    , array([ 0.793231   ,  0.00100001 ,  0.000124154,  0.000706908,  0.000247408])
301512  , -4360.43    , array([ 0.792438   ,  0.00100101 ,  0.000124154,  0.000706908,  0.000247408])
301513  , -4350.55    , array([ 0.792438   ,  0.00100001 ,  0.000124278,  0.000706908,  0.000247408])
301514  , -4350.55    , array([ 0.792438   ,  0.00100001 ,  0.000124154,  0.000707616,  0.000247408])
301515  , -4340.66    , array([ 0.792438   ,  0.00100001 ,  0.000124154,  0.000706908,  0.000247655])
301519  , -4360.08    , array([ 0.792437   ,  0.001001   ,  0.000124154,  0.000706908,  0.000247412])
301523  , -4350.55    , array([ 0.792438   ,  0.00100001 ,  0.000124154,  0.000706908,  0.000247408])
301524  , -4350.55    , array([ 0.792438   ,  0.00100001 ,  0.000124154,  0.000706908,  0.000247408])
301525  , -4350.56    , array([ 0.793231   ,  0.00100001 ,  0.000124154,  0.000706908,  0.000247408])
301526  , -4360.43    , array([ 0.792438   ,  0.00100101 ,  0.000124154,  0.000706908,  0.000247408])
301527  , -4350.55    , array([ 0.792438   ,  0.00100001 ,  0.000124278,  0.000706908,  0.000247408])
301528  , -4350.55    , array([ 0.792438   ,  0.00100001 ,  0.000124154,  0.000707616,  0.000247408])
301529  , -4340.66    , array([ 0.792438   ,  0.00100001 ,  0.000124154,  0.000706908,  0.000247655])
301530  , -4350.31    , array([ 0.792438   ,  0.001      ,  0.000124154,  0.000706908,  0.000247411])
301531  , -4350.31    , array([ 0.792438   ,  0.001      ,  0.000124154,  0.000706908,  0.000247411])
301532  , -4350.32    , array([ 0.79323    ,  0.001      ,  0.000124154,  0.000706908,  0.000247411])
301533  , -4360.2     , array([ 0.792438   ,  0.001001   ,  0.000124154,  0.000706908,  0.000247411])
301534  , -4350.31    , array([ 0.792438   ,  0.001      ,  0.000124278,  0.000706908,  0.000247411])
301535  , -4350.31    , array([ 0.792438   ,  0.001      ,  0.000124154,  0.000707616,  0.000247411])
