31894   , -1878.66    , array([ 0.0237187  ,  0.00128177 ,  8.01571e-45,  5.46257e-05])
31895   , -1878.88    , array([ 0.023695   ,  0.00128306 ,  8.01571e-45,  5.46257e-05])
31896   , -1878.66    , array([ 0.023695   ,  0.00128177 ,  8.02373e-45,  5.46257e-05])
31897   , -1878.45    , array([ 0.023695   ,  0.00128177 ,  8.01571e-45,  5.46804e-05])
31898   , -1856.09    , array([ 0.023695   ,  0.00113073 ,  8.01571e-45,  5.38251e-05])
31899   , -1856.09    , array([ 0.023695   ,  0.00113073 ,  8.01571e-45,  5.38251e-05])
31900   , -1856.09    , array([ 0.0237187  ,  0.00113073 ,  8.01571e-45,  5.38251e-05])
31901   , -1856.29    , array([ 0.023695   ,  0.00113186 ,  8.01571e-45,  5.38251e-05])
31902   , -1856.09    , array([ 0.023695   ,  0.00113073 ,  8.02373e-45,  5.38251e-05])
31903   , -1855.9     , array([ 0.023695   ,  0.00113073 ,  8.01571e-45,  5.3879e-05 ])
31904   , -1845.65    , array([ 0.023695   ,  0.00106202 ,  8.01571e-45,  5.34292e-05])
31905   , -1845.65    , array([ 0.023695   ,  0.00106202 ,  8.01571e-45,  5.34292e-05])
31906   , -1845.65    , array([ 0.0237187  ,  0.00106202 ,  8.01571e-45,  5.34292e-05])
31907   , -1845.83    , array([ 0.023695   ,  0.00106308 ,  8.01571e-45,  5.34292e-05])
31908   , -1845.65    , array([ 0.023695   ,  0.00106202 ,  8.02373e-45,  5.34292e-05])
31909   , -1845.47    , array([ 0.023695   ,  0.00106202 ,  8.01571e-45,  5.34827e-05])
31910   , -1840.68    , array([ 0.023695   ,  0.00102924 ,  8.01571e-45,  5.32324e-05])
31911   , -1840.68    , array([ 0.023695   ,  0.00102924 ,  8.01571e-45,  5.32324e-05])
31912   , -1840.68    , array([ 0.0237187  ,  0.00102924 ,  8.01571e-45,  5.32324e-05])
31913   , -1840.86    , array([ 0.023695   ,  0.00103027 ,  8.01571e-45,  5.32324e-05])
31914   , -1840.68    , array([ 0.023695   ,  0.00102924 ,  8.02373e-45,  5.32324e-05])
31915   , -1840.51    , array([ 0.023695   ,  0.00102924 ,  8.01571e-45,  5.32856e-05])
31916   , -1838.27    , array([ 0.023695   ,  0.00101324 ,  8.01571e-45,  5.31342e-05])
31917   , -1838.27    , array([ 0.023695   ,  0.00101324 ,  8.01571e-45,  5.31342e-05])
31918   , -1838.27    , array([ 0.0237187  ,  0.00101324 ,  8.01571e-45,  5.31342e-05])
31919   , -1838.45    , array([ 0.023695   ,  0.00101425 ,  8.01571e-45,  5.31342e-05])
31920   , -1838.27    , array([ 0.023695   ,  0.00101324 ,  8.02373e-45,  5.31342e-05])
31921   , -1838.1     , array([ 0.023695   ,  0.00101324 ,  8.01571e-45,  5.31874e-05])
31922   , -1837.08    , array([ 0.023695   ,  0.00100533 ,  8.01571e-45,  5.30852e-05])
31923   , -1837.08    , array([ 0.023695   ,  0.00100533 ,  8.01571e-45,  5.30852e-05])
31924   , -1837.08    , array([ 0.0237187  ,  0.00100533 ,  8.01571e-45,  5.30852e-05])
31925   , -1837.26    , array([ 0.023695   ,  0.00100633 ,  8.01571e-45,  5.30852e-05])
31926   , -1837.08    , array([ 0.023695   ,  0.00100533 ,  8.02373e-45,  5.30852e-05])
31927   , -1836.91    , array([ 0.023695   ,  0.00100533 ,  8.01571e-45,  5.31383e-05])
31928   , -1836.5     , array([ 0.023695   ,  0.0010014  ,  8.01571e-45,  5.30607e-05])
31929   , -1836.5     , array([ 0.023695   ,  0.0010014  ,  8.01571e-45,  5.30607e-05])
31930   , -1836.5     , array([ 0.0237187  ,  0.0010014  ,  8.01571e-45,  5.30607e-05])
31931   , -1836.67    , array([ 0.023695   ,  0.0010024  ,  8.01571e-45,  5.30607e-05])
31932   , -1836.5     , array([ 0.023695   ,  0.0010014  ,  8.02373e-45,  5.30607e-05])
31933   , -1836.33    , array([ 0.023695   ,  0.0010014  ,  8.01571e-45,  5.31138e-05])
