142829  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142830  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142831  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142832  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142833  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142834  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142835  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142836  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142837  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142838  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142839  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142840  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142841  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142842  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142843  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142844  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142845  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142846  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142847  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142848  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142849  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142850  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142851  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142852  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142853  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142854  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142855  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142856  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142857  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142858  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142859  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142860  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142861  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142862  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142863  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142864  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142865  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142866  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142867  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142868  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142869  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142870  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142871  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142872  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142873  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142874  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142875  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142876  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142877  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142878  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142879  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142880  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142881  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142882  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142883  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142884  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142885  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142886  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142887  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142888  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142889  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142890  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142891  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142892  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142893  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142894  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142895  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142896  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142897  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142898  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
