117585  , -1650.64    , array([ 1.24079    ,  0.0757     ,  2.4955e-48 ,  6.21173e-09,  0.0268278  ])
117586  , -1650.64    , array([ 1.24079    ,  0.0757     ,  2.4955e-48 ,  6.21173e-09,  0.0268278  ])
117587  , -1650.49    , array([ 1.24203    ,  0.0757     ,  2.4955e-48 ,  6.21173e-09,  0.0268278  ])
117588  , -1650.95    , array([ 1.24079    ,  0.0757758  ,  2.4955e-48 ,  6.21173e-09,  0.0268278  ])
117589  , -1650.64    , array([ 1.24079    ,  0.0757     ,  2.49799e-48,  6.21173e-09,  0.0268278  ])
117590  , -1650.64    , array([ 1.24079    ,  0.0757     ,  2.4955e-48 ,  6.21795e-09,  0.0268278  ])
117591  , -1650.53    , array([ 1.24079    ,  0.0757     ,  2.4955e-48 ,  6.21173e-09,  0.0268547  ])
117592  , -1636.01    , array([ 1.30897    ,  0.0690593  ,  2.4955e-48 ,  6.21172e-09,  0.0245228  ])
117593  , -1636.01    , array([ 1.30897    ,  0.0690593  ,  2.4955e-48 ,  6.21172e-09,  0.0245228  ])
117594  , -1635.95    , array([ 1.31028    ,  0.0690593  ,  2.4955e-48 ,  6.21172e-09,  0.0245228  ])
117595  , -1636.24    , array([ 1.30897    ,  0.0691284  ,  2.4955e-48 ,  6.21172e-09,  0.0245228  ])
117596  , -1636.01    , array([ 1.30897    ,  0.0690593  ,  2.49799e-48,  6.21172e-09,  0.0245228  ])
117597  , -1636.01    , array([ 1.30897    ,  0.0690593  ,  2.4955e-48 ,  6.21794e-09,  0.0245228  ])
117598  , -1635.83    , array([ 1.30897    ,  0.0690593  ,  2.4955e-48 ,  6.21172e-09,  0.0245474  ])
117599  , -1633.85    , array([ 1.35802    ,  0.0668031  ,  2.4955e-48 ,  6.21173e-09,  0.0238604  ])
117600  , -1633.85    , array([ 1.35802    ,  0.0668031  ,  2.4955e-48 ,  6.21173e-09,  0.0238604  ])
117601  , -1633.82    , array([ 1.35938    ,  0.0668031  ,  2.4955e-48 ,  6.21173e-09,  0.0238604  ])
117602  , -1633.9     , array([ 1.35802    ,  0.0668699  ,  2.4955e-48 ,  6.21173e-09,  0.0238604  ])
117603  , -1633.85    , array([ 1.35802    ,  0.0668031  ,  2.49799e-48,  6.21173e-09,  0.0238604  ])
117604  , -1633.85    , array([ 1.35802    ,  0.0668031  ,  2.4955e-48 ,  6.21795e-09,  0.0238604  ])
117605  , -1633.8     , array([ 1.35802    ,  0.0668031  ,  2.4955e-48 ,  6.21173e-09,  0.0238842  ])
117606  , -1633.36    , array([ 1.3915     ,  0.0665736  ,  2.4955e-48 ,  6.21174e-09,  0.0238359  ])
117607  , -1633.36    , array([ 1.3915     ,  0.0665736  ,  2.4955e-48 ,  6.21174e-09,  0.0238359  ])
117608  , -1633.34    , array([ 1.39289    ,  0.0665736  ,  2.4955e-48 ,  6.21174e-09,  0.0238359  ])
117609  , -1633.34    , array([ 1.3915     ,  0.0666402  ,  2.4955e-48 ,  6.21174e-09,  0.0238359  ])
117610  , -1633.36    , array([ 1.3915     ,  0.0665736  ,  2.49799e-48,  6.21174e-09,  0.0238359  ])
117611  , -1633.36    , array([ 1.3915     ,  0.0665736  ,  2.4955e-48 ,  6.21795e-09,  0.0238359  ])
117612  , -1633.36    , array([ 1.3915     ,  0.0665736  ,  2.4955e-48 ,  6.21174e-09,  0.0238597  ])
117613  , -1632.9     , array([ 1.42192    ,  0.0669912  ,  2.4955e-48 ,  6.21174e-09,  0.0240063  ])
117614  , -1632.9     , array([ 1.42192    ,  0.0669912  ,  2.4955e-48 ,  6.21174e-09,  0.0240063  ])
117615  , -1632.89    , array([ 1.42334    ,  0.0669912  ,  2.4955e-48 ,  6.21174e-09,  0.0240063  ])
117616  , -1632.87    , array([ 1.42192    ,  0.0670582  ,  2.4955e-48 ,  6.21174e-09,  0.0240063  ])
117617  , -1632.9     , array([ 1.42192    ,  0.0669912  ,  2.49799e-48,  6.21174e-09,  0.0240063  ])
117618  , -1632.9     , array([ 1.42192    ,  0.0669912  ,  2.4955e-48 ,  6.21796e-09,  0.0240063  ])
117619  , -1632.92    , array([ 1.42192    ,  0.0669912  ,  2.4955e-48 ,  6.21174e-09,  0.0240303  ])
117620  , -1632.61    , array([ 1.43675    ,  0.0674917  ,  2.4955e-48 ,  6.21174e-09,  0.0241787  ])
117621  , -1632.61    , array([ 1.43675    ,  0.0674917  ,  2.4955e-48 ,  6.21174e-09,  0.0241787  ])
117622  , -1632.61    , array([ 1.43819    ,  0.0674917  ,  2.4955e-48 ,  6.21174e-09,  0.0241787  ])
117623  , -1632.59    , array([ 1.43675    ,  0.0675592  ,  2.4955e-48 ,  6.21174e-09,  0.0241787  ])
117624  , -1632.61    , array([ 1.43675    ,  0.0674917  ,  2.49799e-48,  6.21174e-09,  0.0241787  ])
117625  , -1632.61    , array([ 1.43675    ,  0.0674917  ,  2.4955e-48 ,  6.21796e-09,  0.0241787  ])
117626  , -1632.62    , array([ 1.43675    ,  0.0674917  ,  2.4955e-48 ,  6.21174e-09,  0.0242029  ])
117627  , -1632.54    , array([ 1.43731    ,  0.067636   ,  2.4955e-48 ,  6.21175e-09,  0.0242228  ])
117628  , -1632.54    , array([ 1.43731    ,  0.067636   ,  2.4955e-48 ,  6.21175e-09,  0.0242228  ])
117629  , -1632.54    , array([ 1.43875    ,  0.067636   ,  2.4955e-48 ,  6.21175e-09,  0.0242228  ])
117630  , -1632.54    , array([ 1.43731    ,  0.0677037  ,  2.4955e-48 ,  6.21175e-09,  0.0242228  ])
117631  , -1632.54    , array([ 1.43731    ,  0.067636   ,  2.49799e-48,  6.21175e-09,  0.0242228  ])
117632  , -1632.54    , array([ 1.43731    ,  0.067636   ,  2.4955e-48 ,  6.21796e-09,  0.0242228  ])
