384     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
385     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
386     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
387     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
388     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
389     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
390     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
391     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
392     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
393     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
394     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
395     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
396     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
397     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
398     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
399     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
400     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
401     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
402     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
403     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
404     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
405     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
406     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
407     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
408     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
409     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
410     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
411     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
412     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
413     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
414     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
415     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
416     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
417     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
418     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
419     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
420     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
421     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
422     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
423     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
424     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
425     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
426     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
427     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
428     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
429     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
430     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
431     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
432     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
433     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
434     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
435     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
436     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
437     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
438     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
439     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
440     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
441     , -2336.8     , array([ 0.0546609  ,  0.0162925  ,  1.4515e-46 ,  4.00286e-10])
442     , -2336.8     , array([ 0.0546609  ,  0.0162925  ,  1.4515e-46 ,  4.00286e-10])
443     , -2336.8     , array([ 0.0547155  ,  0.0162925  ,  1.4515e-46 ,  4.00286e-10])
444     , -2336.8     , array([ 0.0546609  ,  0.0163088  ,  1.4515e-46 ,  4.00286e-10])
445     , -2336.8     , array([ 0.0546609  ,  0.0162925  ,  1.45296e-46,  4.00286e-10])
446     , -2336.8     , array([ 0.0546609  ,  0.0162925  ,  1.4515e-46 ,  4.00686e-10])
447     , -2336.8     , array([ 0.0546609  ,  0.0162848  ,  1.4515e-46 ,  4.00472e-10])
448     , -2336.8     , array([ 0.0546609  ,  0.0162848  ,  1.4515e-46 ,  4.00472e-10])
449     , -2336.8     , array([ 0.0547155  ,  0.0162848  ,  1.4515e-46 ,  4.00472e-10])
450     , -2336.8     , array([ 0.0546609  ,  0.0163011  ,  1.4515e-46 ,  4.00472e-10])
451     , -2336.8     , array([ 0.0546609  ,  0.0162848  ,  1.45296e-46,  4.00472e-10])
452     , -2336.8     , array([ 0.0546609  ,  0.0162848  ,  1.4515e-46 ,  4.00872e-10])
453     , -2336.8     , array([ 0.0546609  ,  0.0162695  ,  1.4515e-46 ,  4.00844e-10])
454     , -2336.8     , array([ 0.0546609  ,  0.0162695  ,  1.4515e-46 ,  4.00844e-10])
455     , -2336.8     , array([ 0.0547155  ,  0.0162695  ,  1.4515e-46 ,  4.00844e-10])
456     , -2336.8     , array([ 0.0546609  ,  0.0162858  ,  1.4515e-46 ,  4.00844e-10])
457     , -2336.8     , array([ 0.0546609  ,  0.0162695  ,  1.45296e-46,  4.00844e-10])
458     , -2336.8     , array([ 0.0546609  ,  0.0162695  ,  1.4515e-46 ,  4.01245e-10])
459     , -2336.8     , array([ 0.0546609  ,  0.0162388  ,  1.4515e-46 ,  4.01589e-10])
460     , -2336.8     , array([ 0.0546609  ,  0.0162388  ,  1.4515e-46 ,  4.01589e-10])
461     , -2336.8     , array([ 0.0547155  ,  0.0162388  ,  1.4515e-46 ,  4.01589e-10])
462     , -2336.8     , array([ 0.0546609  ,  0.0162551  ,  1.4515e-46 ,  4.01589e-10])
463     , -2336.8     , array([ 0.0546609  ,  0.0162388  ,  1.45296e-46,  4.01589e-10])
464     , -2336.8     , array([ 0.0546609  ,  0.0162388  ,  1.4515e-46 ,  4.0199e-10 ])
465     , -2336.8     , array([ 0.0546609  ,  0.0161777  ,  1.4515e-46 ,  4.03082e-10])
466     , -2336.8     , array([ 0.0546609  ,  0.0161777  ,  1.4515e-46 ,  4.03082e-10])
467     , -2336.8     , array([ 0.0547155  ,  0.0161777  ,  1.4515e-46 ,  4.03082e-10])
