86829   , -69000.2    , array([ 0.960411   ,  18.1674    ,  3.29559e-19,  7.83625    ,  0.015574   ])
86830   , -68991.7    , array([ 0.960411   ,  18.1674    ,  3.29559e-19,  7.82842    ,  0.0155896  ])
86838   , -68998.7    , array([ 0.960411   ,  18.1674    ,  3.29559e-19,  7.82842    ,  0.015574   ])
86839   , -68998.7    , array([ 0.960411   ,  18.1674    ,  3.29559e-19,  7.82842    ,  0.015574   ])
86840   , -69006.5    , array([ 0.961372   ,  18.1674    ,  3.29559e-19,  7.82842    ,  0.015574   ])
86841   , -68999.4    , array([ 0.960411   ,  18.1856    ,  3.29559e-19,  7.82842    ,  0.015574   ])
86842   , -68998.7    , array([ 0.960411   ,  18.1674    ,  3.29889e-19,  7.82842    ,  0.015574   ])
86843   , -69000.2    , array([ 0.960411   ,  18.1674    ,  3.29559e-19,  7.83625    ,  0.015574   ])
86844   , -68991.7    , array([ 0.960411   ,  18.1674    ,  3.29559e-19,  7.82842    ,  0.0155896  ])
86845   , -68998.7    , array([ 0.96041    ,  18.1674    ,  3.29559e-19,  7.82843    ,  0.015574   ])
86846   , -68998.7    , array([ 0.96041    ,  18.1674    ,  3.29559e-19,  7.82843    ,  0.015574   ])
86847   , -69006.5    , array([ 0.961371   ,  18.1674    ,  3.29559e-19,  7.82843    ,  0.015574   ])
86848   , -68999.4    , array([ 0.96041    ,  18.1856    ,  3.29559e-19,  7.82843    ,  0.015574   ])
86849   , -68998.7    , array([ 0.96041    ,  18.1674    ,  3.29889e-19,  7.82843    ,  0.015574   ])
86850   , -69000.2    , array([ 0.96041    ,  18.1674    ,  3.29559e-19,  7.83627    ,  0.015574   ])
86851   , -68991.7    , array([ 0.96041    ,  18.1674    ,  3.29559e-19,  7.82843    ,  0.0155896  ])
86852   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86853   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86854   , -68803.2    , array([ 0.816648   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86855   , -68796.3    , array([ 0.815832   ,  14.2818    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86856   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29889e-19,  9.20288    ,  0.0135298  ])
86857   , -68797      , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.21209    ,  0.0135298  ])
86858   , -68788.3    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135434  ])
86866   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
