57150   , -2524.52    , array([ 1.63515    ,  0.245775   ,  1.93902    ,  3.0552     ,  4.99896    ])
57151   , -3692.78    , array([ 1.63515    ,  0.245775   ,  2.93902    ,  3.0552     ,  4.99896    ])
57152   , -5531.59    , array([ 1.63515    ,  0.245775   ,  0.320986   ,  3.0552     ,  4.99896    ])
57153   , -2524.52    , array([ 1.63515    ,  0.245775   ,  1.93902    ,  3.0552     ,  4.99896    ])
57154   , -2565.23    , array([ 1.63515    ,  0.245775   ,  1.32099    ,  3.0552     ,  4.99896    ])
57155   , -2840.11    , array([ 1.63515    ,  0.245775   ,  2.32099    ,  3.0552     ,  4.99896    ])
57156   , -2443.64    , array([ 1.63515    ,  0.245775   ,  1.66692    ,  3.0552     ,  4.99896    ])
57157   , -2443.47    , array([ 1.63515    ,  0.245775   ,  1.66138    ,  3.0552     ,  4.99896    ])
57158   , -2443.33    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.0552     ,  4.99896    ])
57159   , -2443.33    , array([ 1.63515    ,  0.245775   ,  1.65116    ,  3.0552     ,  4.99896    ])
57160   , -2443.34    , array([ 1.63515    ,  0.245775   ,  1.64534    ,  3.0552     ,  4.99896    ])
57161   , -2443.33    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.0552     ,  4.99896    ])
57162   , -2770.78    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  4.0552     ,  4.99896    ])
57163   , -7289.33    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  1.43717    ,  4.99896    ])
57164   , -2443.33    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.0552     ,  4.99896    ])
57165   , -3064.38    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  2.43717    ,  4.99896    ])
57166   , -2428.79    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.43717    ,  4.99896    ])
57167   , -2408.77    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99896    ])
57168   , -2408.79    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.27206    ,  4.99896    ])
