48486   , -6242.16    , array([ 1.37971    ,  0.103822   ,  2.32699    ,  4.06561    ,  4.99896    ])
48487   , -2874.26    , array([ 1.37971    ,  0.23445    ,  2.32699    ,  4.06561    ,  4.99896    ])
48488   , -2407.05    , array([ 1.37971    ,  0.199757   ,  2.32699    ,  4.06561    ,  4.99896    ])
48489   , -2375.97    , array([ 1.37971    ,  0.186979   ,  2.32699    ,  4.06561    ,  4.99896    ])
48490   , -2374.54    , array([ 1.37971    ,  0.189086   ,  2.32699    ,  4.06561    ,  4.99896    ])
48491   , -2374.54    , array([ 1.37971    ,  0.189162   ,  2.32699    ,  4.06561    ,  4.99896    ])
48492   , -2374.54    , array([ 1.37971    ,  0.189211   ,  2.32699    ,  4.06561    ,  4.99896    ])
48493   , -2374.54    , array([ 1.37971    ,  0.189162   ,  2.32699    ,  4.06561    ,  4.99896    ])
48494   , -3246.66    , array([ 1.37971    ,  0.189162   ,  3.32699    ,  4.06561    ,  4.99896    ])
48495   , -3741.6     , array([ 1.37971    ,  0.189162   ,  0.708953   ,  4.06561    ,  4.99896    ])
48496   , -2374.54    , array([ 1.37971    ,  0.189162   ,  2.32699    ,  4.06561    ,  4.99896    ])
48497   , -2348.21    , array([ 1.37971    ,  0.189162   ,  1.70895    ,  4.06561    ,  4.99896    ])
48498   , -2616.8     , array([ 1.37971    ,  0.189162   ,  1.32699    ,  4.06561    ,  4.99896    ])
48499   , -2297.63    , array([ 1.37971    ,  0.189162   ,  1.98941    ,  4.06561    ,  4.99896    ])
48500   , -2297.58    , array([ 1.37971    ,  0.189162   ,  1.98572    ,  4.06561    ,  4.99896    ])
48501   , -2297.54    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.06561    ,  4.99896    ])
48502   , -2297.54    , array([ 1.37971    ,  0.189162   ,  1.97449    ,  4.06561    ,  4.99896    ])
48503   , -2297.55    , array([ 1.37971    ,  0.189162   ,  1.98147    ,  4.06561    ,  4.99896    ])
48504   , -2297.54    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.06561    ,  4.99896    ])
48505   , -2494.28    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  5.06561    ,  4.99896    ])
48506   , -4682.97    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  2.44757    ,  4.99896    ])
48507   , -2297.54    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.06561    ,  4.99896    ])
48508   , -2647.15    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  3.44757    ,  4.99896    ])
48509   , -2286.02    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.44757    ,  4.99896    ])
48510   , -2275.41    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28474    ,  4.99896    ])
48511   , -2275.42    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.29126    ,  4.99896    ])
48512   , -2275.42    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28255    ,  4.99896    ])
48513   , -2275.41    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99896    ])
48514   , -2275.41    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99896    ])
48516   , -2330.35    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  3.38093    ])
48517   , -2275.41    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99896    ])
48518   , -2287.93    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.38093    ])
48520   , -2280.85    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.68995    ])
48522   , -2277.33    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.88093    ])
48524   , -2276.12    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.95388    ])
48526   , -2275.68    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.98174    ])
48528   , -2275.51    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99239    ])
48530   , -2275.45    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99645    ])
48532   , -2275.42    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.998      ])
48533   , -2275.4     , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99942    ])
48534   , -2275.4     , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.9997     ])
48535   , -2275.4     , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99987    ])
48536   , -2275.39    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99998    ])
48538   , -2275.39    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99994    ])
48540   , -2275.39    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99996    ])
48541   , -2275.39    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
