310306  , -2567.23    , array([ 8.21367    ,  0.00589777 ,  4.93101e-28,  1.38114    ,  0.00194391 ])
310307  , -2565.59    , array([ 8.21367    ,  0.00589188 ,  4.93594e-28,  1.38114    ,  0.00194391 ])
310308  , -2565.58    , array([ 8.21367    ,  0.00589188 ,  4.93101e-28,  1.38252    ,  0.00194391 ])
310309  , -2563.82    , array([ 8.21367    ,  0.00589188 ,  4.93101e-28,  1.38114    ,  0.00194585 ])
310310  , -11198.8    , array([ 6.89598    ,  0.475401   ,  4.93101e-28,  1.71201    ,  0.165423   ])
310311  , -11198.8    , array([ 6.89598    ,  0.475401   ,  4.93101e-28,  1.71201    ,  0.165423   ])
310312  , -11201.2    , array([ 6.90288    ,  0.475401   ,  4.93101e-28,  1.71201    ,  0.165423   ])
310313  , -11210.6    , array([ 6.89598    ,  0.475877   ,  4.93101e-28,  1.71201    ,  0.165423   ])
310314  , -11198.8    , array([ 6.89598    ,  0.475401   ,  4.93594e-28,  1.71201    ,  0.165423   ])
310315  , -11202.2    , array([ 6.89598    ,  0.475401   ,  4.93101e-28,  1.71373    ,  0.165423   ])
310316  , -11199.2    , array([ 6.89598    ,  0.475401   ,  4.93101e-28,  1.71201    ,  0.165588   ])
310317  , -2240.04    , array([ 7.83207    ,  0.0194546  ,  4.93101e-28,  1.46424    ,  0.00651226 ])
310318  , -2240.04    , array([ 7.83207    ,  0.0194546  ,  4.93101e-28,  1.46424    ,  0.00651226 ])
310319  , -2240.07    , array([ 7.83991    ,  0.0194546  ,  4.93101e-28,  1.46424    ,  0.00651226 ])
310320  , -2241.98    , array([ 7.83207    ,  0.0194741  ,  4.93101e-28,  1.46424    ,  0.00651226 ])
310321  , -2240.04    , array([ 7.83207    ,  0.0194546  ,  4.93594e-28,  1.46424    ,  0.00651226 ])
310322  , -2240.05    , array([ 7.83207    ,  0.0194546  ,  4.93101e-28,  1.46571    ,  0.00651226 ])
310323  , -2237.81    , array([ 7.83207    ,  0.0194546  ,  4.93101e-28,  1.46424    ,  0.00651878 ])
310324  , -1988.25    , array([ 7.45611    ,  0.0669056  ,  4.93101e-28,  1.55544    ,  0.0227339  ])
310325  , -1988.25    , array([ 7.45611    ,  0.0669056  ,  4.93101e-28,  1.55544    ,  0.0227339  ])
310326  , -1988.35    , array([ 7.46357    ,  0.0669056  ,  4.93101e-28,  1.55544    ,  0.0227339  ])
310327  , -1991.72    , array([ 7.45611    ,  0.0669725  ,  4.93101e-28,  1.55544    ,  0.0227339  ])
310328  , -1988.25    , array([ 7.45611    ,  0.0669056  ,  4.93594e-28,  1.55544    ,  0.0227339  ])
310329  , -1988.39    , array([ 7.45611    ,  0.0669056  ,  4.93101e-28,  1.55699    ,  0.0227339  ])
310330  , -1985.12    , array([ 7.45611    ,  0.0669056  ,  4.93101e-28,  1.55544    ,  0.0227567  ])
310331  , -2025.14    , array([ 7.6387     ,  0.0364449  ,  4.93101e-28,  1.5099     ,  0.0122928  ])
310332  , -2025.14    , array([ 7.6387     ,  0.0364449  ,  4.93101e-28,  1.5099     ,  0.0122928  ])
310333  , -2025.19    , array([ 7.64634    ,  0.0364449  ,  4.93101e-28,  1.5099     ,  0.0122928  ])
310334  , -2027.64    , array([ 7.6387     ,  0.0364813  ,  4.93101e-28,  1.5099     ,  0.0122928  ])
310335  , -2025.14    , array([ 7.6387     ,  0.0364449  ,  4.93594e-28,  1.5099     ,  0.0122928  ])
310336  , -2025.18    , array([ 7.6387     ,  0.0364449  ,  4.93101e-28,  1.51141    ,  0.0122928  ])
310337  , -2022.43    , array([ 7.6387     ,  0.0364449  ,  4.93101e-28,  1.5099     ,  0.0123051  ])
310338  , -1960.18    , array([ 7.5173     ,  0.0544921  ,  4.93101e-28,  1.5399     ,  0.0184699  ])
310339  , -1960.18    , array([ 7.5173     ,  0.0544921  ,  4.93101e-28,  1.5399     ,  0.0184699  ])
310340  , -1960.26    , array([ 7.52482    ,  0.0544921  ,  4.93101e-28,  1.5399     ,  0.0184699  ])
310341  , -1963.27    , array([ 7.5173     ,  0.0545466  ,  4.93101e-28,  1.5399     ,  0.0184699  ])
310342  , -1960.18    , array([ 7.5173     ,  0.0544921  ,  4.93594e-28,  1.5399     ,  0.0184699  ])
310343  , -1960.27    , array([ 7.5173     ,  0.0544921  ,  4.93101e-28,  1.54144    ,  0.0184699  ])
310344  , -1957.16    , array([ 7.5173     ,  0.0544921  ,  4.93101e-28,  1.5399     ,  0.0184884  ])
310352  , -1960.18    , array([ 7.51719    ,  0.0544929  ,  4.93101e-28,  1.53987    ,  0.0184702  ])
310353  , -1960.18    , array([ 7.51719    ,  0.0544929  ,  4.93101e-28,  1.53987    ,  0.0184702  ])
310354  , -1960.26    , array([ 7.52471    ,  0.0544929  ,  4.93101e-28,  1.53987    ,  0.0184702  ])
310355  , -1963.27    , array([ 7.51719    ,  0.0545475  ,  4.93101e-28,  1.53987    ,  0.0184702  ])
310356  , -1960.18    , array([ 7.51719    ,  0.0544929  ,  4.93594e-28,  1.53987    ,  0.0184702  ])
310357  , -1960.27    , array([ 7.51719    ,  0.0544929  ,  4.93101e-28,  1.54142    ,  0.0184702  ])
310358  , -1957.16    , array([ 7.51719    ,  0.0544929  ,  4.93101e-28,  1.53987    ,  0.0184887  ])
310359  , -1960.18    , array([ 7.51712    ,  0.0544934  ,  4.93101e-28,  1.53986    ,  0.0184704  ])
310360  , -1960.18    , array([ 7.51712    ,  0.0544934  ,  4.93101e-28,  1.53986    ,  0.0184704  ])
310361  , -1960.25    , array([ 7.52464    ,  0.0544934  ,  4.93101e-28,  1.53986    ,  0.0184704  ])
310362  , -1963.26    , array([ 7.51712    ,  0.054548   ,  4.93101e-28,  1.53986    ,  0.0184704  ])
310363  , -1960.18    , array([ 7.51712    ,  0.0544934  ,  4.93594e-28,  1.53986    ,  0.0184704  ])
310364  , -1960.27    , array([ 7.51712    ,  0.0544934  ,  4.93101e-28,  1.5414     ,  0.0184704  ])
310365  , -1957.16    , array([ 7.51712    ,  0.0544934  ,  4.93101e-28,  1.53986    ,  0.0184889  ])
310366  , -203445     , array([ 0.20421    ,  2.06639    ,  4.93101e-28,  0.0297512  ,  0.750989   ])
310367  , -203445     , array([ 0.20421    ,  2.06639    ,  4.93101e-28,  0.0297512  ,  0.750989   ])
310368  , -203288     , array([ 0.204414   ,  2.06639    ,  4.93101e-28,  0.0297512  ,  0.750989   ])
310369  , -203463     , array([ 0.20421    ,  2.06846    ,  4.93101e-28,  0.0297512  ,  0.750989   ])
310370  , -203445     , array([ 0.20421    ,  2.06639    ,  4.93594e-28,  0.0297512  ,  0.750989   ])
310371  , -203440     , array([ 0.20421    ,  2.06639    ,  4.93101e-28,  0.029781   ,  0.750989   ])
310372  , -203587     , array([ 0.20421    ,  2.06639    ,  4.93101e-28,  0.0297512  ,  0.75174    ])
310373  , -2197.15    , array([ 3.079      ,  0.134023   ,  4.93101e-28,  0.579699   ,  0.0462176  ])
310374  , -2197.15    , array([ 3.079      ,  0.134023   ,  4.93101e-28,  0.579699   ,  0.0462176  ])
310375  , -2197.53    , array([ 3.08208    ,  0.134023   ,  4.93101e-28,  0.579699   ,  0.0462176  ])
310376  , -2200.2     , array([ 3.079      ,  0.134157   ,  4.93101e-28,  0.579699   ,  0.0462176  ])
310377  , -2197.15    , array([ 3.079      ,  0.134023   ,  4.93594e-28,  0.579699   ,  0.0462176  ])
310378  , -2197.24    , array([ 3.079      ,  0.134023   ,  4.93101e-28,  0.580279   ,  0.0462176  ])
310379  , -2195.61    , array([ 3.079      ,  0.134023   ,  4.93101e-28,  0.579699   ,  0.0462639  ])
310380  , -1933.13    , array([ 5.98238    ,  0.0686022  ,  4.93101e-28,  1.19931    ,  0.0233554  ])
310381  , -1933.13    , array([ 5.98238    ,  0.0686022  ,  4.93101e-28,  1.19931    ,  0.0233554  ])
310382  , -1933.26    , array([ 5.98837    ,  0.0686022  ,  4.93101e-28,  1.19931    ,  0.0233554  ])
310383  , -1936.24    , array([ 5.98238    ,  0.0686709  ,  4.93101e-28,  1.19931    ,  0.0233554  ])
310384  , -1933.13    , array([ 5.98238    ,  0.0686022  ,  4.93594e-28,  1.19931    ,  0.0233554  ])
310385  , -1933.22    , array([ 5.98238    ,  0.0686022  ,  4.93101e-28,  1.20051    ,  0.0233554  ])
310386  , -1930.31    , array([ 5.98238    ,  0.0686022  ,  4.93101e-28,  1.19931    ,  0.0233788  ])
310387  , -1857.14    , array([ 2.63451    ,  0.081895   ,  4.93101e-28,  1.5699     ,  0.0281305  ])
310388  , -1857.14    , array([ 2.63451    ,  0.081895   ,  4.93101e-28,  1.5699     ,  0.0281305  ])
310389  , -1857.36    , array([ 2.63715    ,  0.081895   ,  4.93101e-28,  1.5699     ,  0.0281305  ])
310390  , -1860.6     , array([ 2.63451    ,  0.0819769  ,  4.93101e-28,  1.5699     ,  0.0281305  ])
310391  , -1857.14    , array([ 2.63451    ,  0.081895   ,  4.93594e-28,  1.5699     ,  0.0281305  ])
310392  , -1857.33    , array([ 2.63451    ,  0.081895   ,  4.93101e-28,  1.57148    ,  0.0281305  ])
310393  , -1854.15    , array([ 2.63451    ,  0.081895   ,  4.93101e-28,  1.5699     ,  0.0281586  ])
310394  , -45659.8    , array([ 0.0990841  ,  0.166316   ,  4.93101e-28,  4.6094     ,  0.0592014  ])
310395  , -45659.8    , array([ 0.0990841  ,  0.166316   ,  4.93101e-28,  4.6094     ,  0.0592014  ])
310396  , -45612.4    , array([ 0.0991832  ,  0.166316   ,  4.93101e-28,  4.6094     ,  0.0592014  ])
310397  , -45675.6    , array([ 0.0990841  ,  0.166482   ,  4.93101e-28,  4.6094     ,  0.0592014  ])
310398  , -45659.8    , array([ 0.0990841  ,  0.166316   ,  4.93594e-28,  4.6094     ,  0.0592014  ])
310399  , -45660.9    , array([ 0.0990841  ,  0.166316   ,  4.93101e-28,  4.61402    ,  0.0592014  ])
310400  , -45684.1    , array([ 0.0990841  ,  0.166316   ,  4.93101e-28,  4.6094     ,  0.0592607  ])
310401  , -1869.06    , array([ 1.43016    ,  0.0934446  ,  4.93101e-28,  1.9186     ,  0.0323115  ])
310402  , -1869.06    , array([ 1.43016    ,  0.0934446  ,  4.93101e-28,  1.9186     ,  0.0323115  ])
