149147  , -6662.64    , array([ 7.73108    ,  0.174473   ,  5.29545e-39,  6.85284    ,  0.088119   ])
149148  , -6657.2     , array([ 7.73108    ,  0.174473   ,  5.29545e-39,  6.846      ,  0.0882071  ])
149149  , -3470.57    , array([ 12.1552    ,  0.0986328  ,  5.29545e-39,  8.22192    ,  0.0605742  ])
149150  , -3470.57    , array([ 12.1552    ,  0.0986328  ,  5.29545e-39,  8.22192    ,  0.0605742  ])
149151  , -3470.93    , array([ 12.1673    ,  0.0986328  ,  5.29545e-39,  8.22192    ,  0.0605742  ])
149152  , -3473.74    , array([ 12.1552    ,  0.0987315  ,  5.29545e-39,  8.22192    ,  0.0605742  ])
149153  , -3470.57    , array([ 12.1552    ,  0.0986328  ,  5.30075e-39,  8.22192    ,  0.0605742  ])
149154  , -3472.55    , array([ 12.1552    ,  0.0986328  ,  5.29545e-39,  8.23015    ,  0.0605742  ])
149155  , -3472.34    , array([ 12.1552    ,  0.0986328  ,  5.29545e-39,  8.22192    ,  0.0606348  ])
149163  , -3470.54    , array([ 12.1556    ,  0.0986317  ,  5.29545e-39,  8.22198    ,  0.0605735  ])
149164  , -3470.54    , array([ 12.1556    ,  0.0986317  ,  5.29545e-39,  8.22198    ,  0.0605735  ])
149165  , -3470.9     , array([ 12.1677    ,  0.0986317  ,  5.29545e-39,  8.22198    ,  0.0605735  ])
149166  , -3473.71    , array([ 12.1556    ,  0.0987304  ,  5.29545e-39,  8.22198    ,  0.0605735  ])
149167  , -3470.54    , array([ 12.1556    ,  0.0986317  ,  5.30075e-39,  8.22198    ,  0.0605735  ])
149168  , -3472.52    , array([ 12.1556    ,  0.0986317  ,  5.29545e-39,  8.23021    ,  0.0605735  ])
149169  , -3472.31    , array([ 12.1556    ,  0.0986317  ,  5.29545e-39,  8.22198    ,  0.0606341  ])
149177  , -3470.53    , array([ 12.1557    ,  0.0986312  ,  5.29545e-39,  8.22201    ,  0.0605732  ])
149178  , -3470.53    , array([ 12.1557    ,  0.0986312  ,  5.29545e-39,  8.22201    ,  0.0605732  ])
149179  , -3470.89    , array([ 12.1679    ,  0.0986312  ,  5.29545e-39,  8.22201    ,  0.0605732  ])
149180  , -3473.69    , array([ 12.1557    ,  0.0987299  ,  5.29545e-39,  8.22201    ,  0.0605732  ])
149181  , -3470.53    , array([ 12.1557    ,  0.0986312  ,  5.30075e-39,  8.22201    ,  0.0605732  ])
149182  , -3472.51    , array([ 12.1557    ,  0.0986312  ,  5.29545e-39,  8.23024    ,  0.0605732  ])
149183  , -3472.29    , array([ 12.1557    ,  0.0986312  ,  5.29545e-39,  8.22201    ,  0.0606338  ])
149191  , -3470.52    , array([ 12.1558    ,  0.098631   ,  5.29545e-39,  8.22202    ,  0.0605731  ])
149192  , -3470.52    , array([ 12.1558    ,  0.098631   ,  5.29545e-39,  8.22202    ,  0.0605731  ])
149193  , -3470.89    , array([ 12.1679    ,  0.098631   ,  5.29545e-39,  8.22202    ,  0.0605731  ])
149194  , -3473.69    , array([ 12.1558    ,  0.0987296  ,  5.29545e-39,  8.22202    ,  0.0605731  ])
149195  , -3470.52    , array([ 12.1558    ,  0.098631   ,  5.30075e-39,  8.22202    ,  0.0605731  ])
149196  , -3472.5     , array([ 12.1558    ,  0.098631   ,  5.29545e-39,  8.23025    ,  0.0605731  ])
149197  , -3472.29    , array([ 12.1558    ,  0.098631   ,  5.29545e-39,  8.22202    ,  0.0606337  ])
