3232    , -142.948    , array([ 0.192048   ,  0.954431   ,  0.212961   ,  0.0162837  ])
3233    , -142.863    , array([ 0.191857   ,  0.955386   ,  0.212961   ,  0.0162837  ])
3234    , -142.969    , array([ 0.191857   ,  0.954431   ,  0.213174   ,  0.0162837  ])
3235    , -142.876    , array([ 0.191857   ,  0.954431   ,  0.212961   ,  0.0163     ])
3236    , -140.598    , array([ 0.191668   ,  0.928725   ,  0.202617   ,  0.0169484  ])
3237    , -140.598    , array([ 0.191668   ,  0.928725   ,  0.202617   ,  0.0169484  ])
3238    , -140.675    , array([ 0.19186    ,  0.928725   ,  0.202617   ,  0.0169484  ])
3239    , -140.548    , array([ 0.191668   ,  0.929654   ,  0.202617   ,  0.0169484  ])
3240    , -140.609    , array([ 0.191668   ,  0.928725   ,  0.20282    ,  0.0169484  ])
3241    , -140.547    , array([ 0.191668   ,  0.928725   ,  0.202617   ,  0.0169654  ])
3242    , -138.011    , array([ 0.195536   ,  0.942988   ,  0.193168   ,  0.0180729  ])
3243    , -138.011    , array([ 0.195536   ,  0.942988   ,  0.193168   ,  0.0180729  ])
3244    , -138.111    , array([ 0.195732   ,  0.942988   ,  0.193168   ,  0.0180729  ])
3245    , -137.954    , array([ 0.195536   ,  0.943931   ,  0.193168   ,  0.0180729  ])
3246    , -137.998    , array([ 0.195536   ,  0.942988   ,  0.193362   ,  0.0180729  ])
3247    , -137.95     , array([ 0.195536   ,  0.942988   ,  0.193168   ,  0.018091   ])
3248    , -135.084    , array([ 0.20492    ,  0.993775   ,  0.178139   ,  0.0206194  ])
3249    , -135.084    , array([ 0.20492    ,  0.993775   ,  0.178139   ,  0.0206194  ])
3250    , -135.241    , array([ 0.205125   ,  0.993775   ,  0.178139   ,  0.0206194  ])
3251    , -135.028    , array([ 0.20492    ,  0.994769   ,  0.178139   ,  0.0206194  ])
3252    , -135.056    , array([ 0.20492    ,  0.993775   ,  0.178317   ,  0.0206194  ])
3253    , -135.035    , array([ 0.20492    ,  0.993775   ,  0.178139   ,  0.0206401  ])
3254    , -134.218    , array([ 0.20429    ,  0.999763   ,  0.178703   ,  0.0206132  ])
3255    , -134.218    , array([ 0.20429    ,  0.999763   ,  0.178703   ,  0.0206132  ])
3256    , -134.367    , array([ 0.204494   ,  0.999763   ,  0.178703   ,  0.0206132  ])
3257    , -134.164    , array([ 0.20429    ,  1.00076    ,  0.178703   ,  0.0206132  ])
3258    , -134.197    , array([ 0.20429    ,  0.999763   ,  0.178881   ,  0.0206132  ])
3259    , -134.173    , array([ 0.20429    ,  0.999763   ,  0.178703   ,  0.0206339  ])
3260    , -131.351    , array([ 0.201787   ,  1.02408    ,  0.180974   ,  0.0205885  ])
3261    , -131.351    , array([ 0.201787   ,  1.02408    ,  0.180974   ,  0.0205885  ])
3262    , -131.473    , array([ 0.201989   ,  1.02408    ,  0.180974   ,  0.0205885  ])
3263    , -131.308    , array([ 0.201787   ,  1.0251     ,  0.180974   ,  0.0205885  ])
3264    , -131.362    , array([ 0.201787   ,  1.02408    ,  0.181155   ,  0.0205885  ])
3265    , -131.324    , array([ 0.201787   ,  1.02408    ,  0.180974   ,  0.0206091  ])
3266    , -125.397    , array([ 0.198428   ,  1.12545    ,  0.177041   ,  0.0214738  ])
3267    , -125.397    , array([ 0.198428   ,  1.12545    ,  0.177041   ,  0.0214738  ])
3268    , -125.481    , array([ 0.198627   ,  1.12545    ,  0.177041   ,  0.0214738  ])
3269    , -125.374    , array([ 0.198428   ,  1.12658    ,  0.177041   ,  0.0214738  ])
3270    , -125.457    , array([ 0.198428   ,  1.12545    ,  0.177218   ,  0.0214738  ])
3271    , -125.41     , array([ 0.198428   ,  1.12545    ,  0.177041   ,  0.0214953  ])
3272    , -116.368    , array([ 0.190427   ,  1.43095    ,  0.168009   ,  0.0215166  ])
3273    , -116.368    , array([ 0.190427   ,  1.43095    ,  0.168009   ,  0.0215166  ])
3274    , -116.393    , array([ 0.190618   ,  1.43095    ,  0.168009   ,  0.0215166  ])
3275    , -116.366    , array([ 0.190427   ,  1.43238    ,  0.168009   ,  0.0215166  ])
3276    , -116.464    , array([ 0.190427   ,  1.43095    ,  0.168177   ,  0.0215166  ])
3277    , -116.412    , array([ 0.190427   ,  1.43095    ,  0.168009   ,  0.0215382  ])
3278    , -106.286    , array([ 0.182676   ,  2.29746    ,  0.151724   ,  0.020214   ])
3279    , -106.286    , array([ 0.182676   ,  2.29746    ,  0.151724   ,  0.020214   ])
3280    , -106.306    , array([ 0.182859   ,  2.29746    ,  0.151724   ,  0.020214   ])
3281    , -106.284    , array([ 0.182676   ,  2.29976    ,  0.151724   ,  0.020214   ])
3282    , -106.324    , array([ 0.182676   ,  2.29746    ,  0.151876   ,  0.020214   ])
3283    , -106.289    , array([ 0.182676   ,  2.29746    ,  0.151724   ,  0.0202342  ])
3284    , -102.683    , array([ 0.171013   ,  3.09014    ,  0.126808   ,  0.0229231  ])
3285    , -102.683    , array([ 0.171013   ,  3.09014    ,  0.126808   ,  0.0229231  ])
3286    , -102.698    , array([ 0.171184   ,  3.09014    ,  0.126808   ,  0.0229231  ])
3287    , -102.693    , array([ 0.171013   ,  3.09324    ,  0.126808   ,  0.0229231  ])
3288    , -102.725    , array([ 0.171013   ,  3.09014    ,  0.126934   ,  0.0229231  ])
3289    , -102.739    , array([ 0.171013   ,  3.09014    ,  0.126808   ,  0.0229461  ])
3290    , -102.301    , array([ 0.162113   ,  3.98676    ,  0.121293   ,  0.0211074  ])
3291    , -102.301    , array([ 0.162113   ,  3.98676    ,  0.121293   ,  0.0211074  ])
3292    , -102.284    , array([ 0.162275   ,  3.98676    ,  0.121293   ,  0.0211074  ])
3293    , -102.302    , array([ 0.162113   ,  3.99075    ,  0.121293   ,  0.0211074  ])
3294    , -102.297    , array([ 0.162113   ,  3.98676    ,  0.121414   ,  0.0211074  ])
3295    , -102.267    , array([ 0.162113   ,  3.98676    ,  0.121293   ,  0.0211285  ])
3296    , -101.656    , array([ 0.162929   ,  3.78756    ,  0.121594   ,  0.021504   ])
3297    , -101.656    , array([ 0.162929   ,  3.78756    ,  0.121594   ,  0.021504   ])
