113606  , -1423.4     , array([ 1.33428    ,  0.119588   ,  3.86353    ,  2.68139    ,  0.0611604  ])
113607  , -1364.13    , array([ 1.13397    ,  0.124327   ,  4.91374    ,  1.72583    ,  0.0608773  ])
113608  , -1378.44    , array([ 1.21048    ,  0.122517   ,  4.5126     ,  2.09082    ,  0.0609855  ])
113609  , -1361.08    , array([ 1.08668    ,  0.125445   ,  5.16166    ,  1.50025    ,  0.0608105  ])
113610  , -1361.04    , array([ 1.07775    ,  0.125656   ,  5.20846    ,  1.45767    ,  0.0607979  ])
113611  , -1361.03    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0608019  ])
113612  , -1361.03    , array([ 1.0813     ,  0.125572   ,  5.18984    ,  1.47461    ,  0.0608029  ])
113613  , -1361.03    , array([ 1.07989    ,  0.125606   ,  5.19723    ,  1.46789    ,  0.0608009  ])
113614  , -1361.03    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0608019  ])
113615  , -17332.3    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  1.0608     ])
113617  , -1361.03    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0608019  ])
113619  , -13948.3    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.442768   ])
113620  , -9856.26    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.251683   ])
113623  , -4726.47    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.133712   ])
113624  , -7408.2     , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.02636    ])
113625  , -2073.79    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0860832  ])
113626  , -1887.12    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0476463  ])
113627  , -1380.52    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0654958  ])
113628  , -1358.71    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0623096  ])
113629  , -1358.47    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0619878  ])
113630  , -1358.47    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113631  , -1358.47    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0619475  ])
113632  , -1358.47    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0619707  ])
113633  , -1358.47    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113634  , -36810.5    , array([ 1.0806     ,  1.12559    ,  5.19353    ,  1.47125    ,  0.0619591  ])
113636  , -1358.47    , array([ 1.0806     ,  0.125589   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113638  , -21142.9    , array([ 1.0806     ,  0.507555   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113639  , -11524.1    , array([ 1.0806     ,  0.316412   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113641  , -27119.9    , array([ 1.0806     ,  0.0354192  ,  5.19353    ,  1.47125    ,  0.0619591  ])
113642  , -4234.63    , array([ 1.0806     ,  0.198477   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113643  , -2784.33    , array([ 1.0806     ,  0.0911473  ,  5.19353    ,  1.47125    ,  0.0619591  ])
113644  , -1470.24    , array([ 1.0806     ,  0.135844   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113645  , -1359.87    , array([ 1.0806     ,  0.126059   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113646  , -1356.68    , array([ 1.0806     ,  0.123978   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113647  , -1356.64    , array([ 1.0806     ,  0.124167   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113648  , -1356.64    , array([ 1.0806     ,  0.124181   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113649  , -1356.64    , array([ 1.0806     ,  0.124195   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113650  , -1356.64    , array([ 1.0806     ,  0.124181   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113651  , -1414.98    , array([ 1.0806     ,  0.124181   ,  6.19353    ,  1.47125    ,  0.0619591  ])
113652  , -1457.67    , array([ 1.0806     ,  0.124181   ,  3.5755     ,  1.47125    ,  0.0619591  ])
