196     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
197     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
198     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
199     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
200     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
201     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
202     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
203     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
204     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
207     , -23958.7    , array([ 0.00102854 ,  17.1213    ,  0.00206489 ,  0.0343006  ])
208     , -23958.7    , array([ 0.00102854 ,  17.1213    ,  0.00206489 ,  0.0343006  ])
209     , -23958.4    , array([ 0.00102957 ,  17.1213    ,  0.00206489 ,  0.0343006  ])
210     , -23958.7    , array([ 0.00102854 ,  17.1384    ,  0.00206489 ,  0.0343006  ])
211     , -23958.9    , array([ 0.00102854 ,  17.1213    ,  0.00206696 ,  0.0343006  ])
212     , -23959      , array([ 0.00102854 ,  17.1213    ,  0.00206489 ,  0.0343349  ])
215     , -23958      , array([ 0.00100444 ,  17.1202    ,  0.00201975 ,  0.0341892  ])
216     , -23958      , array([ 0.00100444 ,  17.1202    ,  0.00201975 ,  0.0341892  ])
217     , -23957.7    , array([ 0.00100544 ,  17.1202    ,  0.00201975 ,  0.0341892  ])
218     , -23958      , array([ 0.00100444 ,  17.1373    ,  0.00201975 ,  0.0341892  ])
219     , -23958.2    , array([ 0.00100444 ,  17.1202    ,  0.00202177 ,  0.0341892  ])
220     , -23958.3    , array([ 0.00100444 ,  17.1202    ,  0.00201975 ,  0.0342234  ])
223     , -23957.9    , array([ 0.00100146 ,  17.1201    ,  0.00201418 ,  0.0341753  ])
224     , -23957.9    , array([ 0.00100146 ,  17.1201    ,  0.00201418 ,  0.0341753  ])
225     , -23957.6    , array([ 0.00100247 ,  17.1201    ,  0.00201418 ,  0.0341753  ])
226     , -23957.9    , array([ 0.00100146 ,  17.1372    ,  0.00201418 ,  0.0341753  ])
227     , -23958.2    , array([ 0.00100146 ,  17.1201    ,  0.00201619 ,  0.0341753  ])
228     , -23958.2    , array([ 0.00100146 ,  17.1201    ,  0.00201418 ,  0.0342095  ])
230     , -23957.9    , array([ 0.00100072 ,  17.12      ,  0.00201279 ,  0.0341718  ])
231     , -23957.9    , array([ 0.00100072 ,  17.12      ,  0.00201279 ,  0.0341718  ])
232     , -23957.6    , array([ 0.00100172 ,  17.12      ,  0.00201279 ,  0.0341718  ])
233     , -23957.9    , array([ 0.00100072 ,  17.1372    ,  0.00201279 ,  0.0341718  ])
234     , -23958.1    , array([ 0.00100072 ,  17.12      ,  0.0020148  ,  0.0341718  ])
235     , -23958.1    , array([ 0.00100072 ,  17.12      ,  0.00201279 ,  0.034206   ])
236     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
237     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
238     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
239     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
240     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201411 ,  0.0341701  ])
241     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
