268037  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268038  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268039  , -13414.7    , array([ 3.32101    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268040  , -13386.4    , array([ 3.31769    ,  0.00105634 ,  1.81776e-07,  6.03363e-39,  0.000796595])
268041  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81958e-07,  6.03363e-39,  0.000796595])
268042  , -13414.7    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03966e-39,  0.000796595])
268043  , -13442.8    , array([ 3.31769    ,  0.00105528 ,  1.81776e-07,  6.03363e-39,  0.000797392])
268044  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268045  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268046  , -13393      , array([ 3.30991    ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268047  , -13364.7    , array([ 3.3066     ,  0.00102704 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268048  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81958e-07,  6.03363e-39,  0.000773752])
268049  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03966e-39,  0.000773752])
268050  , -13421.1    , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000774526])
268051  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268052  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268053  , -13393      , array([ 3.30991    ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268054  , -13364.7    , array([ 3.3066     ,  0.00102704 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268055  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81958e-07,  6.03363e-39,  0.000773752])
268056  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03966e-39,  0.000773752])
268057  , -13421.1    , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000774526])
268058  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268059  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268060  , -13393      , array([ 3.30991    ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268061  , -13364.7    , array([ 3.3066     ,  0.00102704 ,  1.81776e-07,  6.03363e-39,  0.000773752])
268062  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81958e-07,  6.03363e-39,  0.000773752])
268063  , -13393      , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03966e-39,  0.000773752])
268064  , -13421.1    , array([ 3.3066     ,  0.00102601 ,  1.81776e-07,  6.03363e-39,  0.000774526])
268065  , -13382.1    , array([ 3.30107    ,  0.00101169 ,  1.81776e-07,  6.03363e-39,  0.000762578])
268066  , -13382.1    , array([ 3.30107    ,  0.00101169 ,  1.81776e-07,  6.03363e-39,  0.000762578])
268067  , -13382.1    , array([ 3.30437    ,  0.00101169 ,  1.81776e-07,  6.03363e-39,  0.000762578])
268068  , -13353.9    , array([ 3.30107    ,  0.0010127  ,  1.81776e-07,  6.03363e-39,  0.000762578])
268069  , -13382.1    , array([ 3.30107    ,  0.00101169 ,  1.81958e-07,  6.03363e-39,  0.000762578])
268070  , -13382.1    , array([ 3.30107    ,  0.00101169 ,  1.81776e-07,  6.03966e-39,  0.000762578])
268071  , -13410.2    , array([ 3.30107    ,  0.00101169 ,  1.81776e-07,  6.03363e-39,  0.000763341])
268072  , -13382.1    , array([ 3.30107    ,  0.00101169 ,  1.81776e-07,  6.03363e-39,  0.000762578])
268073  , -13382.1    , array([ 3.30107    ,  0.00101169 ,  1.81776e-07,  6.03363e-39,  0.000762578])
268074  , -13382.1    , array([ 3.30437    ,  0.00101169 ,  1.81776e-07,  6.03363e-39,  0.000762578])
268075  , -13353.9    , array([ 3.30107    ,  0.0010127  ,  1.81776e-07,  6.03363e-39,  0.000762578])
268076  , -13382.1    , array([ 3.30107    ,  0.00101169 ,  1.81958e-07,  6.03363e-39,  0.000762578])
268077  , -13382.1    , array([ 3.30107    ,  0.00101169 ,  1.81776e-07,  6.03966e-39,  0.000762578])
268078  , -13410.2    , array([ 3.30107    ,  0.00101169 ,  1.81776e-07,  6.03363e-39,  0.000763341])
268079  , -13374.9    , array([ 3.29743    ,  0.00100234 ,  1.81776e-07,  6.03363e-39,  0.000755291])
268080  , -13374.9    , array([ 3.29743    ,  0.00100234 ,  1.81776e-07,  6.03363e-39,  0.000755291])
268081  , -13374.9    , array([ 3.30073    ,  0.00100234 ,  1.81776e-07,  6.03363e-39,  0.000755291])
268082  , -13346.7    , array([ 3.29743    ,  0.00100334 ,  1.81776e-07,  6.03363e-39,  0.000755291])
268083  , -13374.9    , array([ 3.29743    ,  0.00100234 ,  1.81958e-07,  6.03363e-39,  0.000755291])
268084  , -13374.9    , array([ 3.29743    ,  0.00100234 ,  1.81776e-07,  6.03966e-39,  0.000755291])
268085  , -13403      , array([ 3.29743    ,  0.00100234 ,  1.81776e-07,  6.03363e-39,  0.000756047])
268086  , -13374.9    , array([ 3.29743    ,  0.00100234 ,  1.81776e-07,  6.03363e-39,  0.000755291])
268087  , -13374.9    , array([ 3.29743    ,  0.00100234 ,  1.81776e-07,  6.03363e-39,  0.000755291])
268088  , -13374.9    , array([ 3.30073    ,  0.00100234 ,  1.81776e-07,  6.03363e-39,  0.000755291])
268089  , -13346.7    , array([ 3.29743    ,  0.00100334 ,  1.81776e-07,  6.03363e-39,  0.000755291])
268090  , -13374.9    , array([ 3.29743    ,  0.00100234 ,  1.81958e-07,  6.03363e-39,  0.000755291])
