183468  , -1644.21    , array([ 1.27174    ,  0.0609838  ,  7.68827e-51,  1.14025e-11,  0.021667   ])
183469  , -1644.38    , array([ 1.27047    ,  0.0610449  ,  7.68827e-51,  1.14025e-11,  0.021667   ])
183470  , -1644.25    , array([ 1.27047    ,  0.0609838  ,  7.69597e-51,  1.14025e-11,  0.021667   ])
183471  , -1644.25    , array([ 1.27047    ,  0.0609838  ,  7.68827e-51,  1.14139e-11,  0.021667   ])
183472  , -1644.03    , array([ 1.27047    ,  0.0609838  ,  7.68827e-51,  1.14025e-11,  0.0216887  ])
183473  , -1635.36    , array([ 1.42931    ,  0.0649967  ,  7.68827e-51,  7.50416e-12,  0.0231482  ])
183474  , -1635.36    , array([ 1.42931    ,  0.0649967  ,  7.68827e-51,  7.50416e-12,  0.0231482  ])
183475  , -1635.37    , array([ 1.43074    ,  0.0649967  ,  7.68827e-51,  7.50416e-12,  0.0231482  ])
183476  , -1635.5     , array([ 1.42931    ,  0.0650617  ,  7.68827e-51,  7.50416e-12,  0.0231482  ])
183477  , -1635.36    , array([ 1.42931    ,  0.0649967  ,  7.69597e-51,  7.50416e-12,  0.0231482  ])
183478  , -1635.36    , array([ 1.42931    ,  0.0649967  ,  7.68827e-51,  7.51167e-12,  0.0231482  ])
183479  , -1635.17    , array([ 1.42931    ,  0.0649967  ,  7.68827e-51,  7.50416e-12,  0.0231714  ])
183480  , -1633.2     , array([ 1.46682    ,  0.06692    ,  7.68827e-51,  7.42439e-12,  0.0239239  ])
183481  , -1633.2     , array([ 1.46682    ,  0.06692    ,  7.68827e-51,  7.42439e-12,  0.0239239  ])
183482  , -1633.22    , array([ 1.46828    ,  0.06692    ,  7.68827e-51,  7.42439e-12,  0.0239239  ])
183483  , -1633.25    , array([ 1.46682    ,  0.066987   ,  7.68827e-51,  7.42439e-12,  0.0239239  ])
183484  , -1633.2     , array([ 1.46682    ,  0.06692    ,  7.69597e-51,  7.42439e-12,  0.0239239  ])
183485  , -1633.2     , array([ 1.46682    ,  0.06692    ,  7.68827e-51,  7.43182e-12,  0.0239239  ])
183486  , -1633.13    , array([ 1.46682    ,  0.06692    ,  7.68827e-51,  7.42439e-12,  0.0239478  ])
183487  , -1632.62    , array([ 1.45263    ,  0.0675504  ,  7.68827e-51,  8.29838e-12,  0.0241908  ])
183488  , -1632.62    , array([ 1.45263    ,  0.0675504  ,  7.68827e-51,  8.29838e-12,  0.0241908  ])
183489  , -1632.62    , array([ 1.45408    ,  0.0675504  ,  7.68827e-51,  8.29838e-12,  0.0241908  ])
183490  , -1632.62    , array([ 1.45263    ,  0.0676179  ,  7.68827e-51,  8.29838e-12,  0.0241908  ])
183491  , -1632.62    , array([ 1.45263    ,  0.0675504  ,  7.69597e-51,  8.29838e-12,  0.0241908  ])
183492  , -1632.62    , array([ 1.45263    ,  0.0675504  ,  7.68827e-51,  8.30668e-12,  0.0241908  ])
183493  , -1632.61    , array([ 1.45263    ,  0.0675504  ,  7.68827e-51,  8.29838e-12,  0.024215   ])
183494  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183495  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183496  , -1632.53    , array([ 1.43926    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183497  , -1632.52    , array([ 1.43782    ,  0.0677332  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183498  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.69597e-51,  8.93182e-12,  0.0242351  ])
183499  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.94076e-12,  0.0242351  ])
