201     , -10705.4    , array([ 0.00226766 ,  0.00100845 ,  0.000339991,  2.94557e-50,  0.00019699 ])
202     , -10705.4    , array([ 0.00226766 ,  0.00100845 ,  0.000339651,  2.94852e-50,  0.00019699 ])
203     , -10700.6    , array([ 0.00226766 ,  0.00100845 ,  0.000339651,  2.94557e-50,  0.000197187])
204     , -10618      , array([ 0.00225658 ,  0.00100231 ,  0.000339651,  2.94557e-50,  0.000199174])
205     , -10618      , array([ 0.00225658 ,  0.00100231 ,  0.000339651,  2.94557e-50,  0.000199174])
206     , -10610      , array([ 0.00225884 ,  0.00100231 ,  0.000339651,  2.94557e-50,  0.000199174])
207     , -10630.3    , array([ 0.00225658 ,  0.00100332 ,  0.000339651,  2.94557e-50,  0.000199174])
208     , -10618      , array([ 0.00225658 ,  0.00100231 ,  0.000339991,  2.94557e-50,  0.000199174])
209     , -10618      , array([ 0.00225658 ,  0.00100231 ,  0.000339651,  2.94852e-50,  0.000199174])
210     , -10613.7    , array([ 0.00225658 ,  0.00100231 ,  0.000339651,  2.94557e-50,  0.000199373])
211     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
212     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
213     , -10582.1    , array([ 0.00225508 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
214     , -10602.4    , array([ 0.00225283 ,  0.00100123 ,  0.000339651,  2.94557e-50,  0.000199922])
215     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339991,  2.94557e-50,  0.000199922])
216     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94852e-50,  0.000199922])
217     , -10586      , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000200122])
221     , -10593.1    , array([ 0.00225155 ,  0.00100053 ,  0.000339651,  2.94557e-50,  0.000200177])
225     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
226     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
227     , -10582.1    , array([ 0.00225508 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
228     , -10602.4    , array([ 0.00225283 ,  0.00100123 ,  0.000339651,  2.94557e-50,  0.000199922])
229     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339991,  2.94557e-50,  0.000199922])
230     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94852e-50,  0.000199922])
231     , -10586      , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000200122])
232     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
233     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
234     , -10582.1    , array([ 0.00225508 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
235     , -10602.4    , array([ 0.00225283 ,  0.00100123 ,  0.000339651,  2.94557e-50,  0.000199922])
236     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339991,  2.94557e-50,  0.000199922])
237     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94852e-50,  0.000199922])
238     , -10586      , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000200122])
242     , -10597.7    , array([ 0.00225219 ,  0.00100088 ,  0.000339651,  2.94557e-50,  0.00020005 ])
246     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
247     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
248     , -10582.1    , array([ 0.00225508 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
249     , -10602.4    , array([ 0.00225283 ,  0.00100123 ,  0.000339651,  2.94557e-50,  0.000199922])
250     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339991,  2.94557e-50,  0.000199922])
251     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94852e-50,  0.000199922])
