1524    , -1421.78    , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
1525    , -1421.2     , array([ 0.81415    ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.048642   ])
1526    , -1421.67    , array([ 0.813336   ,  0.0852339  ,  4.57691    ,  4.87716    ,  0.048642   ])
1527    , -1421.55    , array([ 0.813336   ,  0.0851487  ,  4.58149    ,  4.87716    ,  0.048642   ])
1528    , -1421.9     , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.88204    ,  0.048642   ])
1529    , -1422       , array([ 0.813336   ,  0.0851487  ,  4.57691    ,  4.87716    ,  0.0486907  ])
1530    , -1508.17    , array([ 0.763787   ,  0.10161    ,  7.39974    ,  3.80404    ,  0.0656332  ])
1531    , -1508.17    , array([ 0.763787   ,  0.10161    ,  7.39974    ,  3.80404    ,  0.0656332  ])
1532    , -1507.99    , array([ 0.764551   ,  0.10161    ,  7.39974    ,  3.80404    ,  0.0656332  ])
1533    , -1508.14    , array([ 0.763787   ,  0.101711   ,  7.39974    ,  3.80404    ,  0.0656332  ])
1534    , -1508.81    , array([ 0.763787   ,  0.10161    ,  7.40715    ,  3.80404    ,  0.0656332  ])
1535    , -1508.35    , array([ 0.763787   ,  0.10161    ,  7.39974    ,  3.80784    ,  0.0656332  ])
1536    , -1508.61    , array([ 0.763787   ,  0.10161    ,  7.39974    ,  3.80404    ,  0.0656989  ])
1537    , -1408.98    , array([ 0.798327   ,  0.089727   ,  5.27714    ,  4.53092    ,  0.0531578  ])
1538    , -1408.98    , array([ 0.798327   ,  0.089727   ,  5.27714    ,  4.53092    ,  0.0531578  ])
1539    , -1408.45    , array([ 0.799126   ,  0.089727   ,  5.27714    ,  4.53092    ,  0.0531578  ])
1540    , -1408.75    , array([ 0.798327   ,  0.0898168  ,  5.27714    ,  4.53092    ,  0.0531578  ])
1541    , -1408.84    , array([ 0.798327   ,  0.089727   ,  5.28242    ,  4.53092    ,  0.0531578  ])
1542    , -1409.07    , array([ 0.798327   ,  0.089727   ,  5.27714    ,  4.53546    ,  0.0531578  ])
