5181    , -16505.8    , array([ 4.83077    ,  6.57232    ,  5.1334e-55 ,  1.26851    ])
5182    , -16495.7    , array([ 4.83077    ,  6.56575    ,  5.13854e-55,  1.26851    ])
5183    , -16497.8    , array([ 4.83077    ,  6.56575    ,  5.1334e-55 ,  1.26978    ])
5184    , -1555       , array([ 4.83077    ,  0.345283   ,  5.1334e-55 ,  0.038369   ])
5185    , -1555       , array([ 4.83077    ,  0.345283   ,  5.1334e-55 ,  0.038369   ])
5186    , -1555       , array([ 4.83561    ,  0.345283   ,  5.1334e-55 ,  0.038369   ])
5187    , -1555.58    , array([ 4.83077    ,  0.345629   ,  5.1334e-55 ,  0.038369   ])
5188    , -1555       , array([ 4.83077    ,  0.345283   ,  5.13854e-55,  0.038369   ])
5189    , -1554.49    , array([ 4.83077    ,  0.345283   ,  5.1334e-55 ,  0.0384074  ])
5190    , -1554.2     , array([ 4.83077    ,  0.345571   ,  5.1334e-55 ,  0.0384661  ])
5191    , -1554.2     , array([ 4.83077    ,  0.345571   ,  5.1334e-55 ,  0.0384661  ])
5192    , -1554.2     , array([ 4.83561    ,  0.345571   ,  5.1334e-55 ,  0.0384661  ])
5193    , -1554.78    , array([ 4.83077    ,  0.345917   ,  5.1334e-55 ,  0.0384661  ])
5194    , -1554.2     , array([ 4.83077    ,  0.345571   ,  5.13854e-55,  0.0384661  ])
5195    , -1553.69    , array([ 4.83077    ,  0.345571   ,  5.1334e-55 ,  0.0385046  ])
5196    , -1550.98    , array([ 4.83077    ,  0.346727   ,  5.1334e-55 ,  0.0388572  ])
5197    , -1550.98    , array([ 4.83077    ,  0.346727   ,  5.1334e-55 ,  0.0388572  ])
5198    , -1550.98    , array([ 4.83561    ,  0.346727   ,  5.1334e-55 ,  0.0388572  ])
5199    , -1551.56    , array([ 4.83077    ,  0.347074   ,  5.1334e-55 ,  0.0388572  ])
5200    , -1550.98    , array([ 4.83077    ,  0.346727   ,  5.13854e-55,  0.0388572  ])
5201    , -1550.47    , array([ 4.83077    ,  0.346727   ,  5.1334e-55 ,  0.0388961  ])
5202    , -1538       , array([ 4.83077    ,  0.351389   ,  5.1334e-55 ,  0.0404616  ])
5203    , -1538       , array([ 4.83077    ,  0.351389   ,  5.1334e-55 ,  0.0404616  ])
5204    , -1538       , array([ 4.83561    ,  0.351389   ,  5.1334e-55 ,  0.0404616  ])
5205    , -1538.59    , array([ 4.83077    ,  0.35174    ,  5.1334e-55 ,  0.0404616  ])
5206    , -1538       , array([ 4.83077    ,  0.351389   ,  5.13854e-55,  0.0404616  ])
5207    , -1537.48    , array([ 4.83077    ,  0.351389   ,  5.1334e-55 ,  0.0405021  ])
5208    , -1484.52    , array([ 4.83077    ,  0.370671   ,  5.1334e-55 ,  0.0475695  ])
5209    , -1484.52    , array([ 4.83077    ,  0.370671   ,  5.1334e-55 ,  0.0475695  ])
5210    , -1484.52    , array([ 4.83561    ,  0.370671   ,  5.1334e-55 ,  0.0475695  ])
5211    , -1485.17    , array([ 4.83077    ,  0.371042   ,  5.1334e-55 ,  0.0475695  ])
5212    , -1484.52    , array([ 4.83077    ,  0.370671   ,  5.13854e-55,  0.0475695  ])
5213    , -1483.96    , array([ 4.83077    ,  0.370671   ,  5.1334e-55 ,  0.0476171  ])
5214    , -1263.99    , array([ 4.83077    ,  0.458976   ,  5.1334e-55 ,  0.0908804  ])
5215    , -1263.99    , array([ 4.83077    ,  0.458976   ,  5.1334e-55 ,  0.0908804  ])
5216    , -1263.99    , array([ 4.83561    ,  0.458976   ,  5.1334e-55 ,  0.0908804  ])
5217    , -1264.99    , array([ 4.83077    ,  0.459435   ,  5.1334e-55 ,  0.0908804  ])
5218    , -1263.99    , array([ 4.83077    ,  0.458976   ,  5.13854e-55,  0.0908804  ])
5219    , -1263.35    , array([ 4.83077    ,  0.458976   ,  5.1334e-55 ,  0.0909713  ])
5220    , -2547.15    , array([ 4.83077    ,  1.07893    ,  5.1334e-55 ,  1.2107     ])
5221    , -2547.15    , array([ 4.83077    ,  1.07893    ,  5.1334e-55 ,  1.2107     ])
5222    , -2547.15    , array([ 4.83561    ,  1.07893    ,  5.1334e-55 ,  1.2107     ])
5223    , -2550.15    , array([ 4.83077    ,  1.08001    ,  5.1334e-55 ,  1.2107     ])
5224    , -2547.15    , array([ 4.83077    ,  1.07893    ,  5.13854e-55,  1.2107     ])
5225    , -2546.96    , array([ 4.83077    ,  1.07893    ,  5.1334e-55 ,  1.21191    ])
5226    , -1175.09    , array([ 4.83077    ,  0.512327   ,  5.1334e-55 ,  0.12681    ])
5227    , -1175.09    , array([ 4.83077    ,  0.512327   ,  5.1334e-55 ,  0.12681    ])
5228    , -1175.09    , array([ 4.83561    ,  0.512327   ,  5.1334e-55 ,  0.12681    ])
5229    , -1176.36    , array([ 4.83077    ,  0.51284    ,  5.1334e-55 ,  0.12681    ])
5230    , -1175.09    , array([ 4.83077    ,  0.512327   ,  5.13854e-55,  0.12681    ])
5231    , -1174.46    , array([ 4.83077    ,  0.512327   ,  5.1334e-55 ,  0.126936   ])
5232    , -1705.84    , array([ 4.83077    ,  0.76262    ,  5.1334e-55 ,  0.971668   ])
5233    , -1705.84    , array([ 4.83077    ,  0.76262    ,  5.1334e-55 ,  0.971668   ])
5234    , -1705.84    , array([ 4.83561    ,  0.76262    ,  5.1334e-55 ,  0.971668   ])
5235    , -1707.49    , array([ 4.83077    ,  0.763383   ,  5.1334e-55 ,  0.971668   ])
5236    , -1705.84    , array([ 4.83077    ,  0.76262    ,  5.13854e-55,  0.971668   ])
5237    , -1706.39    , array([ 4.83077    ,  0.76262    ,  5.1334e-55 ,  0.97264    ])
5238    , -1020.3     , array([ 4.83077    ,  0.575021   ,  5.1334e-55 ,  0.228983   ])
5239    , -1020.3     , array([ 4.83077    ,  0.575021   ,  5.1334e-55 ,  0.228983   ])
5240    , -1020.3     , array([ 4.83561    ,  0.575021   ,  5.1334e-55 ,  0.228983   ])
5241    , -1021.99    , array([ 4.83077    ,  0.575597   ,  5.1334e-55 ,  0.228983   ])
5242    , -1020.3     , array([ 4.83077    ,  0.575021   ,  5.13854e-55,  0.228983   ])
5243    , -1019.86    , array([ 4.83077    ,  0.575021   ,  5.1334e-55 ,  0.229212   ])
5244    , -763.418    , array([ 4.83077    ,  0.521768   ,  5.1334e-55 ,  0.32218    ])
5245    , -763.418    , array([ 4.83077    ,  0.521768   ,  5.1334e-55 ,  0.32218    ])
5246    , -763.418    , array([ 4.83561    ,  0.521768   ,  5.1334e-55 ,  0.32218    ])
5247    , -764.769    , array([ 4.83077    ,  0.52229    ,  5.1334e-55 ,  0.32218    ])
5248    , -763.418    , array([ 4.83077    ,  0.521768   ,  5.13854e-55,  0.32218    ])
5249    , -763.257    , array([ 4.83077    ,  0.521768   ,  5.1334e-55 ,  0.322503   ])
5250    , -461.358    , array([ 4.83077    ,  0.358889   ,  5.1334e-55 ,  0.35046    ])
5251    , -461.358    , array([ 4.83077    ,  0.358889   ,  5.1334e-55 ,  0.35046    ])
5252    , -461.358    , array([ 4.83561    ,  0.358889   ,  5.1334e-55 ,  0.35046    ])
5253    , -461.703    , array([ 4.83077    ,  0.359248   ,  5.1334e-55 ,  0.35046    ])
5254    , -461.358    , array([ 4.83077    ,  0.358889   ,  5.13854e-55,  0.35046    ])
5255    , -461.363    , array([ 4.83077    ,  0.358889   ,  5.1334e-55 ,  0.350811   ])
5256    , -430.816    , array([ 4.83077    ,  0.312787   ,  5.1334e-55 ,  0.331361   ])
5257    , -430.816    , array([ 4.83077    ,  0.312787   ,  5.1334e-55 ,  0.331361   ])
5258    , -430.816    , array([ 4.83561    ,  0.312787   ,  5.1334e-55 ,  0.331361   ])
5259    , -430.963    , array([ 4.83077    ,  0.3131     ,  5.1334e-55 ,  0.331361   ])
5260    , -430.816    , array([ 4.83077    ,  0.312787   ,  5.13854e-55,  0.331361   ])
5261    , -430.722    , array([ 4.83077    ,  0.312787   ,  5.1334e-55 ,  0.331693   ])
5262    , -413.464    , array([ 4.83077    ,  0.272355   ,  5.1334e-55 ,  0.375439   ])
5263    , -413.464    , array([ 4.83077    ,  0.272355   ,  5.1334e-55 ,  0.375439   ])
5264    , -413.464    , array([ 4.83561    ,  0.272355   ,  5.1334e-55 ,  0.375439   ])
5265    , -413.542    , array([ 4.83077    ,  0.272627   ,  5.1334e-55 ,  0.375439   ])
5266    , -413.464    , array([ 4.83077    ,  0.272355   ,  5.13854e-55,  0.375439   ])
5267    , -413.561    , array([ 4.83077    ,  0.272355   ,  5.1334e-55 ,  0.375815   ])
5268    , -406.23     , array([ 4.83077    ,  0.250665   ,  5.1334e-55 ,  0.361858   ])
5269    , -406.23     , array([ 4.83077    ,  0.250665   ,  5.1334e-55 ,  0.361858   ])
5270    , -406.23     , array([ 4.83561    ,  0.250665   ,  5.1334e-55 ,  0.361858   ])
5271    , -406.281    , array([ 4.83077    ,  0.250916   ,  5.1334e-55 ,  0.361858   ])
5272    , -406.23     , array([ 4.83077    ,  0.250665   ,  5.13854e-55,  0.361858   ])
5273    , -406.246    , array([ 4.83077    ,  0.250665   ,  5.1334e-55 ,  0.36222    ])
5274    , -401.106    , array([ 4.83077    ,  0.215292   ,  5.1334e-55 ,  0.359288   ])
5275    , -401.106    , array([ 4.83077    ,  0.215292   ,  5.1334e-55 ,  0.359288   ])
5276    , -401.106    , array([ 4.83561    ,  0.215292   ,  5.1334e-55 ,  0.359288   ])
5277    , -401.12     , array([ 4.83077    ,  0.215508   ,  5.1334e-55 ,  0.359288   ])
5278    , -401.106    , array([ 4.83077    ,  0.215292   ,  5.13854e-55,  0.359288   ])
5279    , -401.167    , array([ 4.83077    ,  0.215292   ,  5.1334e-55 ,  0.359647   ])
5280    , -398.189    , array([ 4.83077    ,  0.190823   ,  5.1334e-55 ,  0.344078   ])
5281    , -398.189    , array([ 4.83077    ,  0.190823   ,  5.1334e-55 ,  0.344078   ])
5282    , -398.189    , array([ 4.83561    ,  0.190823   ,  5.1334e-55 ,  0.344078   ])
5283    , -398.202    , array([ 4.83077    ,  0.191014   ,  5.1334e-55 ,  0.344078   ])
5284    , -398.189    , array([ 4.83077    ,  0.190823   ,  5.13854e-55,  0.344078   ])
5285    , -398.201    , array([ 4.83077    ,  0.190823   ,  5.1334e-55 ,  0.344422   ])
5286    , -397.412    , array([ 4.83077    ,  0.159624   ,  5.1334e-55 ,  0.329751   ])
5287    , -397.412    , array([ 4.83077    ,  0.159624   ,  5.1334e-55 ,  0.329751   ])
5288    , -397.412    , array([ 4.83561    ,  0.159624   ,  5.1334e-55 ,  0.329751   ])
5289    , -397.369    , array([ 4.83077    ,  0.159783   ,  5.1334e-55 ,  0.329751   ])
5290    , -397.412    , array([ 4.83077    ,  0.159624   ,  5.13854e-55,  0.329751   ])
5291    , -397.541    , array([ 4.83077    ,  0.159624   ,  5.1334e-55 ,  0.330081   ])
5292    , -396.241    , array([ 4.83077    ,  0.156204   ,  5.1334e-55 ,  0.323458   ])
5293    , -396.241    , array([ 4.83077    ,  0.156204   ,  5.1334e-55 ,  0.323458   ])
5294    , -396.241    , array([ 4.83561    ,  0.156204   ,  5.1334e-55 ,  0.323458   ])
5295    , -396.222    , array([ 4.83077    ,  0.15636    ,  5.1334e-55 ,  0.323458   ])
5296    , -396.241    , array([ 4.83077    ,  0.156204   ,  5.13854e-55,  0.323458   ])
5297    , -396.309    , array([ 4.83077    ,  0.156204   ,  5.1334e-55 ,  0.323782   ])
5298    , -394.933    , array([ 4.83077    ,  0.133154   ,  5.1334e-55 ,  0.299248   ])
5299    , -394.933    , array([ 4.83077    ,  0.133154   ,  5.1334e-55 ,  0.299248   ])
5300    , -394.933    , array([ 4.83561    ,  0.133154   ,  5.1334e-55 ,  0.299248   ])
5301    , -394.926    , array([ 4.83077    ,  0.133287   ,  5.1334e-55 ,  0.299248   ])
5302    , -394.933    , array([ 4.83077    ,  0.133154   ,  5.13854e-55,  0.299248   ])
5303    , -394.963    , array([ 4.83077    ,  0.133154   ,  5.1334e-55 ,  0.299548   ])
5304    , -394.675    , array([ 4.83077    ,  0.109441   ,  5.1334e-55 ,  0.272774   ])
5305    , -394.675    , array([ 4.83077    ,  0.109441   ,  5.1334e-55 ,  0.272774   ])
