309748  , -5052.89    , array([ 0.210093   ,  0.0643129  ,  9.98585    ,  3.88447e-42,  0.0314006  ])
309749  , -5045.85    , array([ 0.210303   ,  0.0643129  ,  9.98585    ,  3.88447e-42,  0.0314006  ])
309750  , -5049.55    , array([ 0.210093   ,  0.0643772  ,  9.98585    ,  3.88447e-42,  0.0314006  ])
309751  , -5050.3     , array([ 0.210093   ,  0.0643129  ,  9.99584    ,  3.88447e-42,  0.0314006  ])
309752  , -5052.89    , array([ 0.210093   ,  0.0643129  ,  9.98585    ,  3.88836e-42,  0.0314006  ])
309753  , -5058.59    , array([ 0.210093   ,  0.0643129  ,  9.98585    ,  3.88447e-42,  0.031432   ])
309754  , -5052.33    , array([ 0.210065   ,  0.0643001  ,  9.99082    ,  3.88447e-42,  0.0313958  ])
309755  , -5052.33    , array([ 0.210065   ,  0.0643001  ,  9.99082    ,  3.88447e-42,  0.0313958  ])
309756  , -5045.29    , array([ 0.210275   ,  0.0643001  ,  9.99082    ,  3.88447e-42,  0.0313958  ])
309757  , -5048.99    , array([ 0.210065   ,  0.0643645  ,  9.99082    ,  3.88447e-42,  0.0313958  ])
309759  , -5052.33    , array([ 0.210065   ,  0.0643001  ,  9.99082    ,  3.88836e-42,  0.0313958  ])
309760  , -5058.03    , array([ 0.210065   ,  0.0643001  ,  9.99082    ,  3.88447e-42,  0.0314272  ])
309761  , -5052.11    , array([ 0.210054   ,  0.0642951  ,  9.99278    ,  3.88447e-42,  0.0313939  ])
309762  , -5052.11    , array([ 0.210054   ,  0.0642951  ,  9.99278    ,  3.88447e-42,  0.0313939  ])
309763  , -5045.07    , array([ 0.210264   ,  0.0642951  ,  9.99278    ,  3.88447e-42,  0.0313939  ])
309764  , -5048.77    , array([ 0.210054   ,  0.0643594  ,  9.99278    ,  3.88447e-42,  0.0313939  ])
309766  , -5052.11    , array([ 0.210054   ,  0.0642951  ,  9.99278    ,  3.88836e-42,  0.0313939  ])
309767  , -5057.81    , array([ 0.210054   ,  0.0642951  ,  9.99278    ,  3.88447e-42,  0.0314253  ])
309768  , -5052.06    , array([ 0.210052   ,  0.064294   ,  9.99319    ,  3.88447e-42,  0.0313935  ])
309769  , -5052.06    , array([ 0.210052   ,  0.064294   ,  9.99319    ,  3.88447e-42,  0.0313935  ])
309770  , -5045.02    , array([ 0.210262   ,  0.064294   ,  9.99319    ,  3.88447e-42,  0.0313935  ])
309771  , -5048.72    , array([ 0.210052   ,  0.0643584  ,  9.99319    ,  3.88447e-42,  0.0313935  ])
309773  , -5052.06    , array([ 0.210052   ,  0.064294   ,  9.99319    ,  3.88836e-42,  0.0313935  ])
309774  , -5057.76    , array([ 0.210052   ,  0.064294   ,  9.99319    ,  3.88447e-42,  0.0314249  ])
309775  , -5052.05    , array([ 0.210051   ,  0.0642938  ,  9.99328    ,  3.88447e-42,  0.0313934  ])
309776  , -5052.05    , array([ 0.210051   ,  0.0642938  ,  9.99328    ,  3.88447e-42,  0.0313934  ])
309777  , -5045.01    , array([ 0.210262   ,  0.0642938  ,  9.99328    ,  3.88447e-42,  0.0313934  ])
309778  , -5048.71    , array([ 0.210051   ,  0.0643581  ,  9.99328    ,  3.88447e-42,  0.0313934  ])
309780  , -5052.05    , array([ 0.210051   ,  0.0642938  ,  9.99328    ,  3.88836e-42,  0.0313934  ])
309781  , -5057.75    , array([ 0.210051   ,  0.0642938  ,  9.99328    ,  3.88447e-42,  0.0314248  ])
309782  , -5052.05    , array([ 0.210051   ,  0.0642938  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309783  , -5052.05    , array([ 0.210051   ,  0.0642938  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309784  , -5045.01    , array([ 0.210261   ,  0.0642938  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309785  , -5048.71    , array([ 0.210051   ,  0.0643581  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309787  , -5052.05    , array([ 0.210051   ,  0.0642938  ,  9.9933     ,  3.88836e-42,  0.0313934  ])
309788  , -5057.75    , array([ 0.210051   ,  0.0642938  ,  9.9933     ,  3.88447e-42,  0.0314248  ])
309789  , -5052.05    , array([ 0.210051   ,  0.0642937  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309790  , -5052.05    , array([ 0.210051   ,  0.0642937  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309791  , -5045.01    , array([ 0.210261   ,  0.0642937  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309792  , -5048.71    , array([ 0.210051   ,  0.0643581  ,  9.9933     ,  3.88447e-42,  0.0313934  ])
309794  , -5052.05    , array([ 0.210051   ,  0.0642937  ,  9.9933     ,  3.88836e-42,  0.0313934  ])
