137303  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08507e-06])
137304  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08507e-06])
137305  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09216e-06])
137313  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137314  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137315  , -71427.5    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137316  , -71434.7    , array([ 2.93557    ,  0.00101618 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137317  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08507e-06])
137318  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08507e-06])
137319  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09216e-06])
137320  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137321  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137322  , -71427.5    , array([ 2.93851    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137323  , -71434.7    , array([ 2.93557    ,  0.00101618 ,  0.0352436  ,  0.161574   ,  7.08507e-06])
137324  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352789  ,  0.161574   ,  7.08507e-06])
137325  , -71427.5    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161735   ,  7.08507e-06])
137326  , -71420.4    , array([ 2.93557    ,  0.00101517 ,  0.0352436  ,  0.161574   ,  7.09216e-06])
137327  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137328  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137329  , -71266.4    , array([ 2.93808    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137330  , -71273.6    , array([ 2.93515    ,  0.001005   ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137331  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352789  ,  0.161574   ,  7.16513e-06])
137332  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161735   ,  7.16513e-06])
137333  , -71259.1    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.1723e-06 ])
137334  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137335  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137336  , -71266.4    , array([ 2.93808    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137337  , -71273.6    , array([ 2.93515    ,  0.001005   ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137338  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352789  ,  0.161574   ,  7.16513e-06])
137339  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161735   ,  7.16513e-06])
137340  , -71259.1    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.1723e-06 ])
137341  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137342  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137343  , -71266.4    , array([ 2.93808    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137344  , -71273.6    , array([ 2.93515    ,  0.001005   ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137345  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352789  ,  0.161574   ,  7.16513e-06])
137346  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161735   ,  7.16513e-06])
137347  , -71259.1    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.1723e-06 ])
137355  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137356  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137357  , -71266.4    , array([ 2.93808    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137358  , -71273.6    , array([ 2.93515    ,  0.001005   ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137359  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352789  ,  0.161574   ,  7.16513e-06])
137360  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161735   ,  7.16513e-06])
137361  , -71259.1    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.1723e-06 ])
137362  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137363  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137364  , -71266.4    , array([ 2.93808    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137365  , -71273.6    , array([ 2.93515    ,  0.001005   ,  0.0352436  ,  0.161574   ,  7.16513e-06])
137366  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352789  ,  0.161574   ,  7.16513e-06])
137367  , -71266.4    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161735   ,  7.16513e-06])
137368  , -71259.1    , array([ 2.93515    ,  0.00100399 ,  0.0352436  ,  0.161574   ,  7.1723e-06 ])
137369  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137370  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137371  , -71225.6    , array([ 2.93798    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
