17729   , -2751.5     , array([ 0.617263   ,  99.9829    ,  9.12979e-32,  0.0175557  ])
17730   , -2751.01    , array([ 0.617263   ,  99.9835    ,  9.12979e-32,  0.0175381  ])
17731   , -2751.01    , array([ 0.617263   ,  99.9835    ,  9.12979e-32,  0.0175381  ])
17732   , -2751.01    , array([ 0.61788    ,  99.9835    ,  9.12979e-32,  0.0175381  ])
17734   , -2751.01    , array([ 0.617263   ,  99.9835    ,  9.13892e-32,  0.0175381  ])
17735   , -2751.49    , array([ 0.617263   ,  99.9835    ,  9.12979e-32,  0.0175556  ])
17736   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17737   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17738   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17740   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17741   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17742   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17743   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17744   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17746   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17747   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17748   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17749   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17750   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17752   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17753   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17754   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17755   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17756   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17758   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17759   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17760   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17761   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17762   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17764   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17765   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17766   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17767   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17768   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17770   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17771   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17772   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17773   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17774   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17776   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17777   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17778   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17779   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17780   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17782   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17783   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
