93323   , -2432.41    , array([ 2.85219    ,  0.15205    ,  4.7694e-54 ,  1.38035    ,  0.0603291  ])
93324   , -2432.51    , array([ 2.85219    ,  0.15205    ,  4.76464e-54,  1.38173    ,  0.0603291  ])
93325   , -2433.09    , array([ 2.85219    ,  0.15205    ,  4.76464e-54,  1.38035    ,  0.0603895  ])
93333   , -2432.41    , array([ 2.85215    ,  0.15205    ,  4.76464e-54,  1.38039    ,  0.0603292  ])
93334   , -2432.41    , array([ 2.85215    ,  0.15205    ,  4.76464e-54,  1.38039    ,  0.0603292  ])
93335   , -2432.88    , array([ 2.85501    ,  0.15205    ,  4.76464e-54,  1.38039    ,  0.0603292  ])
93336   , -2433.99    , array([ 2.85215    ,  0.152202   ,  4.76464e-54,  1.38039    ,  0.0603292  ])
93337   , -2432.41    , array([ 2.85215    ,  0.15205    ,  4.7694e-54 ,  1.38039    ,  0.0603292  ])
93338   , -2432.51    , array([ 2.85215    ,  0.15205    ,  4.76464e-54,  1.38177    ,  0.0603292  ])
93339   , -2433.09    , array([ 2.85215    ,  0.15205    ,  4.76464e-54,  1.38039    ,  0.0603895  ])
93340   , -2432.4     , array([ 2.85202    ,  0.152051   ,  4.76464e-54,  1.38052    ,  0.0603293  ])
93341   , -2432.4     , array([ 2.85202    ,  0.152051   ,  4.76464e-54,  1.38052    ,  0.0603293  ])
93342   , -2432.87    , array([ 2.85487    ,  0.152051   ,  4.76464e-54,  1.38052    ,  0.0603293  ])
93343   , -2433.99    , array([ 2.85202    ,  0.152203   ,  4.76464e-54,  1.38052    ,  0.0603293  ])
93344   , -2432.4     , array([ 2.85202    ,  0.152051   ,  4.7694e-54 ,  1.38052    ,  0.0603293  ])
93345   , -2432.5     , array([ 2.85202    ,  0.152051   ,  4.76464e-54,  1.3819     ,  0.0603293  ])
93346   , -2433.09    , array([ 2.85202    ,  0.152051   ,  4.76464e-54,  1.38052    ,  0.0603896  ])
93354   , -2432.4     , array([ 2.85201    ,  0.152051   ,  4.76464e-54,  1.38053    ,  0.0603293  ])
93355   , -2432.4     , array([ 2.85201    ,  0.152051   ,  4.76464e-54,  1.38053    ,  0.0603293  ])
93356   , -2432.87    , array([ 2.85486    ,  0.152051   ,  4.76464e-54,  1.38053    ,  0.0603293  ])
93357   , -2433.99    , array([ 2.85201    ,  0.152203   ,  4.76464e-54,  1.38053    ,  0.0603293  ])
93358   , -2432.4     , array([ 2.85201    ,  0.152051   ,  4.7694e-54 ,  1.38053    ,  0.0603293  ])
93359   , -2432.5     , array([ 2.85201    ,  0.152051   ,  4.76464e-54,  1.38191    ,  0.0603293  ])
93360   , -2433.09    , array([ 2.85201    ,  0.152051   ,  4.76464e-54,  1.38053    ,  0.0603896  ])
93361   , -2432.4     , array([ 2.85198    ,  0.152051   ,  4.76464e-54,  1.38056    ,  0.0603293  ])
93362   , -2432.4     , array([ 2.85198    ,  0.152051   ,  4.76464e-54,  1.38056    ,  0.0603293  ])
93363   , -2432.87    , array([ 2.85483    ,  0.152051   ,  4.76464e-54,  1.38056    ,  0.0603293  ])
