50786   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50787   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50788   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50789   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50790   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50791   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50792   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50793   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50800   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50801   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50802   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50803   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50804   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50805   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50812   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50813   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50814   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50815   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50816   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50817   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50818   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50819   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50820   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50821   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50822   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50823   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50830   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50831   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50832   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50833   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50834   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50835   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50836   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50837   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
50838   , -2121.48    , array([ 5.44233    ,  0.00100137 ,  3.00634e-33,  1.37252e-05])
