24606   , -1633.52    , array([ 10.0696    ,  0.285984   ,  1.84383e-57,  0.0264965  ])
24607   , -1633.97    , array([ 10.0596    ,  0.28627    ,  1.84383e-57,  0.0264965  ])
24608   , -1633.52    , array([ 10.0596    ,  0.285984   ,  1.84567e-57,  0.0264965  ])
24609   , -1633.08    , array([ 10.0596    ,  0.285984   ,  1.84383e-57,  0.026523   ])
24610   , -1633.52    , array([ 10.0596    ,  0.285986   ,  1.84383e-57,  0.0264967  ])
24611   , -1633.52    , array([ 10.0596    ,  0.285986   ,  1.84383e-57,  0.0264967  ])
24612   , -1633.52    , array([ 10.0696    ,  0.285986   ,  1.84383e-57,  0.0264967  ])
24613   , -1633.97    , array([ 10.0596    ,  0.286272   ,  1.84383e-57,  0.0264967  ])
24614   , -1633.52    , array([ 10.0596    ,  0.285986   ,  1.84567e-57,  0.0264967  ])
24615   , -1633.08    , array([ 10.0596    ,  0.285986   ,  1.84383e-57,  0.0265232  ])
24622   , -1633.52    , array([ 10.0596    ,  0.285986   ,  1.84383e-57,  0.0264967  ])
24623   , -1633.52    , array([ 10.0596    ,  0.285986   ,  1.84383e-57,  0.0264967  ])
24624   , -1633.52    , array([ 10.0696    ,  0.285986   ,  1.84383e-57,  0.0264967  ])
24625   , -1633.97    , array([ 10.0596    ,  0.286272   ,  1.84383e-57,  0.0264967  ])
24626   , -1633.52    , array([ 10.0596    ,  0.285986   ,  1.84567e-57,  0.0264967  ])
24627   , -1633.08    , array([ 10.0596    ,  0.285986   ,  1.84383e-57,  0.0265232  ])
24628   , -1633.52    , array([ 10.0596    ,  0.285987   ,  1.84383e-57,  0.0264968  ])
24629   , -1633.52    , array([ 10.0596    ,  0.285987   ,  1.84383e-57,  0.0264968  ])
24630   , -1633.52    , array([ 10.0696    ,  0.285987   ,  1.84383e-57,  0.0264968  ])
24631   , -1633.97    , array([ 10.0596    ,  0.286273   ,  1.84383e-57,  0.0264968  ])
24632   , -1633.52    , array([ 10.0596    ,  0.285987   ,  1.84567e-57,  0.0264968  ])
24633   , -1633.08    , array([ 10.0596    ,  0.285987   ,  1.84383e-57,  0.0265233  ])
24634   , -10900.4    , array([ 10.0596    ,  4.7305     ,  1.84383e-57,  0.535039   ])
24635   , -10900.4    , array([ 10.0596    ,  4.7305     ,  1.84383e-57,  0.535039   ])
24636   , -10900.4    , array([ 10.0696    ,  4.7305     ,  1.84383e-57,  0.535039   ])
24637   , -10906.3    , array([ 10.0596    ,  4.73523    ,  1.84383e-57,  0.535039   ])
24638   , -10900.4    , array([ 10.0596    ,  4.7305     ,  1.84567e-57,  0.535039   ])
24639   , -10904.6    , array([ 10.0596    ,  4.7305     ,  1.84383e-57,  0.535574   ])
24640   , -1634.35    , array([ 10.0596    ,  0.322298   ,  1.84383e-57,  0.0301158  ])
24641   , -1634.35    , array([ 10.0596    ,  0.322298   ,  1.84383e-57,  0.0301158  ])
24642   , -1634.35    , array([ 10.0696    ,  0.322298   ,  1.84383e-57,  0.0301158  ])
24643   , -1634.87    , array([ 10.0596    ,  0.322621   ,  1.84383e-57,  0.0301158  ])
24644   , -1634.35    , array([ 10.0596    ,  0.322298   ,  1.84567e-57,  0.0301158  ])
24645   , -1633.89    , array([ 10.0596    ,  0.322298   ,  1.84383e-57,  0.030146   ])
24646   , -1633.24    , array([ 10.0596    ,  0.29774    ,  1.84383e-57,  0.0276647  ])
24647   , -1633.24    , array([ 10.0596    ,  0.29774    ,  1.84383e-57,  0.0276647  ])
24648   , -1633.24    , array([ 10.0696    ,  0.29774    ,  1.84383e-57,  0.0276647  ])
24649   , -1633.71    , array([ 10.0596    ,  0.298038   ,  1.84383e-57,  0.0276647  ])
24650   , -1633.24    , array([ 10.0596    ,  0.29774    ,  1.84567e-57,  0.0276647  ])
24651   , -1632.79    , array([ 10.0596    ,  0.29774    ,  1.84383e-57,  0.0276924  ])
24652   , -1632.67    , array([ 10.0596    ,  0.297983   ,  1.84383e-57,  0.0277241  ])
24653   , -1632.67    , array([ 10.0596    ,  0.297983   ,  1.84383e-57,  0.0277241  ])
24654   , -1632.67    , array([ 10.0696    ,  0.297983   ,  1.84383e-57,  0.0277241  ])
24655   , -1633.15    , array([ 10.0596    ,  0.298281   ,  1.84383e-57,  0.0277241  ])
24656   , -1632.67    , array([ 10.0596    ,  0.297983   ,  1.84567e-57,  0.0277241  ])
24657   , -1632.23    , array([ 10.0596    ,  0.297983   ,  1.84383e-57,  0.0277518  ])
24658   , -1630.41    , array([ 10.0596    ,  0.298958   ,  1.84383e-57,  0.0279626  ])
24659   , -1630.41    , array([ 10.0596    ,  0.298958   ,  1.84383e-57,  0.0279626  ])
24660   , -1630.41    , array([ 10.0696    ,  0.298958   ,  1.84383e-57,  0.0279626  ])
24661   , -1630.89    , array([ 10.0596    ,  0.299257   ,  1.84383e-57,  0.0279626  ])
24662   , -1630.41    , array([ 10.0596    ,  0.298958   ,  1.84567e-57,  0.0279626  ])
24663   , -1629.96    , array([ 10.0596    ,  0.298958   ,  1.84383e-57,  0.0279906  ])
24664   , -1621.27    , array([ 10.0596    ,  0.30289    ,  1.84383e-57,  0.0289376  ])
24665   , -1621.27    , array([ 10.0596    ,  0.30289    ,  1.84383e-57,  0.0289376  ])
24666   , -1621.27    , array([ 10.0696    ,  0.30289    ,  1.84383e-57,  0.0289376  ])
24667   , -1621.76    , array([ 10.0596    ,  0.303193   ,  1.84383e-57,  0.0289376  ])
24668   , -1621.27    , array([ 10.0596    ,  0.30289    ,  1.84567e-57,  0.0289376  ])
24669   , -1620.82    , array([ 10.0596    ,  0.30289    ,  1.84383e-57,  0.0289666  ])
24670   , -1583.54    , array([ 10.0596    ,  0.31914    ,  1.84383e-57,  0.0331896  ])
24671   , -1583.54    , array([ 10.0596    ,  0.31914    ,  1.84383e-57,  0.0331896  ])
24672   , -1583.54    , array([ 10.0696    ,  0.31914    ,  1.84383e-57,  0.0331896  ])
24673   , -1584.06    , array([ 10.0596    ,  0.31946    ,  1.84383e-57,  0.0331896  ])
24674   , -1583.54    , array([ 10.0596    ,  0.31914    ,  1.84567e-57,  0.0331896  ])
24675   , -1583.06    , array([ 10.0596    ,  0.31914    ,  1.84383e-57,  0.0332228  ])
24676   , -1417.78    , array([ 10.0596    ,  0.393344   ,  1.84383e-57,  0.0574326  ])
24677   , -1417.78    , array([ 10.0596    ,  0.393344   ,  1.84383e-57,  0.0574326  ])
24678   , -1417.78    , array([ 10.0696    ,  0.393344   ,  1.84383e-57,  0.0574326  ])
24679   , -1418.51    , array([ 10.0596    ,  0.393737   ,  1.84383e-57,  0.0574326  ])
24680   , -1417.78    , array([ 10.0596    ,  0.393344   ,  1.84567e-57,  0.0574326  ])
24681   , -1417.19    , array([ 10.0596    ,  0.393344   ,  1.84383e-57,  0.0574901  ])
24682   , -1999.25    , array([ 10.0596    ,  0.907682   ,  1.84383e-57,  0.514974   ])
24683   , -1999.25    , array([ 10.0596    ,  0.907682   ,  1.84383e-57,  0.514974   ])
24684   , -1999.25    , array([ 10.0696    ,  0.907682   ,  1.84383e-57,  0.514974   ])
24685   , -2002.54    , array([ 10.0596    ,  0.90859    ,  1.84383e-57,  0.514974   ])
24686   , -1999.25    , array([ 10.0596    ,  0.907682   ,  1.84567e-57,  0.514974   ])
24687   , -1999.26    , array([ 10.0596    ,  0.907682   ,  1.84383e-57,  0.515489   ])
24688   , -1232.76    , array([ 10.0596    ,  0.518159   ,  1.84383e-57,  0.118338   ])
24689   , -1232.76    , array([ 10.0596    ,  0.518159   ,  1.84383e-57,  0.118338   ])
24690   , -1232.76    , array([ 10.0696    ,  0.518159   ,  1.84383e-57,  0.118338   ])
24691   , -1234.03    , array([ 10.0596    ,  0.518678   ,  1.84383e-57,  0.118338   ])
24692   , -1232.76    , array([ 10.0596    ,  0.518159   ,  1.84567e-57,  0.118338   ])
24693   , -1232.13    , array([ 10.0596    ,  0.518159   ,  1.84383e-57,  0.118457   ])
24694   , -2242.26    , array([ 10.0596    ,  0.950668   ,  1.84383e-57,  1.49253    ])
24695   , -2242.26    , array([ 10.0596    ,  0.950668   ,  1.84383e-57,  1.49253    ])
24696   , -2242.26    , array([ 10.0696    ,  0.950668   ,  1.84383e-57,  1.49253    ])
24697   , -2244       , array([ 10.0596    ,  0.95162    ,  1.84383e-57,  1.49253    ])
24698   , -2242.26    , array([ 10.0596    ,  0.950668   ,  1.84567e-57,  1.49253    ])
24699   , -2242.39    , array([ 10.0596    ,  0.950668   ,  1.84383e-57,  1.49403    ])
24700   , -1143.29    , array([ 10.0596    ,  0.562966   ,  1.84383e-57,  0.167325   ])
24701   , -1143.29    , array([ 10.0596    ,  0.562966   ,  1.84383e-57,  0.167325   ])
24702   , -1143.29    , array([ 10.0696    ,  0.562966   ,  1.84383e-57,  0.167325   ])
24703   , -1144.85    , array([ 10.0596    ,  0.563529   ,  1.84383e-57,  0.167325   ])
24704   , -1143.29    , array([ 10.0596    ,  0.562966   ,  1.84567e-57,  0.167325   ])
24705   , -1142.73    , array([ 10.0596    ,  0.562966   ,  1.84383e-57,  0.167493   ])
24706   , -972.61     , array([ 10.0596    ,  0.550539   ,  1.84383e-57,  0.21747    ])
24707   , -972.61     , array([ 10.0596    ,  0.550539   ,  1.84383e-57,  0.21747    ])
24708   , -972.61     , array([ 10.0696    ,  0.550539   ,  1.84383e-57,  0.21747    ])
24709   , -974.176    , array([ 10.0596    ,  0.55109    ,  1.84383e-57,  0.21747    ])
24710   , -972.61     , array([ 10.0596    ,  0.550539   ,  1.84567e-57,  0.21747    ])
24711   , -972.146    , array([ 10.0596    ,  0.550539   ,  1.84383e-57,  0.217688   ])
24712   , -690.961    , array([ 10.0596    ,  0.488697   ,  1.84383e-57,  0.305632   ])
24713   , -690.961    , array([ 10.0596    ,  0.488697   ,  1.84383e-57,  0.305632   ])
24714   , -690.961    , array([ 10.0696    ,  0.488697   ,  1.84383e-57,  0.305632   ])
24715   , -692.115    , array([ 10.0596    ,  0.489185   ,  1.84383e-57,  0.305632   ])
24716   , -690.961    , array([ 10.0596    ,  0.488697   ,  1.84567e-57,  0.305632   ])
24717   , -690.767    , array([ 10.0596    ,  0.488697   ,  1.84383e-57,  0.305937   ])
24718   , -453.292    , array([ 10.0596    ,  0.344304   ,  1.84383e-57,  0.380329   ])
24719   , -453.292    , array([ 10.0596    ,  0.344304   ,  1.84383e-57,  0.380329   ])
24720   , -453.292    , array([ 10.0696    ,  0.344304   ,  1.84383e-57,  0.380329   ])
24721   , -453.577    , array([ 10.0596    ,  0.344648   ,  1.84383e-57,  0.380329   ])
24722   , -453.292    , array([ 10.0596    ,  0.344304   ,  1.84567e-57,  0.380329   ])
24723   , -453.414    , array([ 10.0596    ,  0.344304   ,  1.84383e-57,  0.38071    ])
24724   , -429.638    , array([ 10.0596    ,  0.296903   ,  1.84383e-57,  0.319255   ])
