8900    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8901    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8902    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8903    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8904    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8905    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8906    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8907    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8908    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8909    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8910    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8911    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8912    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8913    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8914    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8915    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8916    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8917    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8918    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8919    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8920    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8921    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8922    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8923    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8924    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8925    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8926    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8927    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8928    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8929    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8930    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8931    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8932    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8933    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8934    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8935    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8936    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8937    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8938    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8939    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8940    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8941    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8942    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8943    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8944    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8945    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8946    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8947    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8948    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8949    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8950    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8951    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8952    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8953    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8954    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8955    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8956    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8957    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8958    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8959    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8960    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8961    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8962    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8963    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8964    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8965    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8966    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8967    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8968    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8969    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8970    , -392.961    , array([ 0.0039224  ,  0.0577535  ,  0.0231461  ,  2.8381e-22 ])
8971    , -392.942    , array([ 0.00391848 ,  0.0578113  ,  0.0231461  ,  2.8381e-22 ])
8972    , -392.97     , array([ 0.00391848 ,  0.0577535  ,  0.0231693  ,  2.8381e-22 ])
8973    , -392.942    , array([ 0.00391848 ,  0.0577535  ,  0.0231461  ,  2.84094e-22])
8974    , -392.99     , array([ 0.00434384 ,  0.0577535  ,  0.0251769  ,  2.8381e-22 ])
8975    , -392.99     , array([ 0.00434384 ,  0.0577535  ,  0.0251769  ,  2.8381e-22 ])
8976    , -393.066    , array([ 0.00434818 ,  0.0577535  ,  0.0251769  ,  2.8381e-22 ])
8977    , -392.99     , array([ 0.00434384 ,  0.0578113  ,  0.0251769  ,  2.8381e-22 ])
8978    , -392.946    , array([ 0.00434384 ,  0.0577535  ,  0.0252021  ,  2.8381e-22 ])
8979    , -392.99     , array([ 0.00434384 ,  0.0577535  ,  0.0251769  ,  2.84094e-22])
8980    , -393.537    , array([ 0.00305717 ,  0.0577535  ,  0.018902   ,  2.8381e-22 ])
8981    , -392.972    , array([ 0.00366812 ,  0.0577535  ,  0.021932   ,  2.8381e-22 ])
8982    , -392.972    , array([ 0.00366812 ,  0.0577535  ,  0.021932   ,  2.8381e-22 ])
8983    , -392.943    , array([ 0.00367179 ,  0.0577535  ,  0.021932   ,  2.8381e-22 ])
8984    , -392.972    , array([ 0.00366812 ,  0.0578113  ,  0.021932   ,  2.8381e-22 ])
8985    , -393.056    , array([ 0.00366812 ,  0.0577535  ,  0.021954   ,  2.8381e-22 ])
8986    , -392.972    , array([ 0.00366812 ,  0.0577535  ,  0.021932   ,  2.84094e-22])
8987    , -393.176    , array([ 0.0033132  ,  0.0577535  ,  0.0201842  ,  2.8381e-22 ])
8988    , -393.024    , array([ 0.00352572 ,  0.0577535  ,  0.0212347  ,  2.8381e-22 ])
8989    , -392.99     , array([ 0.0036069  ,  0.0577535  ,  0.0216329  ,  2.8381e-22 ])
8990    , -392.979    , array([ 0.00364221 ,  0.0577535  ,  0.0218055  ,  2.8381e-22 ])
8991    , -392.975    , array([ 0.00365714 ,  0.0577535  ,  0.0218784  ,  2.8381e-22 ])
8992    , -392.973    , array([ 0.00366347 ,  0.0577535  ,  0.0219094  ,  2.8381e-22 ])
8993    , -392.972    , array([ 0.00366615 ,  0.0577535  ,  0.0219224  ,  2.8381e-22 ])
8994    , -392.972    , array([ 0.00366729 ,  0.0577535  ,  0.021928   ,  2.8381e-22 ])
8995    , -392.972    , array([ 0.00366777 ,  0.0577535  ,  0.0219303  ,  2.8381e-22 ])
8996    , -392.972    , array([ 0.00366797 ,  0.0577535  ,  0.0219313  ,  2.8381e-22 ])
