4293    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.4373e-55 ,  5.57303e-07])
4294    , -2326.28    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57861e-07])
4295    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4296    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4297    , -2326.29    , array([ 64.6415    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4298    , -2326.3     , array([ 64.5769    ,  0.00100992 ,  1.43587e-55,  5.57303e-07])
4299    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.4373e-55 ,  5.57303e-07])
4300    , -2326.28    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57861e-07])
4301    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4302    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4303    , -2326.29    , array([ 64.6415    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4304    , -2326.3     , array([ 64.5769    ,  0.00100992 ,  1.43587e-55,  5.57303e-07])
4305    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.4373e-55 ,  5.57303e-07])
4306    , -2326.28    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57861e-07])
4307    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4308    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4309    , -2326.29    , array([ 64.6415    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4310    , -2326.3     , array([ 64.5769    ,  0.00100992 ,  1.43587e-55,  5.57303e-07])
4311    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.4373e-55 ,  5.57303e-07])
4312    , -2326.28    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57861e-07])
4313    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4314    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4315    , -2326.29    , array([ 64.6415    ,  0.00100891 ,  1.43587e-55,  5.57303e-07])
4316    , -2326.3     , array([ 64.5769    ,  0.00100992 ,  1.43587e-55,  5.57303e-07])
4317    , -2326.29    , array([ 64.5769    ,  0.00100891 ,  1.4373e-55 ,  5.57303e-07])
4318    , -2326.28    , array([ 64.5769    ,  0.00100891 ,  1.43587e-55,  5.57861e-07])
4319    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4320    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4321    , -2336.21    , array([ 64.6415    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4322    , -2336.21    , array([ 64.5769    ,  0.24879    ,  1.43587e-55,  1.01929e-05])
4323    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.4373e-55 ,  1.01929e-05])
4324    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.02031e-05])
4325    , -2335.06    , array([ 64.5769    ,  0.0419958  ,  1.43587e-55,  3.98797e-06])
4326    , -2335.06    , array([ 64.5769    ,  0.0419958  ,  1.43587e-55,  3.98797e-06])
4327    , -2335.06    , array([ 64.6415    ,  0.0419958  ,  1.43587e-55,  3.98797e-06])
4328    , -2335.06    , array([ 64.5769    ,  0.0420378  ,  1.43587e-55,  3.98797e-06])
4329    , -2335.06    , array([ 64.5769    ,  0.0419958  ,  1.4373e-55 ,  3.98797e-06])
4330    , -2335.06    , array([ 64.5769    ,  0.0419958  ,  1.43587e-55,  3.99196e-06])
4331    , -2327.11    , array([ 64.5769    ,  0.001199   ,  1.43587e-55,  6.10461e-07])
4332    , -2327.11    , array([ 64.5769    ,  0.001199   ,  1.43587e-55,  6.10461e-07])
4333    , -2327.11    , array([ 64.6415    ,  0.001199   ,  1.43587e-55,  6.10461e-07])
4334    , -2327.12    , array([ 64.5769    ,  0.0012002  ,  1.43587e-55,  6.10461e-07])
4335    , -2327.11    , array([ 64.5769    ,  0.001199   ,  1.4373e-55 ,  6.10461e-07])
4336    , -2327.1     , array([ 64.5769    ,  0.001199   ,  1.43587e-55,  6.11072e-07])
4343    , -2326.59    , array([ 64.5769    ,  0.0010729  ,  1.43587e-55,  5.75687e-07])
4344    , -2326.59    , array([ 64.5769    ,  0.0010729  ,  1.43587e-55,  5.75687e-07])
4345    , -2326.59    , array([ 64.6415    ,  0.0010729  ,  1.43587e-55,  5.75687e-07])
4346    , -2326.6     , array([ 64.5769    ,  0.00107397 ,  1.43587e-55,  5.75687e-07])
4347    , -2326.59    , array([ 64.5769    ,  0.0010729  ,  1.4373e-55 ,  5.75687e-07])
4348    , -2326.58    , array([ 64.5769    ,  0.0010729  ,  1.43587e-55,  5.76263e-07])
4349    , -2326.32    , array([ 64.5769    ,  0.00101491 ,  1.43587e-55,  5.5905e-07 ])
4350    , -2326.32    , array([ 64.5769    ,  0.00101491 ,  1.43587e-55,  5.5905e-07 ])
4351    , -2326.32    , array([ 64.6415    ,  0.00101491 ,  1.43587e-55,  5.5905e-07 ])
4352    , -2326.33    , array([ 64.5769    ,  0.00101593 ,  1.43587e-55,  5.5905e-07 ])
4353    , -2326.32    , array([ 64.5769    ,  0.00101491 ,  1.4373e-55 ,  5.5905e-07 ])
4354    , -2326.31    , array([ 64.5769    ,  0.00101491 ,  1.43587e-55,  5.59609e-07])
4356    , -2326.25    , array([ 64.5769    ,  0.00100091 ,  1.43587e-55,  5.54966e-07])
4357    , -2326.25    , array([ 64.5769    ,  0.00100091 ,  1.43587e-55,  5.54966e-07])
4358    , -2326.25    , array([ 64.6415    ,  0.00100091 ,  1.43587e-55,  5.54966e-07])
4359    , -2326.26    , array([ 64.5769    ,  0.00100191 ,  1.43587e-55,  5.54966e-07])
4360    , -2326.25    , array([ 64.5769    ,  0.00100091 ,  1.4373e-55 ,  5.54966e-07])
4361    , -2326.24    , array([ 64.5769    ,  0.00100091 ,  1.43587e-55,  5.55522e-07])
