16973   , -2537.6     , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00928296 ])
16974   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16975   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16976   , -2537.37    , array([ 0.525      ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16977   , -2537.38    , array([ 0.524475   ,  99.7843    ,  5.13649e-92,  0.00927369 ])
16978   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.14163e-92,  0.00927369 ])
16979   , -2537.6     , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00928296 ])
16980   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
16981   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
16982   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
16984   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
16985   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
16986   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16987   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16988   , -2537.37    , array([ 0.525      ,  99.6846    ,  5.13649e-92,  0.00927369 ])
16989   , -2537.38    , array([ 0.524475   ,  99.7843    ,  5.13649e-92,  0.00927369 ])
16990   , -2537.37    , array([ 0.524475   ,  99.6846    ,  5.14163e-92,  0.00927369 ])
16991   , -2537.6     , array([ 0.524475   ,  99.6846    ,  5.13649e-92,  0.00928296 ])
16992   , -2537.3     , array([ 0.524475   ,  99.8626    ,  5.13649e-92,  0.0092704  ])
16993   , -2537.3     , array([ 0.524475   ,  99.8626    ,  5.13649e-92,  0.0092704  ])
16994   , -2537.3     , array([ 0.525      ,  99.8626    ,  5.13649e-92,  0.0092704  ])
16995   , -2537.3     , array([ 0.524475   ,  99.9625    ,  5.13649e-92,  0.0092704  ])
16996   , -2537.3     , array([ 0.524475   ,  99.8626    ,  5.14163e-92,  0.0092704  ])
16997   , -2537.52    , array([ 0.524475   ,  99.8626    ,  5.13649e-92,  0.00927967 ])
16998   , -2537.27    , array([ 0.524475   ,  99.9219    ,  5.13649e-92,  0.0092693  ])
16999   , -2537.27    , array([ 0.524475   ,  99.9219    ,  5.13649e-92,  0.0092693  ])
17000   , -2537.27    , array([ 0.525      ,  99.9219    ,  5.13649e-92,  0.0092693  ])
17002   , -2537.27    , array([ 0.524475   ,  99.9219    ,  5.14163e-92,  0.0092693  ])
17003   , -2537.5     , array([ 0.524475   ,  99.9219    ,  5.13649e-92,  0.00927857 ])
17004   , -2537.26    , array([ 0.524475   ,  99.9454    ,  5.13649e-92,  0.00926887 ])
17005   , -2537.26    , array([ 0.524475   ,  99.9454    ,  5.13649e-92,  0.00926887 ])
