1304    , -1311.07    , array([ 1.00068    ,  0.0986915  ,  4.9783     ,  2.53308    ,  0.0491195  ])
1305    , -1311.07    , array([ 1.00168    ,  0.0986915  ,  4.9783     ,  2.53308    ,  0.0491195  ])
1306    , -1311.1     , array([ 1.00068    ,  0.0987903  ,  4.9783     ,  2.53308    ,  0.0491195  ])
1307    , -1311.07    , array([ 1.00068    ,  0.0986915  ,  4.98328    ,  2.53308    ,  0.0491195  ])
1308    , -1311.07    , array([ 1.00068    ,  0.0986915  ,  4.9783     ,  2.53562    ,  0.0491195  ])
1309    , -1311.05    , array([ 1.00068    ,  0.0986915  ,  4.9783     ,  2.53308    ,  0.0491687  ])
1310    , -1311.06    , array([ 1.00069    ,  0.0987184  ,  4.97836    ,  2.53266    ,  0.0491334  ])
1311    , -1311.06    , array([ 1.00069    ,  0.0987184  ,  4.97836    ,  2.53266    ,  0.0491334  ])
1312    , -1311.06    , array([ 1.00169    ,  0.0987184  ,  4.97836    ,  2.53266    ,  0.0491334  ])
1313    , -1311.1     , array([ 1.00069    ,  0.0988171  ,  4.97836    ,  2.53266    ,  0.0491334  ])
1314    , -1311.07    , array([ 1.00069    ,  0.0987184  ,  4.98334    ,  2.53266    ,  0.0491334  ])
1315    , -1311.07    , array([ 1.00069    ,  0.0987184  ,  4.97836    ,  2.53519    ,  0.0491334  ])
1316    , -1311.05    , array([ 1.00069    ,  0.0987184  ,  4.97836    ,  2.53266    ,  0.0491826  ])
1317    , -1311.06    , array([ 1.00069    ,  0.0987205  ,  4.97836    ,  2.53263    ,  0.0491346  ])
1318    , -1311.06    , array([ 1.00069    ,  0.0987205  ,  4.97836    ,  2.53263    ,  0.0491346  ])
1319    , -1311.06    , array([ 1.0017     ,  0.0987205  ,  4.97836    ,  2.53263    ,  0.0491346  ])
1320    , -1311.1     , array([ 1.00069    ,  0.0988193  ,  4.97836    ,  2.53263    ,  0.0491346  ])
1321    , -1311.07    , array([ 1.00069    ,  0.0987205  ,  4.98334    ,  2.53263    ,  0.0491346  ])
1322    , -1311.07    , array([ 1.00069    ,  0.0987205  ,  4.97836    ,  2.53516    ,  0.0491346  ])
1323    , -1311.05    , array([ 1.00069    ,  0.0987205  ,  4.97836    ,  2.53263    ,  0.0491837  ])
1324    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1325    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1326    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1327    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1328    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1329    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1330    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1331    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1332    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1333    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1334    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1335    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1336    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
